Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Nediljko Labrović,GK,25-086,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,Augsburg,Bundesliga
Jeffrey Gouweleeuw,DF,33-178,14,1260.0,0.0,1.0,5.0,0.0,1.3,0.6,Augsburg,Bundesliga
Dimitris Giannoulis,DF,29-079,13,1065.0,0.0,1.0,4.0,0.0,0.7,1.0,Augsburg,Bundesliga
Keven Schlotterbeck,DF,27-251,13,1033.0,2.0,1.0,4.0,1.0,0.6,0.4,Augsburg,Bundesliga
Elvis Rexhbeçaj,MF,27-064,13,1022.0,1.0,1.0,5.0,0.0,1.0,0.5,Augsburg,Bundesliga
Marius Wolf,DF,29-222,15,1010.0,1.0,1.0,2.0,0.0,0.5,1.8,Augsburg,Bundesliga
Phillip Tietz,FW,27-179,15,986.0,5.0,1.0,3.0,0.0,3.5,0.7,Augsburg,Bundesliga
Frank Onyeka,MF,27-003,13,1099.0,0.0,1.0,3.0,0.0,0.5,0.9,Augsburg,Bundesliga
Kristijan Jakić,MF,27-235,13,1003.0,0.0,1.0,0.0,0.0,0.5,0.4,Augsburg,Bundesliga
Chrislain Matsima,DF,22-234,11,857.0,0.0,0.0,2.0,0.0,0.5,0.0,Augsburg,Bundesliga
Samuel Essende,FW,26-347,13,723.0,3.0,1.0,3.0,1.0,2.2,0.9,Augsburg,Bundesliga
Maximilian Bauer,DF,24-330,10,630.0,0.0,0.0,1.0,0.0,0.2,0.1,Augsburg,Bundesliga
Alexis Claude-Maurice,"FW,MF",26-212,9,577.0,4.0,1.0,2.0,0.0,0.8,0.2,Augsburg,Bundesliga
Arne Maier,MF,25-362,13,460.0,0.0,0.0,0.0,0.0,1.0,0.9,Augsburg,Bundesliga
Ruben Vargas,"MF,FW",26-152,8,305.0,0.0,0.0,3.0,0.0,0.7,0.7,Augsburg,Bundesliga
Henri Koudossou,DF,25-123,11,421.0,0.0,0.0,0.0,0.0,0.1,0.4,Augsburg,Bundesliga
Mads Pedersen,DF,28-125,5,219.0,0.0,0.0,0.0,0.0,0.1,0.0,Augsburg,Bundesliga
Tim Breithaupt,MF,22-332,2,120.0,0.0,1.0,0.0,0.0,0.1,0.4,Augsburg,Bundesliga
Steve Mounié,"FW,MF",30-097,10,233.0,0.0,0.0,2.0,0.0,1.2,0.0,Augsburg,Bundesliga
Fredrik Jensen,"MF,DF",27-117,5,117.0,0.0,0.0,0.0,0.0,0.1,0.1,Augsburg,Bundesliga
Arne Engels,"MF,FW",21-118,1,79.0,0.0,0.0,1.0,0.0,0.4,0.0,Augsburg,Bundesliga
Mert Kömür,MF,19-171,5,132.0,0.0,0.0,1.0,0.0,0.2,0.0,Augsburg,Bundesliga
Yusuf Kabadayı,"FW,MF",20-337,5,71.0,1.0,0.0,0.0,0.0,0.6,0.0,Augsburg,Bundesliga
Niklas Dorsch,MF,26-355,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Augsburg,Bundesliga
Robert Gumny,DF,26-214,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Augsburg,Bundesliga
Noahkai Banks,DF,18-034,0,,,,,,,,Augsburg,Bundesliga
Finn Dahmen,GK,26-283,0,,,,,,,,Augsburg,Bundesliga
Daniel Klein,GK,23-297,0,,,,,,,,Augsburg,Bundesliga
Mahmut Kücüksahin,DF,20-272,0,,,,,,,,Augsburg,Bundesliga
