Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Jonathan Tah,DF,28-328,15,1350.0,2.0,0.0,1.0,0.0,0.7,0.0,Bayer Leverkusen,Bundesliga
Granit Xhaka,MF,32-099,15,1350.0,2.0,5.0,1.0,0.0,0.5,2.9,Bayer Leverkusen,Bundesliga
Edmond Tapsoba,DF,25-337,15,1345.0,0.0,0.0,1.0,0.0,0.8,0.2,Bayer Leverkusen,Bundesliga
Álex Grimaldo,DF,29-106,15,1324.0,1.0,3.0,3.0,0.0,1.8,4.9,Bayer Leverkusen,Bundesliga
Lukáš Hrádecký,GK,35-041,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,Bundesliga
Piero Hincapié,DF,22-361,15,1223.0,1.0,0.0,3.0,0.0,1.5,0.4,Bayer Leverkusen,Bundesliga
Florian Wirtz,MF,21-246,15,1202.0,7.0,7.0,1.0,0.0,5.1,3.6,Bayer Leverkusen,Bundesliga
Jeremie Frimpong,"DF,MF",24-025,15,1072.0,2.0,3.0,3.0,0.0,1.7,2.1,Bayer Leverkusen,Bundesliga
Robert Andrich,MF,30-104,12,835.0,2.0,0.0,4.0,0.0,1.1,0.1,Bayer Leverkusen,Bundesliga
Victor Boniface,FW,24-012,10,658.0,6.0,1.0,1.0,0.0,6.5,1.0,Bayer Leverkusen,Bundesliga
Martin Terrier,"MF,FW",27-306,12,557.0,2.0,1.0,1.0,0.0,2.4,0.9,Bayer Leverkusen,Bundesliga
Patrik Schick,FW,28-346,12,502.0,9.0,0.0,2.0,0.0,5.0,0.4,Bayer Leverkusen,Bundesliga
Aleix García,MF,27-190,13,480.0,0.0,2.0,0.0,0.0,0.2,1.9,Bayer Leverkusen,Bundesliga
Nathan Tella,"MF,FW",25-183,11,424.0,0.0,2.0,0.0,0.0,0.6,0.5,Bayer Leverkusen,Bundesliga
Exequiel Palacios,MF,26-091,9,349.0,1.0,4.0,0.0,0.0,0.2,1.3,Bayer Leverkusen,Bundesliga
Jonas Hofmann,"MF,DF",32-174,4,223.0,1.0,0.0,0.0,0.0,0.5,0.2,Bayer Leverkusen,Bundesliga
Arthur,DF,21-293,6,207.0,0.0,1.0,0.0,0.0,0.0,0.3,Bayer Leverkusen,Bundesliga
Amine Adli,MF,24-239,7,205.0,0.0,0.0,1.0,0.0,0.4,0.1,Bayer Leverkusen,Bundesliga
Nordi Mukiele,DF,27-064,5,126.0,0.0,0.0,2.0,0.0,0.0,0.1,Bayer Leverkusen,Bundesliga
Matej Kovar,GK,24-232,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,Bundesliga
Jeanuël Belocian,"DF,MF",19-322,5,68.0,0.0,0.0,1.0,0.0,0.0,0.0,Bayer Leverkusen,Bundesliga
Kerim Alajbegović,FW,17-105,0,,,,,,,,Bayer Leverkusen,Bundesliga
Odilon Kossounou,DF,24-000,0,,,,,,,,Bayer Leverkusen,Bundesliga
Niklas Lomb,GK,31-160,0,,,,,,,,Bayer Leverkusen,Bundesliga
Francis Onyeka,FW,17-250,0,,,,,,,,Bayer Leverkusen,Bundesliga
Artem Stepanov,FW,17-147,0,,,,,,,,Bayer Leverkusen,Bundesliga
