Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Nico Schlotterbeck,DF,25-034,14,1242.0,0.0,2.0,5.0,1.0,0.6,0.9,Dortmund,Bundesliga
Gregor Kobel,GK,27-029,13,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,Dortmund,Bundesliga
Pascal Groß,"MF,DF",33-203,15,1048.0,0.0,1.0,4.0,1.0,0.4,1.4,Dortmund,Bundesliga
Serhou Guirassy,FW,28-298,12,1061.0,6.0,1.0,0.0,0.0,6.0,1.9,Dortmund,Bundesliga
Julian Brandt,MF,28-247,12,977.0,2.0,4.0,1.0,0.0,2.9,3.0,Dortmund,Bundesliga
Julian Ryerson,DF,27-048,12,947.0,1.0,1.0,2.0,0.0,0.3,1.0,Dortmund,Bundesliga
Jamie Gittens,"FW,MF",20-149,15,960.0,5.0,3.0,3.0,0.0,2.1,1.8,Dortmund,Bundesliga
Marcel Sabitzer,"MF,FW",30-293,13,875.0,0.0,0.0,2.0,0.0,1.5,0.3,Dortmund,Bundesliga
Felix Nmecha,MF,24-086,15,869.0,2.0,1.0,1.0,0.0,0.2,0.8,Dortmund,Bundesliga
Waldemar Anton,DF,28-168,11,810.0,0.0,0.0,2.0,0.0,0.4,0.0,Dortmund,Bundesliga
Ramy Bensebaini,DF,29-263,14,885.0,1.0,4.0,5.0,0.0,0.4,2.2,Dortmund,Bundesliga
Emre Can,"DF,MF",30-358,13,783.0,2.0,0.0,1.0,1.0,1.7,0.1,Dortmund,Bundesliga
Maximilian Beier,"FW,MF",22-079,14,774.0,3.0,2.0,2.0,0.0,2.6,1.6,Dortmund,Bundesliga
Donyell Malen,"FW,MF",25-361,13,601.0,3.0,0.0,1.0,0.0,2.8,0.2,Dortmund,Bundesliga
Niklas Süle,DF,29-123,7,489.0,0.0,0.0,1.0,0.0,0.5,0.0,Dortmund,Bundesliga
Karim Adeyemi,"FW,MF",22-352,7,354.0,2.0,3.0,1.0,0.0,0.9,1.7,Dortmund,Bundesliga
Yan Couto,DF,22-215,9,399.0,0.0,0.0,4.0,0.0,0.1,0.3,Dortmund,Bundesliga
Alexander Meyer,GK,33-266,2,180.0,0.0,0.0,0.0,0.0,0.0,0.1,Dortmund,Bundesliga
Gio Reyna,MF,22-052,6,116.0,1.0,0.0,1.0,0.0,0.1,0.2,Dortmund,Bundesliga
Julien Duranville,"FW,MF",18-244,3,53.0,0.0,0.0,0.0,0.0,0.0,0.3,Dortmund,Bundesliga
Almugera Kabar,DF,18-212,3,48.0,0.0,0.0,2.0,1.0,0.0,0.1,Dortmund,Bundesliga
Yannik Lührs,DF,21-117,2,37.0,0.0,0.0,0.0,0.0,0.0,0.0,Dortmund,Bundesliga
Ayman Azhil,MF,23-269,1,24.0,0.0,0.0,1.0,0.0,0.0,0.0,Dortmund,Bundesliga
Cole Campbell,"MF,FW",18-319,3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Dortmund,Bundesliga
Kjell-Arik Wätjen,MF,18-323,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Dortmund,Bundesliga
Rodney Elongo-Yombo,FW,23-161,0,,,,,,,,Dortmund,Bundesliga
Sébastien Haller,FW,30-196,0,,,,,,,,Dortmund,Bundesliga
Niklas Jessen,MF,21-122,0,,,,,,,,Dortmund,Bundesliga
Marcel Lotka,GK,23-224,0,,,,,,,,Dortmund,Bundesliga
Filippo Mane,DF,19-302,0,,,,,,,,Dortmund,Bundesliga
Jordi Paulina,MF,20-103,0,,,,,,,,Dortmund,Bundesliga
