Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Robin Koch,DF,28-171,15,1332.0,0.0,0.0,2.0,0.0,0.4,0.1,Eintracht Frankfurt,Bundesliga
Omar Marmoush,"FW,MF",25-332,15,1273.0,13.0,7.0,2.0,0.0,7.5,5.3,Eintracht Frankfurt,Bundesliga
Arthur Theate,DF,24-224,14,1223.0,0.0,0.0,5.0,1.0,0.8,0.4,Eintracht Frankfurt,Bundesliga
Tuta,"DF,MF",25-184,13,1124.0,1.0,1.0,4.0,0.0,0.4,0.3,Eintracht Frankfurt,Bundesliga
Hugo Ekitike,FW,22-198,14,1005.0,7.0,3.0,0.0,0.0,7.4,2.9,Eintracht Frankfurt,Bundesliga
Rasmus Kristensen,DF,27-177,12,1027.0,1.0,0.0,0.0,0.0,0.4,0.9,Eintracht Frankfurt,Bundesliga
Hugo Larsson,MF,20-191,14,971.0,2.0,0.0,1.0,0.0,2.2,0.5,Eintracht Frankfurt,Bundesliga
Kevin Trapp,GK,34-180,11,945.0,0.0,0.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,Bundesliga
Ellyes Skhiri,MF,29-239,13,899.0,0.0,1.0,3.0,0.0,0.4,0.6,Eintracht Frankfurt,Bundesliga
Ansgar Knauff,"MF,DF",22-360,14,687.0,1.0,4.0,2.0,0.0,1.1,3.0,Eintracht Frankfurt,Bundesliga
Mario Götze,"MF,FW",32-215,10,554.0,2.0,1.0,0.0,0.0,1.3,0.5,Eintracht Frankfurt,Bundesliga
Fares Chaïbi,"MF,FW",22-037,14,612.0,1.0,0.0,2.0,0.0,2.1,0.8,Eintracht Frankfurt,Bundesliga
Nathaniel Brown,"DF,MF",21-202,8,566.0,3.0,3.0,1.0,0.0,1.8,1.0,Eintracht Frankfurt,Bundesliga
Kauã Santos,GK,21-268,5,405.0,0.0,0.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,Bundesliga
Nnamdi Collins,DF,20-360,6,326.0,0.0,1.0,0.0,0.0,0.0,0.9,Eintracht Frankfurt,Bundesliga
Niels Nkounkou,"DF,MF",24-064,7,304.0,0.0,0.0,1.0,0.0,0.1,1.3,Eintracht Frankfurt,Bundesliga
Mahmoud Dahoud,MF,29-003,7,320.0,1.0,1.0,1.0,0.0,0.5,0.7,Eintracht Frankfurt,Bundesliga
Junior Dina Ebimbe,"MF,FW",24-044,6,281.0,0.0,1.0,0.0,0.0,0.9,0.9,Eintracht Frankfurt,Bundesliga
Igor Matanovic,"FW,MF",21-279,13,289.0,1.0,0.0,0.0,0.0,1.1,0.0,Eintracht Frankfurt,Bundesliga
Can Uzun,"MF,FW",19-054,9,243.0,2.0,1.0,0.0,0.0,1.4,0.3,Eintracht Frankfurt,Bundesliga
Jean Mattéo Bahoya,"MF,DF",19-242,9,217.0,0.0,1.0,1.0,0.0,0.2,0.5,Eintracht Frankfurt,Bundesliga
Oscar Højlund,MF,20-000,5,144.0,0.0,0.0,0.0,0.0,0.2,0.5,Eintracht Frankfurt,Bundesliga
Aurele Amenda,DF,21-157,4,70.0,0.0,0.0,1.0,0.0,0.0,0.3,Eintracht Frankfurt,Bundesliga
Timothy Chandler,DF,34-281,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,Bundesliga
Jens Grahl,GK,36-104,0,,,,,,,,Eintracht Frankfurt,Bundesliga
Amil Siljević,GK,17-351,0,,,,,,,,Eintracht Frankfurt,Bundesliga
