Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Patrick Mainka,DF,30-059,15,1350.0,0.0,0.0,2.0,0.0,0.5,0.3,Heidenheim,Bundesliga
Kevin Müller,GK,33-295,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,Heidenheim,Bundesliga
Jonas Föhrenbach,DF,28-344,15,1271.0,0.0,1.0,2.0,0.0,0.2,1.0,Heidenheim,Bundesliga
Benedikt Gimber,DF,27-320,14,1216.0,0.0,0.0,5.0,0.0,0.1,0.3,Heidenheim,Bundesliga
Jan Schöppner,MF,25-206,15,1215.0,2.0,1.0,4.0,0.0,2.0,2.5,Heidenheim,Bundesliga
Paul Wanner,"MF,FW",19-012,15,1053.0,3.0,1.0,2.0,0.0,2.4,1.0,Heidenheim,Bundesliga
Omar Traoré,"DF,FW",26-335,13,1110.0,0.0,1.0,2.0,0.0,0.0,0.5,Heidenheim,Bundesliga
Marvin Pieringer,FW,25-092,13,935.0,4.0,2.0,5.0,0.0,4.1,1.9,Heidenheim,Bundesliga
Lennard Maloney,MF,25-088,11,760.0,0.0,0.0,1.0,0.0,0.3,0.0,Heidenheim,Bundesliga
Léo Scienza,"FW,MF",26-113,13,735.0,2.0,1.0,0.0,0.0,1.5,2.1,Heidenheim,Bundesliga
Niklas Dorsch,MF,26-355,11,648.0,2.0,1.0,1.0,1.0,0.8,0.7,Heidenheim,Bundesliga
Mathias Honsak,"FW,DF",28-015,12,585.0,2.0,1.0,1.0,0.0,2.7,1.1,Heidenheim,Bundesliga
Marnon Busch,"DF,MF",30-027,8,469.0,0.0,0.0,0.0,0.0,0.1,0.5,Heidenheim,Bundesliga
Adrian Beck,"FW,MF",27-209,13,434.0,1.0,1.0,0.0,0.0,0.8,0.5,Heidenheim,Bundesliga
Mikkel Kaufmann,FW,24-001,9,372.0,0.0,0.0,2.0,0.0,0.5,0.1,Heidenheim,Bundesliga
Tim Siersleben,DF,24-301,4,234.0,0.0,0.0,2.0,0.0,0.0,0.2,Heidenheim,Bundesliga
Maximilian Breunig,"FW,MF",24-143,11,327.0,2.0,0.0,0.0,0.0,3.4,0.2,Heidenheim,Bundesliga
Luca Kerber,"MF,DF",22-300,7,192.0,0.0,0.0,2.0,0.0,0.2,0.1,Heidenheim,Bundesliga
Thomas Keller,"DF,MF",25-152,1,59.0,0.0,0.0,1.0,0.0,0.0,0.0,Heidenheim,Bundesliga
Sirlord Conteh,"FW,MF",28-179,14,352.0,0.0,1.0,1.0,0.0,0.5,1.1,Heidenheim,Bundesliga
Stefan Schimmer,"FW,MF",30-251,7,168.0,0.0,0.0,1.0,0.0,1.0,0.2,Heidenheim,Bundesliga
Denis Thomalla,MF,32-141,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Heidenheim,Bundesliga
Vitus Eicher,GK,34-060,0,,,,,,,,Heidenheim,Bundesliga
Frank Feller,GK,20-363,0,,,,,,,,Heidenheim,Bundesliga
Norman Theuerkauf,"DF,MF",37-346,0,,,,,,,,Heidenheim,Bundesliga
