Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Oliver Baumann,GK,34-216,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.8,Hoffenheim,Bundesliga
Anton Stach,"DF,MF",26-050,15,1280.0,0.0,1.0,3.0,0.0,0.8,0.7,Hoffenheim,Bundesliga
Andrej Kramarić,"MF,FW",33-199,14,1172.0,6.0,1.0,3.0,0.0,6.0,1.5,Hoffenheim,Bundesliga
Alexander Prass,DF,23-223,14,1094.0,0.0,1.0,1.0,0.0,0.4,2.7,Hoffenheim,Bundesliga
Tom Bischof,MF,19-190,13,1023.0,2.0,1.0,2.0,0.0,0.8,1.6,Hoffenheim,Bundesliga
Adam Hložek,"FW,MF",22-163,14,977.0,3.0,1.0,1.0,0.0,3.5,1.3,Hoffenheim,Bundesliga
Kevin Akpoguma,DF,29-260,14,1016.0,0.0,0.0,3.0,0.0,0.0,0.1,Hoffenheim,Bundesliga
Marius Bülter,FW,31-281,11,799.0,4.0,1.0,2.0,0.0,2.4,2.1,Hoffenheim,Bundesliga
Pavel Kadeřábek,DF,32-254,10,686.0,0.0,0.0,4.0,0.0,0.2,0.5,Hoffenheim,Bundesliga
Florian Grillitsch,MF,29-150,8,601.0,0.0,0.0,1.0,0.0,0.2,0.2,Hoffenheim,Bundesliga
Stanley N'Soki,DF,25-270,9,585.0,0.0,0.0,0.0,1.0,0.0,0.0,Hoffenheim,Bundesliga
Valentin Gendrey,DF,24-197,12,769.0,1.0,0.0,1.0,0.0,0.7,1.7,Hoffenheim,Bundesliga
Arthur Chaves,DF,23-341,8,606.0,0.0,0.0,1.0,0.0,0.2,0.0,Hoffenheim,Bundesliga
Tim Drexler,DF,19-304,8,357.0,0.0,0.0,2.0,0.0,0.1,0.0,Hoffenheim,Bundesliga
Jacob Bruun Larsen,"FW,MF",26-107,12,400.0,2.0,2.0,0.0,0.0,2.3,0.6,Hoffenheim,Bundesliga
Mergim Berisha,"FW,MF",26-238,11,333.0,1.0,1.0,1.0,0.0,1.0,1.0,Hoffenheim,Bundesliga
Diadie Samassékou,MF,28-359,5,201.0,0.0,0.0,0.0,0.0,0.1,0.0,Hoffenheim,Bundesliga
Haris Tabakovic,"FW,MF",30-198,10,312.0,1.0,1.0,0.0,0.0,1.9,0.5,Hoffenheim,Bundesliga
Umut Tohumcu,MF,20-146,8,288.0,0.0,1.0,2.0,0.0,0.1,0.2,Hoffenheim,Bundesliga
Dennis Geiger,MF,26-208,7,230.0,0.0,0.0,2.0,0.0,0.1,0.1,Hoffenheim,Bundesliga
Grischa Prömel,MF,29-361,2,174.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoffenheim,Bundesliga
Max Moerstedt,FW,,7,167.0,0.0,0.0,1.0,0.0,0.2,0.1,Hoffenheim,Bundesliga
David Jurásek,"DF,FW",24-150,5,166.0,0.0,0.0,0.0,0.0,0.1,0.1,Hoffenheim,Bundesliga
Robin Hranáč,DF,24-341,3,147.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoffenheim,Bundesliga
Florian Micheler,MF,19-232,1,32.0,0.0,0.0,1.0,0.0,0.0,0.0,Hoffenheim,Bundesliga
Paul Hennrich,MF,19-304,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoffenheim,Bundesliga
Christopher Lenz,"DF,MF",30-104,0,,,,,,,,Hoffenheim,Bundesliga
David Mokwa,FW,20-246,0,,,,,,,,Hoffenheim,Bundesliga
Luca Philipp,GK,24-037,0,,,,,,,,Hoffenheim,Bundesliga
Lars Strobl,DF,19-264,0,,,,,,,,Hoffenheim,Bundesliga
Attila Szalai,"DF,MF",26-350,0,,,,,,,,Hoffenheim,Bundesliga
