Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Ko Itakura,DF,27-343,15,1350.0,1.0,0.0,2.0,0.0,0.6,0.5,Monchengladbach,Bundesliga
Tim Kleindienst,FW,29-126,15,1319.0,9.0,4.0,1.0,0.0,7.3,3.8,Monchengladbach,Bundesliga
Joe Scally,DF,22-004,15,1248.0,0.0,0.0,3.0,0.0,0.0,0.8,Monchengladbach,Bundesliga
Julian Weigl,MF,29-118,14,1212.0,0.0,0.0,5.0,0.0,0.5,0.3,Monchengladbach,Bundesliga
Alassane Pléa,"MF,FW",31-300,15,1031.0,6.0,1.0,1.0,0.0,4.0,1.6,Monchengladbach,Bundesliga
Moritz Nicolas,GK,27-075,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,Monchengladbach,Bundesliga
Franck Honorat,FW,28-146,12,984.0,2.0,4.0,0.0,0.0,3.3,3.7,Monchengladbach,Bundesliga
Rocco Reitz,MF,22-220,15,916.0,0.0,1.0,1.0,0.0,0.8,0.8,Monchengladbach,Bundesliga
Nico Elvedi,DF,28-096,9,765.0,1.0,1.0,0.0,0.0,1.4,0.4,Monchengladbach,Bundesliga
Robin Hack,FW,26-130,14,757.0,1.0,3.0,4.0,0.0,1.2,1.1,Monchengladbach,Bundesliga
Kevin Stöger,"MF,FW",31-130,14,699.0,2.0,2.0,1.0,0.0,2.0,3.8,Monchengladbach,Bundesliga
Lukas Ullrich,DF,20-294,7,545.0,0.0,1.0,1.0,0.0,0.4,0.5,Monchengladbach,Bundesliga
Marvin Friedrich,DF,29-022,11,609.0,0.0,1.0,0.0,0.0,0.4,0.4,Monchengladbach,Bundesliga
Philipp Sander,MF,26-318,14,563.0,1.0,0.0,1.0,0.0,0.5,0.1,Monchengladbach,Bundesliga
Luca Netz,DF,21-234,8,551.0,0.0,0.0,1.0,0.0,0.2,0.9,Monchengladbach,Bundesliga
Jonas Omlin,GK,30-360,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Monchengladbach,Bundesliga
Stefan Lainer,DF,32-130,9,315.0,0.0,0.0,1.0,0.0,0.0,0.1,Monchengladbach,Bundesliga
Nathan N'Goumou,FW,24-296,9,272.0,0.0,0.0,0.0,0.0,0.7,0.2,Monchengladbach,Bundesliga
Tomáš Čvančara,"FW,MF",24-144,12,213.0,1.0,0.0,2.0,1.0,1.4,0.3,Monchengladbach,Bundesliga
Florian Neuhaus,"MF,FW",27-294,6,92.0,0.0,0.0,0.0,0.0,0.3,0.1,Monchengladbach,Bundesliga
Fabio Chiarodia,DF,19-213,7,48.0,0.0,0.0,0.0,0.0,0.0,0.0,Monchengladbach,Bundesliga
Grant Ranos,FW,21-168,1,10.0,0.0,0.0,1.0,0.0,0.0,0.0,Monchengladbach,Bundesliga
Shiō Fukuda,FW,20-271,0,,,,,,,,Monchengladbach,Bundesliga
Noah Pesch,FW,19-231,0,,,,,,,,Monchengladbach,Bundesliga
Tobias Sippel,GK,36-288,0,,,,,,,,Monchengladbach,Bundesliga
Niklas Swider,MF,17-365,0,,,,,,,,Monchengladbach,Bundesliga
