Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Loïs Openda,FW,24-323,15,1257.0,6.0,4.0,2.0,0.0,6.0,2.2,RB Leipzig,Bundesliga
Péter Gulácsi,GK,34-243,14,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,Bundesliga
Benjamin Šeško,"FW,MF",21-218,15,1018.0,6.0,2.0,0.0,0.0,3.5,0.5,RB Leipzig,Bundesliga
Willi Orban,DF,32-062,13,1164.0,4.0,0.0,1.0,1.0,2.6,0.4,RB Leipzig,Bundesliga
Antonio Nusa,"MF,DF",19-262,15,1052.0,2.0,3.0,0.0,0.0,0.9,2.5,RB Leipzig,Bundesliga
Amadou Haidara,MF,26-339,13,698.0,0.0,1.0,4.0,0.0,0.5,0.7,RB Leipzig,Bundesliga
Benjamin Henrichs,DF,27-316,15,935.0,0.0,2.0,3.0,0.0,0.5,1.4,RB Leipzig,Bundesliga
Lutsharel Geertruida,DF,24-170,12,916.0,1.0,0.0,1.0,0.0,1.0,0.4,RB Leipzig,Bundesliga
Christoph Baumgartner,MF,25-156,15,806.0,0.0,1.0,2.0,0.0,1.6,0.8,RB Leipzig,Bundesliga
Castello Lukeba,DF,22-018,9,732.0,0.0,0.0,1.0,0.0,0.0,0.1,RB Leipzig,Bundesliga
Kevin Kampl,MF,34-087,12,765.0,1.0,0.0,2.0,0.0,0.6,1.3,RB Leipzig,Bundesliga
Lukas Klostermann,DF,28-215,13,763.0,0.0,0.0,2.0,0.0,0.0,0.0,RB Leipzig,Bundesliga
Arthur Vermeeren,MF,19-332,13,683.0,0.0,0.0,5.0,0.0,0.2,0.1,RB Leipzig,Bundesliga
Xavi Simons,MF,21-258,7,615.0,2.0,1.0,2.0,0.0,1.1,2.0,RB Leipzig,Bundesliga
Nicolas Seiwald,"MF,DF",23-245,11,703.0,0.0,0.0,1.0,0.0,0.1,0.3,RB Leipzig,Bundesliga
David Raum,DF,26-257,7,494.0,0.0,1.0,0.0,0.0,0.1,1.6,RB Leipzig,Bundesliga
El Chadaille Bitshiabu,DF,19-233,7,223.0,0.0,0.0,0.0,0.0,0.0,0.1,RB Leipzig,Bundesliga
Yussuf Poulsen,"FW,MF",30-203,9,198.0,0.0,0.0,0.0,0.0,0.4,0.1,RB Leipzig,Bundesliga
Xaver Schlager,MF,27-098,4,181.0,0.0,0.0,1.0,0.0,0.1,0.7,RB Leipzig,Bundesliga
Maarten Vandevoordt,GK,22-313,2,135.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,Bundesliga
Mohamed Simakan,DF,24-246,1,54.0,0.0,0.0,0.0,0.0,0.0,0.3,RB Leipzig,Bundesliga
André Silva,FW,29-059,7,128.0,1.0,1.0,0.0,0.0,1.3,0.5,RB Leipzig,Bundesliga
Assan Ouedraogo,MF,18-240,3,50.0,0.0,0.0,0.0,0.0,0.1,0.0,RB Leipzig,Bundesliga
Elif Elmas,MF,25-102,2,44.0,0.0,0.0,1.0,0.0,0.3,0.0,RB Leipzig,Bundesliga
Viggo Gebel,MF,17-043,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,Bundesliga
Faik Sakar,MF,16-356,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,Bundesliga
Nuha Jatta,MF,18-295,0,,,,,,,,RB Leipzig,Bundesliga
Leopold Zingerle,GK,30-269,0,,,,,,,,RB Leipzig,Bundesliga
