Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Jackson Irvine,MF,31-303,15,1350.0,0.0,4.0,1.0,0.0,1.3,2.3,St Pauli,Bundesliga
Nikola Vasilj,GK,29-033,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,St Pauli,Bundesliga
Hauke Wahl,DF,30-264,15,1350.0,0.0,0.0,0.0,0.0,0.3,0.4,St Pauli,Bundesliga
Johannes Eggestein,FW,26-241,15,1207.0,2.0,3.0,2.0,0.0,2.8,1.8,St Pauli,Bundesliga
Philipp Treu,"MF,DF",24-032,14,1211.0,0.0,1.0,1.0,0.0,0.3,1.2,St Pauli,Bundesliga
Eric Smith,DF,27-362,14,1207.0,1.0,0.0,3.0,0.0,0.4,0.9,St Pauli,Bundesliga
Manolis Saliakas,"MF,DF",28-114,14,1053.0,1.0,0.0,3.0,0.0,0.5,0.9,St Pauli,Bundesliga
Oladapo Afolayan,"FW,MF",26-327,15,1043.0,2.0,0.0,1.0,0.0,2.6,1.6,St Pauli,Bundesliga
Carlo Boukhalfa,MF,25-246,13,929.0,1.0,0.0,0.0,0.0,0.6,0.4,St Pauli,Bundesliga
Morgan Guilavogui,"FW,MF",26-300,13,890.0,2.0,0.0,5.0,0.0,3.6,0.9,St Pauli,Bundesliga
Karol Mets,DF,31-233,10,900.0,0.0,0.0,1.0,0.0,0.1,0.2,St Pauli,Bundesliga
Lars Ritzka,"DF,FW",26-242,10,449.0,0.0,0.0,1.0,0.0,0.3,0.2,St Pauli,Bundesliga
David Nemeth,DF,23-292,5,448.0,0.0,0.0,0.0,0.0,0.0,0.0,St Pauli,Bundesliga
Robert Wagner,MF,21-174,8,364.0,0.0,0.0,1.0,0.0,0.1,0.0,St Pauli,Bundesliga
Elias Saad,"FW,MF",25-008,6,343.0,2.0,2.0,1.0,0.0,0.9,0.5,St Pauli,Bundesliga
Danel Sinani,"FW,MF",27-274,10,246.0,0.0,1.0,2.0,0.0,0.2,0.8,St Pauli,Bundesliga
Connor Metcalfe,MF,25-060,4,227.0,0.0,0.0,0.0,0.0,0.4,0.1,St Pauli,Bundesliga
Adam Dźwigała,"DF,MF",29-101,9,126.0,0.0,0.0,1.0,0.0,0.4,0.0,St Pauli,Bundesliga
Andreas Albers,FW,34-287,12,56.0,1.0,0.0,0.0,0.0,0.6,0.1,St Pauli,Bundesliga
Scott Banks,"FW,MF",23-100,5,56.0,0.0,0.0,1.0,0.0,0.1,0.0,St Pauli,Bundesliga
Erik Ahlstrand,"FW,MF",23-082,5,43.0,0.0,0.0,0.0,0.0,0.0,0.0,St Pauli,Bundesliga
Maurides,FW,30-300,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,St Pauli,Bundesliga
Romeo Aigbekaen,MF,20-196,0,,,,,,,,St Pauli,Bundesliga
Ben Alexander Voll,GK,24-026,0,,,,,,,,St Pauli,Bundesliga
Eric Oelschlägel,GK,29-106,0,,,,,,,,St Pauli,Bundesliga
Marvin Schmitz,MF,17-363,0,,,,,,,,St Pauli,Bundesliga
Ronny Seibt,GK,19-178,0,,,,,,,,St Pauli,Bundesliga
Emil Staugaard,DF,23-106,0,,,,,,,,St Pauli,Bundesliga
Finley Stevens,DF,21-269,0,,,,,,,,St Pauli,Bundesliga
Julien Yanda,DF,17-129,0,,,,,,,,St Pauli,Bundesliga
