Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Iñaki Williams,FW,30-203,18,1467.0,4.0,5.0,0.0,0.0,4.0,4.7,Athletic Club,La_Liga
Daniel Vivian,DF,25-173,16,1315.0,2.0,0.0,1.0,0.0,0.8,0.0,Athletic Club,La_Liga
Nico Williams,FW,22-176,17,1239.0,1.0,3.0,1.0,0.0,2.4,2.6,Athletic Club,La_Liga
Julen Agirrezabala,GK,24-009,14,1206.0,0.0,0.0,1.0,1.0,0.0,0.0,Athletic Club,La_Liga
Oihan Sancet,MF,24-254,16,1010.0,7.0,1.0,2.0,0.0,5.3,1.1,Athletic Club,La_Liga
Yuri Berchiche,DF,34-329,16,1137.0,0.0,0.0,3.0,0.0,0.3,0.5,Athletic Club,La_Liga
Álex Berenguer,"FW,MF",29-184,18,1033.0,4.0,4.0,2.0,0.0,3.9,2.8,Athletic Club,La_Liga
Aitor Paredes,DF,24-250,12,1024.0,2.0,0.0,4.0,1.0,1.3,0.0,Athletic Club,La_Liga
Óscar de Marcos,DF,35-265,15,1002.0,0.0,4.0,0.0,0.0,0.1,1.7,Athletic Club,La_Liga
Mikel Jauregizar,MF,21-053,16,991.0,1.0,0.0,3.0,1.0,0.4,0.9,Athletic Club,La_Liga
Gorka Guruzeta,FW,28-114,18,977.0,5.0,2.0,2.0,0.0,2.8,0.5,Athletic Club,La_Liga
Iñigo Ruiz de Galarreta,MF,31-151,15,884.0,0.0,2.0,3.0,0.0,0.1,1.6,Athletic Club,La_Liga
Beñat Prados,MF,23-331,15,798.0,1.0,0.0,6.0,0.0,0.6,0.2,Athletic Club,La_Liga
Yeray Álvarez,DF,29-346,10,812.0,0.0,0.0,2.0,0.0,0.1,0.0,Athletic Club,La_Liga
Adama Boiro,DF,22-196,7,465.0,0.0,0.0,1.0,0.0,0.1,0.0,Athletic Club,La_Liga
Andoni Gorosabel,DF,28-153,7,443.0,0.0,1.0,1.0,0.0,0.3,0.6,Athletic Club,La_Liga
Unai Gómez,"MF,FW",21-224,17,511.0,1.0,1.0,1.0,0.0,0.8,0.2,Athletic Club,La_Liga
Álvaro djaló,FW,25-141,12,445.0,1.0,0.0,0.0,0.0,0.8,0.7,Athletic Club,La_Liga
Mikel Vesga,MF,31-228,12,394.0,0.0,0.0,1.0,0.0,0.0,0.5,Athletic Club,La_Liga
Iñigo Lekue,DF,31-245,7,373.0,0.0,0.0,1.0,0.0,0.0,0.1,Athletic Club,La_Liga
Alex Padilla,GK,21-125,5,321.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic Club,La_Liga
Unai Núñez,DF,27-340,3,270.0,0.0,0.0,1.0,0.0,0.2,0.0,Athletic Club,La_Liga
Ander Herrera,MF,35-143,8,273.0,0.0,0.0,2.0,0.0,1.7,0.1,Athletic Club,La_Liga
Unai Simón,GK,27-207,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic Club,La_Liga
Nicolás Serrano,FW,21-305,3,103.0,0.0,0.0,0.0,0.0,0.1,0.0,Athletic Club,La_Liga
Javi Martón,"FW,MF",25-243,3,53.0,0.0,0.0,1.0,0.0,0.0,0.0,Athletic Club,La_Liga
Peio Canales,MF,19-353,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic Club,La_Liga
Adu Ares,FW,23-084,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic Club,La_Liga
Unai Eguíluz,DF,22-291,0,,,,,,,,Athletic Club,La_Liga
Oier Gastesi,GK,21-066,0,,,,,,,,Athletic Club,La_Liga
