Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Jan Oblak,GK,31-363,17,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid,La_Liga
Antoine Griezmann,"FW,MF",33-289,18,1328.0,7.0,4.0,2.0,0.0,4.1,4.4,Atletico Madrid,La_Liga
José María Giménez,DF,29-350,16,1249.0,0.0,0.0,2.0,0.0,0.3,0.0,Atletico Madrid,La_Liga
Julián Álvarez,"FW,MF",24-339,18,1109.0,5.0,2.0,3.0,0.0,3.5,1.8,Atletico Madrid,La_Liga
Koke,MF,32-362,18,1147.0,1.0,1.0,4.0,0.0,1.0,1.0,Atletico Madrid,La_Liga
Pablo Barrios,MF,21-203,13,1063.0,0.0,2.0,2.0,0.0,0.6,1.3,Atletico Madrid,La_Liga
Marcos Llorente,"DF,MF",29-340,13,981.0,2.0,2.0,0.0,1.0,0.2,2.7,Atletico Madrid,La_Liga
Conor Gallagher,MF,24-333,13,812.0,2.0,0.0,1.0,0.0,1.7,0.1,Atletico Madrid,La_Liga
Samuel Lino,"MF,DF",25-012,14,712.0,1.0,2.0,1.0,0.0,3.6,1.9,Atletico Madrid,La_Liga
Rodrigo De Paul,MF,30-225,17,893.0,3.0,3.0,4.0,0.0,1.0,2.6,Atletico Madrid,La_Liga
Nahuel Molina,DF,26-273,12,769.0,0.0,3.0,0.0,0.0,0.4,1.1,Atletico Madrid,La_Liga
Clément Lenglet,DF,29-201,9,743.0,1.0,0.0,4.0,0.0,1.4,0.1,Atletico Madrid,La_Liga
Javi Galán,DF,30-046,10,676.0,0.0,2.0,4.0,0.0,0.1,2.0,Atletico Madrid,La_Liga
Alexander Sørloth,FW,29-030,18,781.0,8.0,2.0,0.0,0.0,6.5,1.3,Atletico Madrid,La_Liga
Axel Witsel,DF,35-358,11,671.0,0.0,1.0,1.0,0.0,0.0,0.5,Atletico Madrid,La_Liga
Robin Le Normand,DF,28-054,9,653.0,0.0,0.0,3.0,0.0,0.3,0.1,Atletico Madrid,La_Liga
Reinildo Mandava,DF,30-349,13,647.0,0.0,0.0,3.0,0.0,0.1,0.1,Atletico Madrid,La_Liga
Giuliano Simeone,"MF,DF",22-017,13,615.0,1.0,2.0,2.0,0.0,0.9,1.3,Atletico Madrid,La_Liga
César Azpilicueta,DF,35-129,6,480.0,0.0,0.0,0.0,0.0,0.2,0.0,Atletico Madrid,La_Liga
Rodrigo Riquelme,"DF,MF",24-277,10,404.0,0.0,0.0,0.0,0.0,0.7,0.5,Atletico Madrid,La_Liga
Ángel Correa,"FW,MF",29-301,16,459.0,2.0,1.0,3.0,0.0,3.3,1.1,Atletico Madrid,La_Liga
Juan Musso,GK,30-243,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid,La_Liga
Thomas Lemar,MF,29-053,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid,La_Liga
Aitor Gismera,MF,20-318,0,,,,,,,,Atletico Madrid,La_Liga
Antonio Gomis,GK,21-229,0,,,,,,,,Atletico Madrid,La_Liga
Alejandro Iturbe,GK,21-124,0,,,,,,,,Atletico Madrid,La_Liga
Ilias Kostis,DF,21-312,0,,,,,,,,Atletico Madrid,La_Liga
Horaţiu Moldovan,GK,26-350,0,,,,,,,,Atletico Madrid,La_Liga
Javier Serrano,MF,21-354,0,,,,,,,,Atletico Madrid,La_Liga
Gerónimo Spina,DF,19-330,0,,,,,,,,Atletico Madrid,La_Liga
Arthur Vermeeren,MF,19-332,0,,,,,,,,Atletico Madrid,La_Liga
