Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Paulo Gazzaniga,GK,33-002,18,1620.0,0.0,0.0,3.0,0.0,0.0,0.0,Girona,La_Liga
Miguel Gutiérrez,"DF,MF",23-161,17,1521.0,1.0,4.0,2.0,0.0,1.3,3.5,Girona,La_Liga
David López,DF,35-087,17,1477.0,1.0,0.0,3.0,0.0,0.5,0.0,Girona,La_Liga
Daley Blind,DF,34-301,15,1176.0,0.0,1.0,2.0,0.0,0.2,0.7,Girona,La_Liga
Arnau Martinez,"DF,MF",21-254,15,1158.0,1.0,2.0,2.0,0.0,0.6,1.8,Girona,La_Liga
Bryan Gil,"FW,MF",23-328,16,1054.0,2.0,3.0,2.0,0.0,1.8,2.8,Girona,La_Liga
Iván Martín,MF,25-325,14,1036.0,1.0,0.0,1.0,0.0,0.7,1.1,Girona,La_Liga
Donny van de Beek,MF,27-261,14,873.0,2.0,2.0,3.0,0.0,1.2,2.9,Girona,La_Liga
Abel Ruiz,FW,24-342,13,833.0,3.0,0.0,3.0,0.0,2.7,0.4,Girona,La_Liga
Yangel Herrera,MF,26-356,12,808.0,2.0,1.0,4.0,0.0,1.7,0.4,Girona,La_Liga
Oriol Romeu,MF,33-102,12,765.0,0.0,0.0,5.0,0.0,0.1,0.1,Girona,La_Liga
Ladislav Krejčí,DF,25-259,10,820.0,2.0,0.0,4.0,0.0,1.2,0.1,Girona,La_Liga
Bojan Miovski,FW,25-194,10,637.0,2.0,1.0,0.0,0.0,2.6,0.1,Girona,La_Liga
Arnaut Danjuma,"FW,MF",27-339,13,689.0,1.0,0.0,1.0,0.0,1.7,0.7,Girona,La_Liga
Yaser Asprilla,"FW,MF",21-046,10,649.0,1.0,0.0,1.0,0.0,1.0,1.1,Girona,La_Liga
Alejandro Francés,DF,22-156,8,556.0,0.0,0.0,1.0,0.0,0.2,0.0,Girona,La_Liga
Viktor Tsyhankov,"FW,MF",27-050,7,471.0,1.0,1.0,1.0,0.0,0.9,0.8,Girona,La_Liga
Juanpe,DF,33-249,5,327.0,0.0,0.0,1.0,0.0,0.0,0.1,Girona,La_Liga
Jhon Solis,MF,20-093,8,325.0,0.0,0.0,0.0,0.0,0.1,0.0,Girona,La_Liga
Silvi Clúa,MF,19-341,4,163.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona,La_Liga
Gabriel Osei Misehouy,"FW,MF",19-170,7,222.0,1.0,0.0,0.0,0.0,0.9,0.3,Girona,La_Liga
Portu,"FW,MF",32-228,10,222.0,0.0,1.0,3.0,0.0,0.0,0.4,Girona,La_Liga
Cristhian Stuani,FW,38-084,13,282.0,4.0,1.0,1.0,0.0,4.4,0.1,Girona,La_Liga
Iker Almena,"FW,DF",20-245,2,48.0,0.0,1.0,0.0,0.0,0.0,0.7,Girona,La_Liga
Papa Ba,MF,20-114,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona,La_Liga
Kim Minsu,"MF,FW",18-351,3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona,La_Liga
Ferrán Ruiz,MF,21-253,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona,La_Liga
Juan Carlos,GK,36-350,0,,0.0,0.0,0.0,1.0,,,Girona,La_Liga
Aleksandar Andreev,GK,18-285,0,,,,,,,,Girona,La_Liga
Ricard Artero,MF,21-334,0,,,,,,,,Girona,La_Liga
Dawda Camara,FW,22-061,0,,,,,,,,Girona,La_Liga
Enric García,MF,18-311,0,,,,,,,,Girona,La_Liga
Jastin García,FW,20-355,0,,,,,,,,Girona,La_Liga
Lucas García,GK,21-003,0,,,,,,,,Girona,La_Liga
Pau López,GK,30-022,0,,,,,,,,Girona,La_Liga
Raúl Martínez,MF,22-316,0,,,,,,,,Girona,La_Liga
Joel Roca,FW,19-211,0,,,,,,,,Girona,La_Liga
Toni Villa,"FW,MF",29-363,0,,,,,,,,Girona,La_Liga
