Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Kirian Rodríguez,MF,28-305,17,1433.0,0.0,3.0,2.0,0.0,1.3,1.4,Las Palmas,La_Liga
Jasper Cillessen,GK,35-257,16,1409.0,0.0,0.0,1.0,0.0,0.0,0.0,Las Palmas,La_Liga
Alberto Moleiro,"FW,MF",21-096,17,1283.0,4.0,0.0,3.0,0.0,3.4,1.9,Las Palmas,La_Liga
Álex Suárez,DF,31-292,15,1253.0,0.0,0.0,6.0,0.0,0.1,0.0,Las Palmas,La_Liga
Scott McKenna,DF,28-053,14,1178.0,0.0,0.0,2.0,0.0,0.8,0.2,Las Palmas,La_Liga
Javier Muñoz,"MF,DF",29-311,18,1175.0,0.0,2.0,1.0,0.0,0.5,1.5,Las Palmas,La_Liga
Sandro Ramírez,"FW,MF",29-179,15,979.0,7.0,2.0,3.0,0.0,2.2,1.3,Las Palmas,La_Liga
Fábio Silva,"FW,MF",22-169,13,966.0,5.0,2.0,6.0,0.0,3.6,0.4,Las Palmas,La_Liga
Dario Essugo,MF,19-296,12,951.0,1.0,0.0,4.0,0.0,0.3,0.1,Las Palmas,La_Liga
Álex Muñoz,DF,30-158,13,926.0,3.0,0.0,1.0,0.0,0.7,0.4,Las Palmas,La_Liga
Viti,DF,27-110,15,916.0,0.0,1.0,3.0,0.0,0.0,0.7,Las Palmas,La_Liga
Mika Màrmol,DF,22-186,12,869.0,0.0,0.0,2.0,0.0,0.1,0.3,Las Palmas,La_Liga
José Campaña,MF,31-218,13,719.0,0.0,2.0,3.0,0.0,0.1,0.6,Las Palmas,La_Liga
Oliver McBurnie,FW,28-214,15,732.0,0.0,3.0,0.0,0.0,1.0,1.6,Las Palmas,La_Liga
Marvin,"DF,FW",24-185,10,536.0,0.0,0.0,3.0,0.0,0.1,0.6,Las Palmas,La_Liga
Juan Herzog,DF,21-236,6,467.0,0.0,0.0,0.0,0.0,0.2,0.0,Las Palmas,La_Liga
Jaime Mata,FW,36-072,16,358.0,0.0,0.0,4.0,0.0,1.8,0.1,Las Palmas,La_Liga
Manuel Fuster,"FW,MF",27-074,12,344.0,1.0,0.0,0.0,0.0,0.3,0.6,Las Palmas,La_Liga
Adnan Januzaj,"MF,FW",29-334,6,301.0,0.0,1.0,2.0,0.0,0.3,0.6,Las Palmas,La_Liga
Enzo Loiodice,MF,24-038,10,280.0,0.0,0.0,2.0,0.0,0.1,0.1,Las Palmas,La_Liga
Dinko Horkaš,GK,25-300,3,211.0,0.0,0.0,1.0,0.0,0.0,0.0,Las Palmas,La_Liga
Benito Ramírez,"DF,MF",29-177,12,302.0,0.0,0.0,2.0,0.0,0.2,0.6,Las Palmas,La_Liga
Daley Sinkgraven,DF,29-184,2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Palmas,La_Liga
Marc Cardona,FW,29-180,5,68.0,0.0,0.0,1.0,0.0,0.2,0.0,Las Palmas,La_Liga
Fabio González,MF,27-327,2,53.0,0.0,0.0,0.0,0.0,0.1,0.0,Las Palmas,La_Liga
Pejiño,FW,28-159,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Palmas,La_Liga
Aboubacar Bassinga,MF,19-175,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Palmas,La_Liga
Iván Gil,MF,24-352,0,,,,,,,,Las Palmas,La_Liga
Álvaro Killane,GK,20-021,0,,,,,,,,Las Palmas,La_Liga
Valentín Pezzolesi,DF,17-263,0,,,,,,,,Las Palmas,La_Liga
Víctor Puig,GK,25-144,0,,,,,,,,Las Palmas,La_Liga
