Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Antonio Raillo,DF,33-087,18,1587.0,1.0,0.0,2.0,1.0,1.1,1.1,Mallorca,La_Liga
Samu Costa,MF,24-037,16,1367.0,0.0,2.0,6.0,1.0,1.0,1.1,Mallorca,La_Liga
Johan Mojica,DF,32-135,18,1391.0,1.0,1.0,3.0,0.0,0.5,1.9,Mallorca,La_Liga
Martin Valjent,DF,29-023,15,1330.0,0.0,0.0,3.0,0.0,0.2,0.0,Mallorca,La_Liga
Sergi Darder,"MF,FW",31-012,19,1213.0,0.0,1.0,0.0,0.0,1.2,1.5,Mallorca,La_Liga
Dominik Greif,GK,27-272,14,1260.0,0.0,0.0,1.0,0.0,0.0,0.0,Mallorca,La_Liga
Pablo Maffeo,DF,27-175,14,1096.0,0.0,1.0,2.0,0.0,0.2,3.0,Mallorca,La_Liga
Cyle Larin,FW,29-261,16,985.0,5.0,2.0,2.0,0.0,4.7,1.1,Mallorca,La_Liga
Manu Morlanes,MF,25-357,16,1031.0,0.0,0.0,5.0,0.0,0.4,0.2,Mallorca,La_Liga
Dani Rodríguez,"MF,FW",36-211,19,1025.0,3.0,4.0,1.0,0.0,1.6,2.1,Mallorca,La_Liga
Vedat Muriqi,FW,30-254,14,993.0,3.0,2.0,1.0,2.0,4.1,1.0,Mallorca,La_Liga
Roberto Navarro,"MF,FW",22-266,16,889.0,1.0,0.0,2.0,0.0,1.2,0.7,Mallorca,La_Liga
Omar Mascarell,MF,31-336,16,909.0,0.0,0.0,3.0,0.0,0.2,0.1,Mallorca,La_Liga
Antonio Sánchez,"DF,MF",28-002,17,800.0,0.0,0.0,1.0,0.0,0.7,0.6,Mallorca,La_Liga
Copete,DF,25-085,12,522.0,0.0,0.0,3.0,0.0,0.4,0.0,Mallorca,La_Liga
Leo Román,GK,24-181,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca,La_Liga
Takuma Asano,"FW,MF",30-054,8,394.0,0.0,0.0,0.0,0.0,0.9,0.0,Mallorca,La_Liga
Mateu Morey,DF,24-307,4,265.0,0.0,0.0,1.0,0.0,0.0,0.0,Mallorca,La_Liga
Toni Lato,DF,27-043,5,263.0,0.0,0.0,0.0,1.0,0.0,0.3,Mallorca,La_Liga
Marc Domenech,FW,19-002,3,115.0,0.0,0.0,0.0,0.0,0.1,0.0,Mallorca,La_Liga
Valery Fernández,"MF,FW",25-041,10,223.0,2.0,0.0,1.0,0.0,0.8,0.0,Mallorca,La_Liga
Abdón Prats,"FW,MF",32-027,14,218.0,2.0,0.0,4.0,0.0,1.9,0.0,Mallorca,La_Liga
Chiquinho,"MF,FW",24-333,7,145.0,0.0,0.0,2.0,0.0,0.3,0.0,Mallorca,La_Liga
Siebe Van Der Heyden,"DF,MF",26-218,2,97.0,0.0,0.0,0.0,0.0,0.0,0.1,Mallorca,La_Liga
Javier Llabrés,FW,22-114,1,57.0,0.0,0.0,0.0,0.0,0.0,0.1,Mallorca,La_Liga
Daniel Luna,MF,21-241,2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca,La_Liga
Iván Cuéllar,GK,40-221,0,,,,,,,,Mallorca,La_Liga
Pere Joan,GK,22-287,0,,,,,,,,Mallorca,La_Liga
Jan Salas,MF,19-146,0,,,,,,,,Mallorca,La_Liga
Sebastian Wade,DF,21-269,0,,,,,,,,Mallorca,La_Liga
