Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Sergio Herrera,GK,31-212,18,1620.0,0.0,0.0,3.0,0.0,0.0,0.0,Osasuna,La_Liga
Aimar Oroz,"MF,FW",23-037,18,1467.0,1.0,0.0,3.0,0.0,2.0,1.6,Osasuna,La_Liga
Jesús Areso,DF,25-185,17,1504.0,0.0,1.0,2.0,0.0,0.1,1.5,Osasuna,La_Liga
Lucas Torró,MF,30-168,17,1488.0,3.0,0.0,6.0,0.0,1.1,0.3,Osasuna,La_Liga
Catena,DF,30-067,16,1440.0,0.0,1.0,5.0,0.0,0.7,0.6,Osasuna,La_Liga
Ante Budimir,FW,33-165,18,1373.0,10.0,1.0,2.0,0.0,7.2,0.9,Osasuna,La_Liga
Enzo Boyomo,DF,23-088,15,1350.0,1.0,0.0,3.0,0.0,0.4,0.0,Osasuna,La_Liga
Jon Moncayola,MF,26-235,16,1060.0,0.0,0.0,5.0,0.0,0.8,1.9,Osasuna,La_Liga
Bryan Zaragoza,"FW,MF",23-253,15,1051.0,1.0,5.0,3.0,0.0,1.8,1.9,Osasuna,La_Liga
Rubén García,"FW,MF",31-173,17,1011.0,2.0,2.0,1.0,0.0,1.0,1.0,Osasuna,La_Liga
Abel,"DF,FW",24-135,17,1056.0,2.0,0.0,2.0,0.0,0.3,0.6,Osasuna,La_Liga
Juan Cruz Armada,DF,32-159,11,655.0,0.0,0.0,1.0,0.0,0.1,0.0,Osasuna,La_Liga
Jorge Herrando,DF,23-310,7,465.0,0.0,0.0,2.0,0.0,0.1,0.0,Osasuna,La_Liga
Pablo Ibáñez,MF,26-105,14,537.0,0.0,1.0,1.0,0.0,1.2,1.0,Osasuna,La_Liga
Rubén Peña,"FW,MF",33-169,14,446.0,0.0,0.0,1.0,0.0,0.6,0.3,Osasuna,La_Liga
Raúl,"FW,MF",24-061,17,430.0,1.0,0.0,0.0,0.0,1.0,0.6,Osasuna,La_Liga
Moi Gómez,"MF,FW",30-194,14,414.0,0.0,0.0,1.0,0.0,0.1,0.2,Osasuna,La_Liga
Iker Muñoz,MF,22-059,7,178.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna,La_Liga
Nacho Vidal,DF,29-345,5,124.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna,La_Liga
Kike Barja,FW,27-277,3,69.0,0.0,0.0,1.0,0.0,0.1,0.0,Osasuna,La_Liga
José Arnaiz,"FW,MF",29-263,5,39.0,0.0,0.0,0.0,0.0,0.0,0.1,Osasuna,La_Liga
Iker Benito,"FW,MF",22-146,2,37.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna,La_Liga
Javi Martínez,MF,25-012,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna,La_Liga
Aitor Fernández,GK,33-245,0,,,,,,,,Osasuna,La_Liga
Unai García,DF,32-335,0,,,,,,,,Osasuna,La_Liga
Dimitrios Stamatakis,GK,21-255,0,,,,,,,,Osasuna,La_Liga
