Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Diego Llorente,DF,31-141,17,1494.0,0.0,0.0,0.0,0.0,0.6,0.2,Real Betis,La_Liga
Rui Silva,GK,30-332,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.1,Real Betis,La_Liga
Abde Ezzalzouli,"FW,MF",23-018,18,1290.0,1.0,1.0,1.0,0.0,6.8,1.5,Real Betis,La_Liga
Romain Perraud,DF,27-104,17,1268.0,0.0,0.0,4.0,0.0,0.3,0.7,Real Betis,La_Liga
Sergi Altimira,MF,23-132,15,1060.0,0.0,1.0,2.0,0.0,1.4,1.3,Real Betis,La_Liga
Vitor Roque,FW,19-311,15,979.0,4.0,0.0,1.0,0.0,5.8,1.0,Real Betis,La_Liga
Pablo Fornals,"MF,FW",28-317,14,977.0,1.0,0.0,2.0,0.0,1.2,1.9,Real Betis,La_Liga
Marc Bartra,DF,33-355,11,926.0,2.0,0.0,1.0,0.0,0.8,0.0,Real Betis,La_Liga
Youssouf Sabaly,DF,31-305,12,901.0,0.0,0.0,1.0,0.0,0.1,0.4,Real Betis,La_Liga
Giovani Lo Celso,MF,28-270,12,870.0,7.0,1.0,2.0,0.0,3.2,3.4,Real Betis,La_Liga
Natan,DF,23-333,13,822.0,0.0,0.0,2.0,1.0,0.1,0.6,Real Betis,La_Liga
Marc Roca,MF,28-039,9,729.0,0.0,1.0,3.0,0.0,0.5,0.4,Real Betis,La_Liga
Johnny Cardoso,MF,23-106,11,745.0,0.0,1.0,1.0,0.0,0.7,0.8,Real Betis,La_Liga
Aitor Ruibal,"FW,DF",28-288,15,610.0,0.0,2.0,3.0,0.0,0.5,1.3,Real Betis,La_Liga
Ezequiel Ávila,FW,30-333,15,574.0,2.0,0.0,4.0,1.0,1.5,1.0,Real Betis,La_Liga
Héctor Bellerín,DF,29-291,7,524.0,0.0,1.0,1.0,0.0,0.2,2.0,Real Betis,La_Liga
Ricardo Rodríguez,DF,32-132,6,334.0,0.0,0.0,0.0,0.0,0.0,0.1,Real Betis,La_Liga
William Carvalho,MF,32-272,4,247.0,0.0,0.0,0.0,0.0,0.1,0.0,Real Betis,La_Liga
Iker Losada,"MF,FW",23-156,10,336.0,0.0,0.0,0.0,0.0,0.5,0.3,Real Betis,La_Liga
Fran Vieites,GK,25-242,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Betis,La_Liga
Cédric Bakambu,FW,33-268,10,281.0,0.0,1.0,2.0,0.0,1.5,0.2,Real Betis,La_Liga
Assane Diao,FW,19-119,10,277.0,1.0,2.0,0.0,0.0,0.8,1.5,Real Betis,La_Liga
Juanmi,"FW,MF",31-229,9,200.0,0.0,0.0,2.0,0.0,0.6,0.3,Real Betis,La_Liga
Nabil Fekir,MF,31-170,2,180.0,0.0,1.0,0.0,0.0,0.7,0.5,Real Betis,La_Liga
Carlos Guirao,MF,21-252,2,110.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Betis,La_Liga
Rodri,FW,24-233,3,118.0,0.0,0.0,0.0,0.0,0.2,0.1,Real Betis,La_Liga
Mateo Flores,MF,20-272,3,106.0,0.0,0.0,1.0,0.0,0.0,0.0,Real Betis,La_Liga
Isco,MF,32-258,3,97.0,1.0,0.0,0.0,0.0,0.8,0.1,Real Betis,La_Liga
Jesus Rodríguez,FW,19-044,2,87.0,0.0,0.0,0.0,0.0,0.1,0.0,Real Betis,La_Liga
Adrián,GK,38-001,0,,0.0,0.0,2.0,0.0,,,Real Betis,La_Liga
Alcázar,DF,22-177,0,,,,,,,,Real Betis,La_Liga
Pablo Busto,DF,19-111,0,,,,,,,,Real Betis,La_Liga
Manu González,GK,17-261,0,,,,,,,,Real Betis,La_Liga
Nobel Mendy,DF,20-123,0,,,,,,,,Real Betis,La_Liga
