Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Álex Remiro,GK,29-286,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad,La_Liga
Martín Zubimendi,MF,25-337,17,1444.0,1.0,1.0,2.0,0.0,1.5,0.7,Real Sociedad,La_Liga
Igor Zubeldia,DF,27-280,16,1385.0,0.0,0.0,5.0,0.0,0.1,0.3,Real Sociedad,La_Liga
Sergio Gómez,"MF,DF",24-122,18,1369.0,0.0,4.0,1.0,0.0,0.5,5.2,Real Sociedad,La_Liga
Mikel Oyarzabal,"FW,MF",27-258,16,1100.0,4.0,1.0,3.0,1.0,4.7,1.4,Real Sociedad,La_Liga
Jon Aramburu,DF,22-165,16,1197.0,0.0,0.0,4.0,0.0,0.2,0.8,Real Sociedad,La_Liga
Takefusa Kubo,"MF,FW",23-214,18,1188.0,3.0,0.0,3.0,0.0,1.9,2.1,Real Sociedad,La_Liga
Nayef Aguerd,DF,28-280,13,1099.0,0.0,0.0,3.0,0.0,1.9,0.1,Real Sociedad,La_Liga
Luka Sučić,MF,22-118,14,1065.0,1.0,1.0,1.0,0.0,1.9,1.1,Real Sociedad,La_Liga
Brais Méndez,MF,27-363,15,1009.0,2.0,1.0,4.0,0.0,2.2,1.6,Real Sociedad,La_Liga
Javi López,DF,22-285,13,860.0,0.0,0.0,1.0,0.0,0.0,0.3,Real Sociedad,La_Liga
Sheraldo Becker,"FW,MF",29-330,15,688.0,1.0,0.0,1.0,0.0,1.6,0.9,Real Sociedad,La_Liga
Ander Barrenetxea,"MF,FW",23-008,14,633.0,1.0,2.0,3.0,0.0,1.2,1.1,Real Sociedad,La_Liga
Beñat Turrientes,MF,22-339,12,561.0,0.0,0.0,3.0,0.0,0.4,0.0,Real Sociedad,La_Liga
Jon Pacheco,DF,23-362,8,476.0,0.0,0.0,2.0,0.0,0.1,0.0,Real Sociedad,La_Liga
Aihen Muñoz,DF,27-141,10,399.0,0.0,0.0,2.0,0.0,0.0,0.1,Real Sociedad,La_Liga
Hamari Traoré,DF,32-343,4,311.0,0.0,1.0,0.0,0.0,0.0,0.2,Real Sociedad,La_Liga
Orri Steinn Óskarsson,FW,20-128,11,374.0,2.0,0.0,0.0,0.0,2.7,0.1,Real Sociedad,La_Liga
Aritz Elustondo,DF,30-282,6,282.0,0.0,0.0,0.0,0.0,0.2,0.1,Real Sociedad,La_Liga
Umar Sadiq,FW,27-337,7,227.0,0.0,0.0,1.0,0.0,0.2,0.2,Real Sociedad,La_Liga
Urko González,MF,23-290,1,45.0,0.0,0.0,1.0,0.0,0.0,0.0,Real Sociedad,La_Liga
Olasagasti,MF,24-141,7,152.0,0.0,0.0,0.0,0.0,0.2,0.3,Real Sociedad,La_Liga
Jon Martin,DF,19-003,3,135.0,0.0,0.0,1.0,0.0,0.1,0.0,Real Sociedad,La_Liga
Pablo Marín,MF,21-185,5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad,La_Liga
Álvaro Odriozola,DF,29-021,2,43.0,0.0,0.0,1.0,0.0,0.0,0.0,Real Sociedad,La_Liga
Jon Magunazelaia,MF,24-175,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad,La_Liga
Egoitz Arana,GK,22-320,0,,,,,,,,Real Sociedad,La_Liga
Aitor Fraga,GK,21-298,0,,,,,,,,Real Sociedad,La_Liga
Arkaitz Mariezkurrena,FW,19-274,0,,,,,,,,Real Sociedad,La_Liga
Unai Marrero,GK,23-087,0,,,,,,,,Real Sociedad,La_Liga
Iñaki Rupérez,DF,21-363,0,,,,,,,,Real Sociedad,La_Liga
