Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Carmona,DF,22-340,17,1502.0,0.0,0.0,3.0,0.0,0.3,0.9,Sevilla,La_Liga
Dodi Lukebakio,FW,27-101,18,1450.0,8.0,0.0,1.0,0.0,5.3,1.2,Sevilla,La_Liga
Nemanja Gudelj,"MF,DF",33-048,16,1349.0,0.0,1.0,3.0,0.0,0.3,0.4,Sevilla,La_Liga
Isaac Romero,FW,24-230,15,1140.0,2.0,2.0,4.0,0.0,3.5,1.3,Sevilla,La_Liga
Loïc Bade,DF,24-267,14,1191.0,0.0,1.0,4.0,0.0,0.2,0.6,Sevilla,La_Liga
Adrià Pedrosa,DF,26-235,13,1007.0,0.0,1.0,4.0,0.0,0.3,0.6,Sevilla,La_Liga
Ørjan Nyland,GK,34-115,11,963.0,0.0,0.0,1.0,0.0,0.0,0.2,Sevilla,La_Liga
Lucien Agoume,MF,22-329,16,949.0,0.0,0.0,3.0,1.0,0.1,0.6,Sevilla,La_Liga
Kike Salas,DF,22-255,13,823.0,0.0,2.0,3.0,0.0,0.2,0.5,Sevilla,La_Liga
Peque,"MF,FW",22-091,14,719.0,0.0,1.0,1.0,0.0,1.3,1.2,Sevilla,La_Liga
Albert Sambi Lokonga,MF,25-073,11,757.0,0.0,1.0,2.0,0.0,0.3,0.4,Sevilla,La_Liga
Djibril Sow,MF,27-332,13,746.0,1.0,0.0,3.0,0.0,1.6,0.4,Sevilla,La_Liga
Álvaro Fernández,GK,26-265,8,657.0,0.0,0.0,2.0,0.0,0.0,0.1,Sevilla,La_Liga
Juanlu Sánchez,MF,21-141,13,652.0,2.0,2.0,3.0,1.0,1.1,0.8,Sevilla,La_Liga
Chidera Ejuke,"FW,MF",27-001,9,543.0,1.0,0.0,0.0,0.0,0.7,1.3,Sevilla,La_Liga
Tanguy Nianzou,DF,22-210,6,518.0,0.0,0.0,3.0,1.0,0.2,0.0,Sevilla,La_Liga
Saúl Ñíguez,MF,30-043,7,465.0,0.0,3.0,2.0,1.0,0.9,0.9,Sevilla,La_Liga
Marcão,DF,28-212,10,458.0,0.0,0.0,5.0,1.0,0.0,0.0,Sevilla,La_Liga
Kelechi Iheanacho,FW,28-092,9,400.0,0.0,0.0,0.0,0.0,1.5,0.3,Sevilla,La_Liga
Jesús Navas,"FW,MF",39-043,15,424.0,1.0,0.0,0.0,0.0,0.5,0.5,Sevilla,La_Liga
Valentín Barco,"DF,FW",20-164,7,288.0,0.0,0.0,0.0,0.0,0.3,0.6,Sevilla,La_Liga
Stanis Idumbo,"FW,MF",19-188,6,200.0,1.0,0.0,0.0,0.0,0.6,0.6,Sevilla,La_Liga
Lucas Ocampos,FW,30-176,2,175.0,0.0,1.0,0.0,0.0,0.2,0.3,Sevilla,La_Liga
Gonzalo Montiel,"DF,MF",28-002,6,113.0,0.0,0.0,1.0,0.0,0.0,0.0,Sevilla,La_Liga
Manu Bueno,MF,20-160,2,74.0,1.0,0.0,0.0,0.0,0.1,0.0,Sevilla,La_Liga
Suso,"FW,MF",31-045,6,142.0,0.0,0.0,0.0,0.0,0.2,0.3,Sevilla,La_Liga
Álvaro Pascual,FW,23-002,2,62.0,0.0,0.0,1.0,0.0,0.0,0.0,Sevilla,La_Liga
Israel Domínguez,FW,21-241,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Sevilla,La_Liga
Mateo Mejía,FW,21-278,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Sevilla,La_Liga
Darío Fuentes,DF,21-357,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,Sevilla,La_Liga
Matías Árbol,GK,22-113,0,,,,,,,,Sevilla,La_Liga
Pablo Cruz,MF,20-358,0,,,,,,,,Sevilla,La_Liga
Alberto López,GK,21-054,0,,,,,,,,Sevilla,La_Liga
Alberto López,MF,19-262,0,,,,,,,,Sevilla,La_Liga
Ramón Martínez,DF,22-073,0,,,,,,,,Sevilla,La_Liga
Pedro Ortiz,MF,24-137,0,,,,,,,,Sevilla,La_Liga
Rafa,GK,21-149,0,,,,,,,,Sevilla,La_Liga
