Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Cristhian Mosquera,DF,20-190,17,1519.0,0.0,0.0,4.0,0.0,0.2,0.0,Valencia,La_Liga
Luis Rioja,"MF,DF",31-079,16,1307.0,3.0,0.0,3.0,0.0,2.1,1.6,Valencia,La_Liga
Diego López,"MF,FW",22-235,17,1290.0,3.0,2.0,1.0,0.0,1.8,2.4,Valencia,La_Liga
Giorgi Mamardashvili,GK,24-096,14,1260.0,0.0,0.0,1.0,0.0,0.0,0.1,Valencia,La_Liga
César Tárrega,DF,22-312,14,1226.0,2.0,0.0,3.0,0.0,1.5,0.0,Valencia,La_Liga
Hugo Duro,FW,25-054,14,1136.0,4.0,1.0,2.0,0.0,2.7,0.8,Valencia,La_Liga
José Luis García Vayá,MF,26-145,15,1072.0,1.0,2.0,6.0,1.0,1.0,1.6,Valencia,La_Liga
Javier Guerra,"MF,FW",22-002,16,929.0,0.0,1.0,1.0,0.0,0.7,0.9,Valencia,La_Liga
Dimitri Foulquier,DF,31-286,16,910.0,0.0,0.0,2.0,0.0,0.2,0.1,Valencia,La_Liga
Thierry Correia,DF,25-300,11,768.0,0.0,0.0,1.0,0.0,0.3,0.3,Valencia,La_Liga
Enzo Barrenechea,MF,23-226,12,719.0,1.0,1.0,3.0,0.0,0.7,0.3,Valencia,La_Liga
Jesus Vazquez,DF,22-001,10,649.0,0.0,0.0,3.0,0.0,0.1,0.2,Valencia,La_Liga
Yarek Gasiorowski,DF,19-357,10,716.0,0.0,0.0,1.0,0.0,0.2,0.1,Valencia,La_Liga
Domingos André Ribeiro Almeida,"MF,FW",24-218,14,695.0,0.0,0.0,1.0,0.0,0.3,0.3,Valencia,La_Liga
Dani Gómez,FW,26-157,13,529.0,2.0,0.0,0.0,0.0,2.7,0.0,Valencia,La_Liga
Hugo Guillamón,MF,24-338,9,336.0,0.0,0.0,2.0,0.0,0.1,0.0,Valencia,La_Liga
José Luis Gayà,DF,29-223,5,324.0,0.0,1.0,1.0,0.0,0.0,0.6,Valencia,La_Liga
Rafa Mir,"MF,FW",27-199,6,300.0,0.0,1.0,2.0,0.0,1.1,0.4,Valencia,La_Liga
Stole Dimitrievski,GK,31-009,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,La_Liga
Francisco Perez,"FW,MF",22-116,7,194.0,0.0,0.0,0.0,0.0,0.1,0.6,Valencia,La_Liga
Sergi Canós,"MF,FW",27-336,11,280.0,0.0,0.0,2.0,0.0,0.5,0.1,Valencia,La_Liga
Germán Valera,MF,22-293,8,148.0,0.0,0.0,0.0,0.0,0.1,0.0,Valencia,La_Liga
Maximiliano Caufriez,DF,27-322,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,La_Liga
Rodrigo Abajas,DF,21-236,1,65.0,0.0,0.0,1.0,0.0,0.1,0.0,Valencia,La_Liga
Martín Tejón,"MF,DF",20-266,4,49.0,0.0,0.0,0.0,0.0,0.1,0.0,Valencia,La_Liga
David Otorbi,MF,17-079,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,La_Liga
Alberto Marí,FW,23-176,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,La_Liga
Iker Córdoba,DF,19-053,1,6.0,0.0,0.0,0.0,0.0,0.0,0.1,Valencia,La_Liga
Jaume Doménech,GK,34-059,0,,,,,,,,Valencia,La_Liga
Raúl Jiménez,GK,18-322,0,,,,,,,,Valencia,La_Liga
Ruben Lendinez,DF,21-295,0,,,,,,,,Valencia,La_Liga
Warren Madrigal,MF,20-163,0,,,,,,,,Valencia,La_Liga
Cenk Özkacar,DF,24-089,0,,,,,,,,Valencia,La_Liga
