Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Brice Samba,GK,30-253,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,Lens,Ligue_1
Adrien Thomasson,MF,31-024,15,1210.0,2.0,1.0,1.0,0.0,2.1,3.3,Lens,Ligue_1
Facundo Medina,"DF,MF",25-220,14,1232.0,0.0,0.0,4.0,0.0,1.0,0.4,Lens,Ligue_1
Andy Diouf,MF,21-231,15,1024.0,1.0,1.0,2.0,0.0,1.0,0.8,Lens,Ligue_1
Abdukodir Khusanov,DF,20-309,13,975.0,0.0,0.0,2.0,1.0,0.2,0.3,Lens,Ligue_1
Przemysław Frankowski,DF,29-266,13,946.0,3.0,1.0,2.0,0.0,1.8,1.3,Lens,Ligue_1
Kevin Danso,DF,26-106,10,900.0,0.0,0.0,2.0,0.0,0.3,1.0,Lens,Ligue_1
M'Bala Nzola,FW,28-138,10,752.0,4.0,1.0,3.0,0.0,4.3,1.0,Lens,Ligue_1
Jonathan Gradit,DF,32-040,9,751.0,0.0,0.0,3.0,0.0,0.3,0.4,Lens,Ligue_1
Florian Sotoca,"FW,MF",34-070,14,739.0,0.0,0.0,2.0,0.0,2.6,0.5,Lens,Ligue_1
Anass Zaroury,"FW,MF",24-057,12,641.0,0.0,1.0,2.0,1.0,0.9,1.0,Lens,Ligue_1
Jhoanner Chávez,"DF,MF",22-253,9,584.0,1.0,0.0,1.0,0.0,0.3,0.7,Lens,Ligue_1
Angelo Fulgini,"MF,FW",28-136,12,584.0,1.0,1.0,0.0,0.0,1.5,1.8,Lens,Ligue_1
Rémy Labeau Lascary,"FW,MF",21-306,14,637.0,2.0,1.0,5.0,0.0,2.5,1.1,Lens,Ligue_1
Deiver Machado,"DF,MF",31-123,11,543.0,0.0,0.0,1.0,1.0,1.3,0.6,Lens,Ligue_1
Wesley Saïd,"FW,MF",29-259,8,380.0,1.0,0.0,2.0,0.0,2.0,0.2,Lens,Ligue_1
David Costa,MF,23-364,9,313.0,0.0,0.0,0.0,0.0,1.1,0.4,Lens,Ligue_1
Ruben Aguilar,DF,31-252,5,270.0,0.0,1.0,1.0,0.0,0.2,0.7,Lens,Ligue_1
Neil El Aynaoui,MF,23-185,8,287.0,1.0,0.0,1.0,0.0,0.5,0.3,Lens,Ligue_1
Malang Sarr,DF,25-346,4,204.0,0.0,0.0,0.0,0.0,0.0,0.0,Lens,Ligue_1
Hamzat Ojediran,MF,21-050,8,289.0,1.0,0.0,1.0,0.0,0.4,0.4,Lens,Ligue_1
Nampalys Mendy,MF,32-194,4,110.0,0.0,0.0,0.0,0.0,0.0,0.0,Lens,Ligue_1
Tom Pouilly,DF,21-199,2,46.0,0.0,0.0,1.0,0.0,0.0,0.0,Lens,Ligue_1
Martin Satriano,"FW,DF",23-318,4,41.0,0.0,0.0,0.0,0.0,0.3,0.1,Lens,Ligue_1
Kyllian Antonio,DF,16-365,0,,,,,,,,Lens,Ligue_1
Adam Delplace,GK,18-122,0,,,,,,,,Lens,Ligue_1
Kembo Diliwidi,FW,18-335,0,,,,,,,,Lens,Ligue_1
Ismaëlo Ganiou,DF,19-295,0,,,,,,,,Lens,Ligue_1
Massadio Haïdara,"DF,MF",32-032,0,,,,,,,,Lens,Ligue_1
Hervé Koffi,GK,28-079,0,,,,,,,,Lens,Ligue_1
Denis Petrić,GK,36-224,0,,,,,,,,Lens,Ligue_1
