Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Thilo Kehrer,DF,28-105,13,1170.0,2.0,0.0,0.0,0.0,0.8,0.3,Monaco,Ligue_1
Wilfried Singo,DF,24-010,15,1097.0,1.0,1.0,3.0,0.0,0.9,0.1,Monaco,Ligue_1
Eliesse Ben Seghir,"MF,FW",19-323,16,1046.0,5.0,3.0,0.0,0.0,4.1,3.5,Monaco,Ligue_1
Maghnes Akliouche,"FW,MF",22-314,15,1045.0,2.0,4.0,0.0,0.0,3.1,3.4,Monaco,Ligue_1
Aleksandr Golovin,"MF,FW",28-219,13,974.0,2.0,0.0,1.0,0.0,1.3,2.2,Monaco,Ligue_1
Takumi Minamino,"MF,FW",29-354,14,965.0,1.0,1.0,1.0,0.0,3.2,3.7,Monaco,Ligue_1
Vanderson,DF,23-197,12,932.0,1.0,1.0,5.0,1.0,0.5,1.2,Monaco,Ligue_1
Lamine Camara,MF,21-003,13,927.0,2.0,2.0,7.0,1.0,1.0,1.9,Monaco,Ligue_1
Denis Zakaria,MF,28-045,10,835.0,2.0,2.0,2.0,0.0,1.9,0.3,Monaco,Ligue_1
Breel Embolo,FW,27-325,14,817.0,3.0,2.0,2.0,0.0,6.3,2.5,Monaco,Ligue_1
Philipp Köhn,GK,26-277,9,810.0,0.0,0.0,1.0,0.0,0.0,0.0,Monaco,Ligue_1
Caio Henrique Oliveira Silva,DF,27-157,10,682.0,0.0,1.0,1.0,0.0,0.1,2.0,Monaco,Ligue_1
Soungoutou Magassa,MF,21-088,12,653.0,0.0,0.0,3.0,0.0,0.3,0.3,Monaco,Ligue_1
Mohammed Salisu,DF,25-262,9,660.0,0.0,0.0,2.0,0.0,0.4,0.0,Monaco,Ligue_1
Radosław Majecki,GK,25-049,7,630.0,0.0,0.0,1.0,0.0,0.0,0.0,Monaco,Ligue_1
Folarin Balogun,FW,23-185,7,469.0,3.0,0.0,0.0,0.0,3.8,0.9,Monaco,Ligue_1
George Ilenikhena,FW,18-141,16,548.0,1.0,2.0,0.0,0.0,3.3,1.3,Monaco,Ligue_1
Christian Mawissa,DF,19-261,8,470.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco,Ligue_1
Jordan Teze,DF,25-096,10,307.0,1.0,0.0,2.0,1.0,1.2,0.4,Monaco,Ligue_1
Kassoum Ouattara,"DF,FW",20-082,10,271.0,0.0,1.0,2.0,0.0,0.2,0.5,Monaco,Ligue_1
Ismail Jakobs,DF,25-140,2,180.0,0.0,0.0,0.0,0.0,0.0,0.2,Monaco,Ligue_1
Krépin Diatta,DF,25-314,6,196.0,0.0,0.0,0.0,0.0,0.2,0.0,Monaco,Ligue_1
Eliot Matazo,MF,22-324,3,68.0,0.0,0.0,0.0,0.0,0.0,0.1,Monaco,Ligue_1
Saïmon Bouabré,MF,18-217,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco,Ligue_1
Aladji Bamba,MF,18-174,0,,,,,,,,Monaco,Ligue_1
Edan Diop,MF,20-129,0,,,,,,,,Monaco,Ligue_1
Bradel Kiwa,MF,18-334,0,,,,,,,,Monaco,Ligue_1
Yann Liénard,GK,21-294,0,,,,,,,,Monaco,Ligue_1
Guillermo Maripán,DF,30-243,0,,,,,,,,Monaco,Ligue_1
Lucas Michal,FW,19-196,0,,,,,,,,Monaco,Ligue_1
Samuel Nibombé,DF,17-142,0,,,,,,,,Monaco,Ligue_1
Jules Stawiecki,GK,17-269,0,,,,,,,,Monaco,Ligue_1
