Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Gautier Larsonneur,GK,27-315,15,1350.0,0.0,0.0,3.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Zuriko Davitashvili,"MF,FW",23-323,15,1276.0,5.0,2.0,1.0,0.0,3.6,1.7,Saint Etienne,Ligue_1
Dylan Batubinsika,DF,28-323,15,1224.0,0.0,0.0,1.0,0.0,0.5,0.0,Saint Etienne,Ligue_1
Pierre Ekwah Elimby,"MF,DF",22-354,12,1051.0,0.0,0.0,2.0,0.0,0.1,0.1,Saint Etienne,Ligue_1
Yunis Abdelhamid,DF,37-097,11,936.0,0.0,0.0,2.0,0.0,0.2,0.0,Saint Etienne,Ligue_1
Dennis Appiah,DF,32-208,14,1019.0,0.0,1.0,1.0,0.0,0.1,1.5,Saint Etienne,Ligue_1
Léo Pétrot,DF,27-263,12,949.0,0.0,1.0,2.0,0.0,0.1,0.4,Saint Etienne,Ligue_1
Ibrahim Sissoko,FW,29-037,15,802.0,3.0,1.0,1.0,0.0,4.3,0.6,Saint Etienne,Ligue_1
Mathis Amougou,MF,18-351,14,721.0,0.0,0.0,2.0,0.0,0.4,0.1,Saint Etienne,Ligue_1
Benjamin Bouchouari,MF,23-051,11,644.0,1.0,0.0,2.0,0.0,0.1,0.2,Saint Etienne,Ligue_1
Mathieu Cafaro,"MF,FW",27-284,12,608.0,1.0,0.0,3.0,1.0,1.1,1.2,Saint Etienne,Ligue_1
Louis Mouton,MF,22-214,11,538.0,0.0,0.0,1.0,0.0,0.3,0.7,Saint Etienne,Ligue_1
Lucas Stassin,FW,20-036,12,530.0,1.0,3.0,2.0,0.0,1.3,1.3,Saint Etienne,Ligue_1
Mickael Nade,DF,25-305,7,596.0,1.0,0.0,1.0,0.0,0.7,0.0,Saint Etienne,Ligue_1
Aimen Moueffek,MF,23-269,11,479.0,0.0,0.0,0.0,0.0,0.7,0.2,Saint Etienne,Ligue_1
Pierre Cornud,DF,28-022,7,375.0,0.0,0.0,2.0,0.0,0.0,0.2,Saint Etienne,Ligue_1
Ben Old,"MF,FW",22-143,6,376.0,0.0,0.0,0.0,0.0,0.8,0.7,Saint Etienne,Ligue_1
Augustine Boakye,"MF,FW",24-061,8,336.0,0.0,0.0,3.0,0.0,0.3,0.6,Saint Etienne,Ligue_1
Yvann Macon,DF,26-094,4,286.0,0.0,0.0,1.0,0.0,0.1,0.1,Saint Etienne,Ligue_1
Florian Tardieu,MF,32-256,7,169.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Marwann Nzuzi,DF,20-232,2,125.0,0.0,0.0,2.0,0.0,0.0,0.1,Saint Etienne,Ligue_1
Ayman Aiki,"FW,MF",19-192,5,127.0,0.0,0.0,0.0,0.0,0.1,0.0,Saint Etienne,Ligue_1
Beres Owusu,DF,21-106,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Lamine Fomba,MF,26-343,3,70.0,0.0,0.0,1.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Ibrahima Wadji,"MF,FW",29-243,4,104.0,0.0,0.0,0.0,0.0,0.2,0.0,Saint Etienne,Ligue_1
Kévin Pedro,DF,18-317,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Jibril Othman,FW,20-252,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Etienne,Ligue_1
Cheikh Fall,MF,20-313,0,,,,,,,,Saint Etienne,Ligue_1
Antoine Gauthier,MF,20-186,0,,,,,,,,Saint Etienne,Ligue_1
Brice Maubleu,GK,35-033,0,,,,,,,,Saint Etienne,Ligue_1
Igor Miladinović,MF,21-209,0,,,,,,,,Saint Etienne,Ligue_1
Issiaka Touré,GK,20-057,0,,,,,,,,Saint Etienne,Ligue_1
