Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Emiliano Martínez,GK,32-123,19,1665.0,0.0,0.0,2.0,0.0,0.0,0.0,Aston Villa,Premier_League
Youri Tielemans,MF,27-241,19,1591.0,0.0,4.0,3.0,0.0,1.5,4.2,Aston Villa,Premier_League
Morgan Rogers,"MF,FW",22-161,19,1558.0,6.0,3.0,5.0,0.0,3.6,4.0,Aston Villa,Premier_League
Pau Torres,DF,27-353,18,1549.0,0.0,0.0,1.0,0.0,0.5,0.0,Aston Villa,Premier_League
Ezri Konsa,DF,27-072,17,1451.0,1.0,0.0,0.0,0.0,0.6,0.2,Aston Villa,Premier_League
Lucas Digne,DF,31-167,19,1427.0,0.0,2.0,3.0,0.0,0.6,3.2,Aston Villa,Premier_League
Ollie Watkins,FW,29-004,19,1272.0,8.0,4.0,0.0,0.0,9.9,1.9,Aston Villa,Premier_League
John McGinn,"FW,MF",30-077,17,1236.0,0.0,3.0,3.0,0.0,1.8,2.5,Aston Villa,Premier_League
Amadou Onana,MF,23-140,14,908.0,2.0,0.0,3.0,0.0,1.8,0.1,Aston Villa,Premier_League
Matty Cash,"DF,FW",27-149,12,898.0,1.0,0.0,5.0,0.0,0.2,0.2,Aston Villa,Premier_League
Leon Bailey,"FW,MF",27-147,16,829.0,0.0,2.0,2.0,0.0,1.0,1.4,Aston Villa,Premier_League
Diego Carlos,DF,31-294,10,830.0,0.0,0.0,1.0,0.0,0.6,0.0,Aston Villa,Premier_League
Jacob Ramsey,"FW,MF",23-220,11,647.0,0.0,2.0,1.0,0.0,0.7,1.3,Aston Villa,Premier_League
Boubacar Kamara,MF,25-041,10,586.0,0.0,0.0,1.0,0.0,0.1,0.1,Aston Villa,Premier_League
Jhon Durán,FW,21-021,18,602.0,7.0,0.0,3.0,1.0,4.8,0.2,Aston Villa,Premier_League
Lamare Bogarde,DF,20-364,3,213.0,0.0,0.0,1.0,0.0,0.0,0.1,Aston Villa,Premier_League
Ross Barkley,MF,31-029,15,479.0,2.0,1.0,3.0,0.0,1.5,0.6,Aston Villa,Premier_League
Jaden Philogene Bidace,"FW,MF",22-330,11,332.0,0.0,0.0,4.0,1.0,0.5,0.3,Aston Villa,Premier_League
Ian Maatsen,DF,22-299,14,298.0,0.0,0.0,1.0,0.0,0.1,1.1,Aston Villa,Premier_League
Tyrone Mings,DF,31-296,2,161.0,0.0,0.0,1.0,0.0,0.2,0.0,Aston Villa,Premier_League
Kosta Nedeljković,DF,19-018,4,118.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,Premier_League
Emi Buendía,"MF,FW",28-009,9,55.0,0.0,0.0,1.0,0.0,0.1,0.0,Aston Villa,Premier_League
Robin Olsen,GK,34-361,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,Premier_League
Benjamin Broggio,FW,17-340,0,,,,,,,,Aston Villa,Premier_League
Joe Gauci,GK,24-183,0,,,,,,,,Aston Villa,Premier_League
Sil Swinkels,DF,20-363,0,,,,,,,,Aston Villa,Premier_League
Kadan Young,MF,18-350,0,,,,,,,,Aston Villa,Premier_League
Oliwier Zych,GK,20-189,0,,,,,,,,Aston Villa,Premier_League
