Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Nathan Collins,DF,23-249,19,1710.0,2.0,1.0,2.0,0.0,2.1,1.3,Brentford,Premier_League
Bryan Mbeumo,FW,25-150,19,1704.0,11.0,2.0,2.0,0.0,5.0,3.6,Brentford,Premier_League
Mark Flekken,GK,31-205,19,1655.0,0.0,1.0,1.0,0.0,0.0,0.2,Brentford,Premier_League
Keane Lewis-Potter,"DF,FW",23-317,19,1469.0,0.0,1.0,3.0,0.0,1.5,1.1,Brentford,Premier_League
Ethan Pinnock,DF,31-220,16,1440.0,2.0,0.0,2.0,0.0,0.9,1.2,Brentford,Premier_League
Vitaly Janelt,MF,26-239,18,1400.0,1.0,3.0,2.0,0.0,0.6,2.0,Brentford,Premier_League
Mikkel Damsgaard,"MF,FW",24-185,19,1354.0,2.0,5.0,1.0,0.0,1.7,4.4,Brentford,Premier_League
Christian Nørgaard,MF,30-300,16,1299.0,1.0,2.0,3.0,1.0,1.8,0.4,Brentford,Premier_League
Yoane Wissa,FW,28-123,16,1211.0,9.0,1.0,2.0,0.0,6.9,0.9,Brentford,Premier_League
Sepp van den Berg,DF,23-015,15,1248.0,0.0,0.0,1.0,0.0,0.6,0.1,Brentford,Premier_League
Kevin Schade,FW,23-038,19,864.0,4.0,2.0,2.0,0.0,3.6,1.1,Brentford,Premier_League
Kristoffer Ajer,DF,26-262,10,717.0,0.0,0.0,3.0,0.0,0.5,0.7,Brentford,Premier_League
Mads Roerslev,DF,25-194,15,745.0,0.0,1.0,1.0,0.0,0.0,1.9,Brentford,Premier_League
Mathias Jensen,MF,29-003,9,495.0,0.0,1.0,1.0,0.0,0.2,0.8,Brentford,Premier_League
Yehor Yarmoliuk,MF,20-309,14,506.0,0.0,0.0,2.0,0.0,0.4,0.2,Brentford,Premier_League
Fabio Carvalho,"FW,MF",22-127,16,428.0,1.0,1.0,1.0,0.0,2.1,0.5,Brentford,Premier_League
Ben Mee,DF,35-105,5,176.0,0.0,0.0,2.0,0.0,0.0,0.0,Brentford,Premier_League
Thiago,FW,23-192,4,132.0,0.0,0.0,0.0,0.0,0.1,0.1,Brentford,Premier_League
Edmond-Paris Maghoma,MF,23-241,4,68.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Hákon Rafn Valdimarsson,GK,23-083,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Kim Jisoo,DF,20-011,2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Frank Onyeka,MF,27-003,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Yunus Emre Konak,"MF,FW",18-360,5,21.0,0.0,0.0,0.0,0.0,0.2,0.0,Brentford,Premier_League
Jayden Meghoma,DF,18-190,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Ryan Trevitt,MF,21-298,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,Premier_League
Benjamin Arthur,DF,19-087,0,,,,,,,,Brentford,Premier_League
Myles Peart-Harris,MF,22-108,0,,,,,,,,Brentford,Premier_League
Tony Yogane,MF,19-102,0,,,,,,,,Brentford,Premier_League
