Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Kaoru Mitoma,"FW,MF",27-228,19,1546.0,3.0,2.0,0.0,0.0,4.0,3.6,Brighton and Hove Albion,Premier_League
Bart Verbruggen,GK,22-138,17,1530.0,0.0,0.0,2.0,0.0,0.0,0.0,Brighton and Hove Albion,Premier_League
Jan Paul van Hecke,DF,24-209,17,1430.0,0.0,1.0,4.0,0.0,0.6,0.8,Brighton and Hove Albion,Premier_League
Lewis Dunk,DF,33-043,15,1264.0,0.0,0.0,4.0,0.0,0.7,0.5,Brighton and Hove Albion,Premier_League
Carlos Baleba,MF,21-000,16,1162.0,2.0,1.0,5.0,1.0,1.1,0.6,Brighton and Hove Albion,Premier_League
Danny Welbeck,FW,34-038,14,1112.0,6.0,2.0,1.0,0.0,5.6,0.5,Brighton and Hove Albion,Premier_League
Joël Veltman,DF,32-354,13,1109.0,0.0,0.0,2.0,0.0,0.1,0.3,Brighton and Hove Albion,Premier_League
Georginio Rutter,"FW,MF",22-258,18,1037.0,2.0,2.0,2.0,0.0,2.8,1.4,Brighton and Hove Albion,Premier_League
Pervis Estupiñán,DF,26-348,15,1154.0,0.0,1.0,3.0,0.0,0.5,1.6,Brighton and Hove Albion,Premier_League
João Pedro,"FW,MF",23-099,13,949.0,4.0,5.0,1.0,0.0,2.8,2.3,Brighton and Hove Albion,Premier_League
Yasin Ayari,MF,21-089,16,924.0,0.0,0.0,3.0,0.0,1.2,1.1,Brighton and Hove Albion,Premier_League
Jack Hinshelwood,"MF,DF",19-267,10,840.0,1.0,0.0,2.0,0.0,0.7,0.3,Brighton and Hove Albion,Premier_League
Igor,DF,26-331,11,838.0,0.0,0.0,4.0,0.0,0.0,0.2,Brighton and Hove Albion,Premier_League
Yankuba Minteh,"FW,MF",20-165,14,592.0,2.0,1.0,2.0,0.0,1.3,1.6,Brighton and Hove Albion,Premier_League
Ferdi Kadioglu,"DF,MF",25-088,6,385.0,1.0,0.0,1.0,0.0,0.4,0.2,Brighton and Hove Albion,Premier_League
Mats Wieffer,MF,25-048,13,471.0,1.0,1.0,2.0,0.0,0.5,0.6,Brighton and Hove Albion,Premier_League
Simon Adingra,"FW,MF",23-002,13,430.0,2.0,1.0,0.0,0.0,0.9,0.7,Brighton and Hove Albion,Premier_League
Tariq Lamptey,DF,24-095,7,350.0,2.0,2.0,0.0,0.0,0.3,0.4,Brighton and Hove Albion,Premier_League
Matt O'Riley,MF,24-043,7,309.0,1.0,0.0,1.0,0.0,1.1,0.6,Brighton and Hove Albion,Premier_League
Brajan Gruda,"FW,MF",20-217,9,277.0,0.0,0.0,0.0,0.0,0.1,0.5,Brighton and Hove Albion,Premier_League
James Milner,MF,38-365,3,169.0,0.0,0.0,1.0,0.0,0.2,0.2,Brighton and Hove Albion,Premier_League
Julio Enciso,"MF,FW",20-346,11,293.0,0.0,0.0,0.0,0.0,1.0,0.2,Brighton and Hove Albion,Premier_League
Evan Ferguson,FW,20-076,12,228.0,1.0,0.0,0.0,0.0,0.5,0.4,Brighton and Hove Albion,Premier_League
Jason Steele,GK,34-138,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton and Hove Albion,Premier_League
Adam Webster,DF,29-365,3,79.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton and Hove Albion,Premier_League
Billy Gilmour,MF,23-206,2,98.0,0.0,0.0,0.0,0.0,0.1,0.0,Brighton and Hove Albion,Premier_League
Jakub Moder,MF,25-271,3,10.0,0.0,0.0,0.0,0.0,0.0,0.2,Brighton and Hove Albion,Premier_League
Jeremy Sarmiento,MF,22-201,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton and Hove Albion,Premier_League
Solly March,DF,30-167,1,3.0,0.0,0.0,0.0,0.0,0.1,0.0,Brighton and Hove Albion,Premier_League
Valentín Barco,DF,20-164,0,,,,,,,,Brighton and Hove Albion,Premier_League
Killian Cahill,GK,21-061,0,,,,,,,,Brighton and Hove Albion,Premier_League
Ruairi Mcconville,DF,19-247,0,,,,,,,,Brighton and Hove Albion,Premier_League
Mark O'Mahony,FW,19-355,0,,,,,,,,Brighton and Hove Albion,Premier_League
Carl Rushworth,GK,23-185,0,,,,,,,,Brighton and Hove Albion,Premier_League
Imari Samuels,DF,21-333,0,,,,,,,,Brighton and Hove Albion,Premier_League
Jacob Slater,MF,20-090,0,,,,,,,,Brighton and Hove Albion,Premier_League
