Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Moisés Caicedo,MF,23-062,19,1685.0,1.0,2.0,4.0,0.0,0.5,2.0,Chelsea,Premier_League
Cole Palmer,MF,22-242,19,1657.0,12.0,6.0,3.0,0.0,10.9,6.8,Chelsea,Premier_League
Levi Colwill,DF,21-312,18,1619.0,0.0,1.0,4.0,0.0,0.4,0.8,Chelsea,Premier_League
Robert Sánchez,GK,27-046,17,1530.0,0.0,0.0,4.0,0.0,0.0,0.0,Chelsea,Premier_League
Nicolas Jackson,FW,23-197,18,1364.0,9.0,3.0,4.0,0.0,9.1,1.9,Chelsea,Premier_League
Marc Cucurella,DF,26-165,17,1354.0,1.0,1.0,8.0,1.0,0.4,0.9,Chelsea,Premier_League
Enzo Fernández,MF,23-352,18,1332.0,3.0,4.0,2.0,0.0,2.1,3.3,Chelsea,Premier_League
Noni Madueke,FW,22-299,17,1115.0,5.0,3.0,3.0,0.0,5.2,2.6,Chelsea,Premier_League
Malo Gusto,DF,21-229,16,1150.0,0.0,1.0,3.0,0.0,1.5,0.7,Chelsea,Premier_League
Wesley Fofana,DF,24-017,12,1015.0,0.0,0.0,6.0,0.0,0.4,0.4,Chelsea,Premier_League
Pedro Neto,FW,24-300,16,912.0,1.0,2.0,6.0,0.0,0.7,2.5,Chelsea,Premier_League
Jadon Sancho,FW,24-284,13,786.0,2.0,3.0,1.0,0.0,1.0,2.1,Chelsea,Premier_League
Tosin Adarabioyo,DF,27-101,9,623.0,0.0,0.0,1.0,0.0,0.3,0.0,Chelsea,Premier_League
Roméo Lavia,MF,20-363,9,477.0,0.0,1.0,3.0,0.0,0.2,0.7,Chelsea,Premier_League
Axel Disasi,DF,26-298,5,350.0,1.0,0.0,1.0,0.0,0.3,0.1,Chelsea,Premier_League
Christopher Nkunku,FW,27-050,18,403.0,2.0,1.0,1.0,0.0,4.0,1.7,Chelsea,Premier_League
João Félix,"FW,MF",25-054,10,352.0,1.0,1.0,2.0,0.0,2.2,1.0,Chelsea,Premier_League
Reece James,DF,25-026,4,241.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,Premier_League
Benoît Badiashile,DF,23-283,4,249.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,Premier_League
Filip Jørgensen,GK,22-262,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,Premier_League
Renato Veiga,"DF,MF",21-158,7,181.0,0.0,0.0,2.0,0.0,0.2,0.0,Chelsea,Premier_League
Mykhailo Mudryk,FW,23-364,7,151.0,0.0,0.0,0.0,0.0,0.3,1.0,Chelsea,Premier_League
Kiernan Dewsbury-Hall,MF,26-119,5,59.0,0.0,0.0,0.0,0.0,0.0,0.1,Chelsea,Premier_League
Marc Guiu,FW,18-365,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,Premier_League
Joshua Acheampong,DF,18-243,0,,,,,,,,Chelsea,Premier_League
Marcus Bettinelli,GK,32-224,0,,,,,,,,Chelsea,Premier_League
Cesare Casadei,MF,21-359,0,,,,,,,,Chelsea,Premier_League
Tyrique George,FW,18-334,0,,,,,,,,Chelsea,Premier_League
Samuel Rak-Sakyi,MF,19-282,0,,,,,,,,Chelsea,Premier_League
