Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Jordan Pickford,GK,30-302,18,1620.0,0.0,0.0,4.0,0.0,0.0,0.0,Everton,Premier_League
James Tarkowski,DF,32-045,18,1611.0,0.0,0.0,4.0,0.0,0.7,1.3,Everton,Premier_League
Iliman Ndiaye,FW,24-303,18,1426.0,3.0,0.0,2.0,0.0,1.8,1.2,Everton,Premier_League
Vitaliy Mykolenko,DF,25-219,16,1375.0,0.0,0.0,2.0,0.0,0.3,0.5,Everton,Premier_League
Dominic Calvert-Lewin,FW,27-293,18,1323.0,2.0,1.0,1.0,0.0,4.7,0.4,Everton,Premier_League
Idrissa Gana Gueye,MF,35-099,17,1317.0,0.0,0.0,3.0,0.0,0.8,0.6,Everton,Premier_League
Ashley Young,DF,39-178,15,1267.0,1.0,3.0,5.0,1.0,0.2,1.3,Everton,Premier_League
Abdoulaye Doucouré,MF,32-002,16,1253.0,0.0,0.0,0.0,0.0,0.7,0.9,Everton,Premier_League
Dwight McNeil,"MF,FW",25-042,13,1140.0,3.0,3.0,1.0,0.0,0.9,3.5,Everton,Premier_League
Jack Harrison,FW,28-044,17,939.0,0.0,0.0,0.0,0.0,2.2,1.8,Everton,Premier_League
Orel Mangala,MF,26-291,15,946.0,1.0,0.0,2.0,0.0,0.8,0.5,Everton,Premier_League
Jarrad Branthwaite,DF,22-190,11,818.0,0.0,0.0,2.0,0.0,0.2,0.0,Everton,Premier_League
Michael Keane,DF,31-358,9,810.0,2.0,0.0,4.0,0.0,0.4,0.1,Everton,Premier_League
Jesper Lindstrøm,FW,24-309,14,592.0,0.0,0.0,0.0,0.0,1.4,1.0,Everton,Premier_League
Tim Iroegbunam,MF,21-187,6,383.0,0.0,0.0,2.0,0.0,0.2,0.1,Everton,Premier_League
James Garner,"DF,MF",23-296,4,253.0,0.0,0.0,1.0,0.0,0.0,0.0,Everton,Premier_League
Séamus Coleman,DF,36-084,3,196.0,0.0,0.0,1.0,0.0,0.6,0.0,Everton,Premier_League
Beto,FW,26-338,11,221.0,1.0,0.0,1.0,0.0,1.7,0.0,Everton,Premier_League
Armando Broja,FW,23-115,4,128.0,0.0,0.0,1.0,0.0,0.1,0.1,Everton,Premier_League
Roman Dixon,DF,20-008,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,Premier_League
Nathan Patterson,DF,23-079,3,42.0,0.0,0.0,0.0,0.0,0.0,0.3,Everton,Premier_League
Jake O'Brien,DF,23-233,2,36.0,0.0,0.0,1.0,0.0,0.0,0.0,Everton,Premier_League
Mason Holgate,"FW,DF",28-073,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,Premier_League
Harrison Armstrong,MF,17-350,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Everton,Premier_League
Callum Bates,MF,19-097,0,,,,,,,,Everton,Premier_League
Asmir Begović,GK,37-197,0,,,,,,,,Everton,Premier_League
Youssef Chermiti,FW,20-224,0,,,,,,,,Everton,Premier_League
Neal Maupay,"FW,MF",28-142,0,,,,,,,,Everton,Premier_League
Jenson Metcalfe,MF,20-119,0,,,,,,,,Everton,Premier_League
João Virgínia,GK,25-085,0,,,,,,,,Everton,Premier_League
