Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Bernd Leno,GK,32-306,19,1710.0,0.0,1.0,2.0,0.0,0.0,0.1,Fulham,Premier_League
Antonee Robinson,"DF,FW",27-149,19,1710.0,0.0,7.0,4.0,0.0,0.5,2.9,Fulham,Premier_League
Alex Iwobi,"FW,MF",28-246,19,1657.0,5.0,3.0,1.0,0.0,3.0,3.9,Fulham,Premier_League
Calvin Bassey,DF,25-004,18,1620.0,0.0,0.0,5.0,0.0,0.4,0.1,Fulham,Premier_League
Kenny Tete,DF,29-087,15,1262.0,0.0,2.0,3.0,0.0,1.0,0.7,Fulham,Premier_League
Andreas Pereira,MF,29-003,17,1150.0,2.0,1.0,5.0,0.0,2.9,2.2,Fulham,Premier_League
Raúl Jiménez,FW,33-244,19,1137.0,6.0,2.0,2.0,0.0,5.6,2.2,Fulham,Premier_League
Emile Smith Rowe,MF,24-160,17,1091.0,3.0,2.0,1.0,0.0,2.2,1.0,Fulham,Premier_League
Saša Lukić,MF,28-144,14,1072.0,0.0,1.0,7.0,0.0,0.1,0.9,Fulham,Premier_League
Issa Diop,DF,27-361,14,1023.0,0.0,0.0,2.0,0.0,0.5,0.1,Fulham,Premier_League
Adama Traoré,"FW,MF",28-345,18,929.0,1.0,3.0,2.0,0.0,2.9,2.8,Fulham,Premier_League
Sander Berge,MF,26-325,14,957.0,0.0,0.0,2.0,0.0,0.1,0.4,Fulham,Premier_League
Joachim Andersen,DF,28-218,10,873.0,0.0,0.0,2.0,1.0,0.2,0.2,Fulham,Premier_League
Rodrigo Muniz,FW,23-245,18,573.0,3.0,1.0,1.0,0.0,2.4,0.6,Fulham,Premier_League
Reiss Nelson,FW,25-025,11,487.0,1.0,1.0,1.0,0.0,1.1,1.0,Fulham,Premier_League
Harry Wilson,"FW,MF",27-288,15,524.0,5.0,0.0,2.0,0.0,2.8,0.2,Fulham,Premier_League
Timothy Castagne,DF,29-030,9,453.0,0.0,1.0,0.0,0.0,0.1,1.0,Fulham,Premier_League
Tom Cairney,MF,33-350,13,294.0,1.0,0.0,2.0,1.0,0.1,0.5,Fulham,Premier_League
Jorge Cuenca,DF,25-048,4,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,Premier_League
Joshua King,MF,18-001,3,73.0,0.0,0.0,0.0,0.0,0.0,0.1,Fulham,Premier_League
Harrison Reed,MF,29-343,8,61.0,0.0,0.0,2.0,0.0,0.0,0.1,Fulham,Premier_League
Martial Godo,FW,21-296,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,Premier_League
Ryan Sessegnon,MF,24-231,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,Premier_League
Carlos Vinícius,MF,29-285,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,Premier_League
Jay Stansfield,MF,22-041,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,Premier_League
Samuel Amissah,DF,17-303,0,,,,,,,,Fulham,Premier_League
Steven Benda,GK,26-095,0,,,,,,,,Fulham,Premier_League
