Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Leif Davis,DF,24-358,19,1710.0,1.0,2.0,4.0,0.0,0.6,3.2,Ipswich Town,Premier_League
Omari Hutchinson,"MF,FW",21-066,18,1535.0,2.0,1.0,4.0,0.0,1.5,2.1,Ipswich Town,Premier_League
Arijanet Muric,GK,26-058,17,1530.0,0.0,0.0,1.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Sam Morsy,MF,33-116,17,1523.0,1.0,1.0,6.0,0.0,0.3,0.6,Ipswich Town,Premier_League
Liam Delap,FW,21-331,18,1354.0,7.0,2.0,5.0,0.0,5.4,1.5,Ipswich Town,Premier_League
Dara O'Shea,DF,25-306,16,1412.0,0.0,0.0,4.0,0.0,0.7,0.0,Ipswich Town,Premier_League
Sammie Szmodics,"FW,MF",29-102,17,906.0,3.0,0.0,2.0,0.0,3.1,0.2,Ipswich Town,Premier_League
Jacob Greaves,DF,24-114,10,900.0,0.0,0.0,2.0,0.0,0.4,0.0,Ipswich Town,Premier_League
Wes Burns,"FW,DF",30-042,15,817.0,0.0,1.0,1.0,0.0,0.4,1.6,Ipswich Town,Premier_League
Jens Cajuste,MF,25-147,13,761.0,0.0,0.0,2.0,0.0,0.1,0.2,Ipswich Town,Premier_League
Cameron Burgess,DF,29-075,9,810.0,0.0,1.0,0.0,0.0,0.6,0.3,Ipswich Town,Premier_League
Axel Tuanzebe,DF,27-051,9,770.0,0.0,0.0,3.0,0.0,0.2,0.2,Ipswich Town,Premier_League
Kalvin Phillips,MF,29-033,10,670.0,0.0,0.0,3.0,1.0,0.3,0.1,Ipswich Town,Premier_League
Conor Chaplin,"MF,FW",27-323,15,614.0,1.0,1.0,1.0,0.0,1.2,0.6,Ipswich Town,Premier_League
Ben Johnson,"DF,FW",24-346,11,597.0,0.0,1.0,1.0,0.0,0.0,0.4,Ipswich Town,Premier_League
Luke Woolfenden,DF,26-075,7,557.0,0.0,0.0,1.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Jack Clarke,"FW,MF",24-042,15,524.0,0.0,2.0,1.0,0.0,0.8,1.1,Ipswich Town,Premier_League
Harry Clarke,DF,23-308,7,379.0,0.0,0.0,3.0,1.0,0.1,0.0,Ipswich Town,Premier_League
Chiedozie Ogbene,FW,27-248,5,238.0,0.0,0.0,0.0,0.0,0.0,0.1,Ipswich Town,Premier_League
Christian Walton,GK,29-056,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Massimo Luongo,MF,32-101,5,143.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Jack Taylor,MF,26-195,14,348.0,1.0,0.0,3.0,0.0,0.5,0.5,Ipswich Town,Premier_League
George Hirst,FW,25-324,8,180.0,1.0,1.0,1.0,0.0,0.8,0.3,Ipswich Town,Premier_League
Nathan Broadhead,"MF,FW",26-274,5,137.0,0.0,0.0,0.0,0.0,0.5,0.1,Ipswich Town,Premier_League
Ali Al Hamadi,FW,22-309,10,131.0,0.0,0.0,3.0,0.0,0.4,0.1,Ipswich Town,Premier_League
Marcus Harness,MF,28-315,2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town,Premier_League
George Edmundson,DF,27-126,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Conor Townsend,MF,31-306,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town,Premier_League
Cieran Slicker,GK,22-111,0,,,,,,,,Ipswich Town,Premier_League
