Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Erling Haaland,FW,24-167,19,1709.0,14.0,1.0,2.0,0.0,14.8,1.3,Manchester City,Premier_League
Joško Gvardiol,DF,22-347,18,1572.0,4.0,0.0,1.0,0.0,2.7,1.5,Manchester City,Premier_League
Bernardo Silva,"MF,FW",30-147,19,1556.0,2.0,4.0,4.0,0.0,2.7,3.9,Manchester City,Premier_League
Rico Lewis,"DF,MF",20-044,17,1293.0,1.0,2.0,5.0,1.0,1.1,0.3,Manchester City,Premier_League
Manuel Akanji,DF,29-169,15,1276.0,0.0,0.0,3.0,0.0,0.3,0.3,Manchester City,Premier_League
Ederson,GK,31-140,13,1170.0,0.0,1.0,3.0,0.0,0.0,0.4,Manchester City,Premier_League
Mateo Kovačić,MF,30-243,15,1159.0,3.0,0.0,3.0,0.0,1.1,1.9,Manchester City,Premier_League
İlkay Gündoğan,MF,34-072,17,1119.0,0.0,1.0,1.0,0.0,1.6,1.3,Manchester City,Premier_League
Rúben Dias,DF,27-235,13,1087.0,0.0,0.0,3.0,0.0,1.1,0.3,Manchester City,Premier_League
Sávio,"FW,MF",20-269,16,911.0,1.0,3.0,2.0,0.0,2.5,3.9,Manchester City,Premier_League
Phil Foden,"MF,FW",24-221,14,965.0,1.0,1.0,2.0,0.0,2.2,3.5,Manchester City,Premier_League
Kyle Walker,DF,34-221,14,940.0,0.0,0.0,2.0,0.0,0.1,0.4,Manchester City,Premier_League
Kevin De Bruyne,MF,33-190,12,733.0,2.0,2.0,2.0,0.0,2.1,4.0,Manchester City,Premier_League
Jeremy Doku,"FW,MF",22-222,14,699.0,2.0,3.0,0.0,0.0,0.7,1.5,Manchester City,Premier_League
Jack Grealish,"FW,MF",29-116,13,573.0,0.0,1.0,3.0,0.0,0.7,1.7,Manchester City,Premier_League
Stefan Ortega,GK,32-059,6,540.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester City,Premier_League
Matheus Nunes,"MF,FW",26-130,12,530.0,0.0,3.0,1.0,0.0,0.2,1.9,Manchester City,Premier_League
Nathan Aké,DF,29-321,7,452.0,0.0,0.0,0.0,0.0,0.2,0.0,Manchester City,Premier_League
John Stones,"DF,MF",30-221,8,331.0,2.0,0.0,1.0,0.0,0.4,0.1,Manchester City,Premier_League
Jahmai Simpson-Pusey,DF,19-061,2,96.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester City,Premier_League
Rodri,MF,28-196,2,65.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,Premier_League
James Mcatee,"MF,FW",22-078,3,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,Premier_League
Max Alleyne,DF,19-130,0,,,,,,,,Manchester City,Premier_League
Thorsten Brits,GK,17-194,0,,,,,,,,Manchester City,Premier_League
Scott Carson,GK,39-123,0,,,,,,,,Manchester City,Premier_League
Issa Kaboré,"DF,MF",23-237,0,,,,,,,,Manchester City,Premier_League
Divin Mubama,FW,20-071,0,,,,,,,,Manchester City,Premier_League
Nico O’Reilly,FW,19-289,0,,,,,,,,Manchester City,Premier_League
Josh Wilson-Esbrand,DF,22-009,0,,,,,,,,Manchester City,Premier_League
Jacob Wright,MF,19-105,0,,,,,,,,Manchester City,Premier_League
