Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
André Onana,GK,28-276,19,1710.0,0.0,0.0,0.0,0.0,0.0,0.2,Manchester United,Premier_League
Diogo Dalot,DF,25-291,19,1676.0,0.0,1.0,3.0,0.0,1.2,1.3,Manchester United,Premier_League
Bruno Fernandes,"MF,FW",30-117,18,1475.0,4.0,5.0,3.0,2.0,6.2,4.2,Manchester United,Premier_League
Noussair Mazraoui,DF,27-050,19,1429.0,0.0,1.0,1.0,0.0,0.4,0.3,Manchester United,Premier_League
Lisandro Martínez,DF,26-351,16,1400.0,0.0,1.0,6.0,0.0,1.1,0.9,Manchester United,Premier_League
Matthijs de Ligt,DF,25-144,17,1221.0,1.0,0.0,2.0,0.0,1.4,0.1,Manchester United,Premier_League
Amad Diallo,"FW,DF",22-176,17,1144.0,2.0,6.0,2.0,0.0,2.4,2.8,Manchester United,Premier_League
Marcus Rashford,"FW,MF",27-064,15,978.0,4.0,1.0,2.0,0.0,1.7,2.1,Manchester United,Premier_League
Kobbie Mainoo,MF,19-259,13,1027.0,0.0,0.0,5.0,0.0,0.4,1.3,Manchester United,Premier_League
Alejandro Garnacho,"FW,MF",20-186,18,1015.0,3.0,1.0,1.0,0.0,4.2,1.6,Manchester United,Premier_League
Rasmus Højlund,FW,21-334,14,889.0,2.0,0.0,1.0,0.0,2.0,1.0,Manchester United,Premier_League
Casemiro,MF,32-315,14,837.0,1.0,0.0,1.0,0.0,1.1,2.1,Manchester United,Premier_League
Harry Maguire,DF,31-304,12,720.0,0.0,0.0,4.0,0.0,0.2,0.2,Manchester United,Premier_League
Manuel Ugarte Ribeiro,MF,23-267,13,712.0,0.0,0.0,5.0,0.0,0.3,0.5,Manchester United,Premier_League
Joshua Zirkzee,"FW,MF",23-226,19,704.0,3.0,1.0,1.0,0.0,3.0,0.8,Manchester United,Premier_League
Christian Eriksen,MF,32-324,11,625.0,0.0,0.0,2.0,0.0,0.1,1.8,Manchester United,Premier_League
Mason Mount,"MF,FW",25-359,8,247.0,0.0,0.0,2.0,0.0,0.4,0.1,Manchester United,Premier_League
Jonny Evans,DF,37-000,6,290.0,0.0,0.0,1.0,0.0,0.1,0.0,Manchester United,Premier_League
Leny Yoro,DF,19-051,6,242.0,0.0,0.0,1.0,0.0,0.6,0.0,Manchester United,Premier_League
Tyrell Malacia,DF,25-139,2,90.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester United,Premier_League
Antony,"FW,DF",24-314,6,89.0,0.0,0.0,0.0,0.0,0.3,0.1,Manchester United,Premier_League
Luke Shaw,DF,29-175,2,70.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester United,Premier_League
Victor Lindelöf,"DF,MF",30-170,5,63.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester United,Premier_League
Toby Collyer,MF,21-000,1,45.0,0.0,0.0,0.0,0.0,0.0,0.1,Manchester United,Premier_League
Scott McTominay,MF,28-026,2,19.0,0.0,0.0,0.0,0.0,0.1,0.0,Manchester United,Premier_League
Harry Amass,DF,17-293,0,,,,,,,,Manchester United,Premier_League
Altay Bayındır,GK,26-264,0,,,,,,,,Manchester United,Premier_League
Jayce Fitzgerald,MF,17-239,0,,,,,,,,Manchester United,Premier_League
Jack Fletcher,MF,17-290,0,,,,,,,,Manchester United,Premier_League
Tom Heaton,GK,38-263,0,,,,,,,,Manchester United,Premier_League
Godwill Kukonki,DF,16-332,0,,,,,,,,Manchester United,Premier_League
Ethan Wheatley,FW,18-349,0,,,,,,,,Manchester United,Premier_League
