Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Kyle Walker-Peters,DF,27-265,17,1510.0,0.0,2.0,3.0,0.0,0.3,2.2,Southampton,Premier_League
Taylor Harwood-Bellis,DF,22-339,18,1490.0,1.0,0.0,6.0,0.0,1.2,0.5,Southampton,Premier_League
Mateus Fernandes,MF,20-177,18,1397.0,1.0,1.0,5.0,0.0,1.9,1.4,Southampton,Premier_League
Flynn Downes,MF,25-349,16,1369.0,1.0,0.0,7.0,0.0,0.6,0.9,Southampton,Premier_League
Jan Bednarek,DF,28-266,15,1340.0,0.0,0.0,4.0,0.0,0.0,0.4,Southampton,Premier_League
Adam Armstrong,"FW,MF",27-328,16,1078.0,2.0,2.0,4.0,0.0,3.2,1.1,Southampton,Premier_League
Aaron Ramsdale,GK,26-234,12,1080.0,0.0,0.0,1.0,0.0,0.0,0.0,Southampton,Premier_League
Tyler Dibling,"MF,FW",18-297,18,1078.0,2.0,0.0,5.0,0.0,1.9,1.2,Southampton,Premier_League
Yukinari Sugawara,DF,24-189,16,933.0,1.0,1.0,3.0,0.0,0.4,2.2,Southampton,Premier_League
Joe Aribo,MF,28-166,18,1039.0,2.0,0.0,0.0,0.0,2.2,1.2,Southampton,Premier_League
Jack Stephens,DF,30-342,10,793.0,0.0,0.0,2.0,2.0,0.3,0.1,Southampton,Premier_League
Cameron Archer,FW,23-166,18,923.0,2.0,0.0,0.0,0.0,4.4,0.2,Southampton,Premier_League
Ryan Manning,DF,28-203,11,669.0,0.0,0.0,1.0,0.0,0.1,1.2,Southampton,Premier_League
Nathan Wood-Gordon,DF,22-217,6,526.0,0.0,0.0,2.0,0.0,0.2,0.0,Southampton,Premier_League
Adam Lallana,MF,36-238,10,324.0,0.0,2.0,4.0,0.0,0.2,0.9,Southampton,Premier_League
Ben Brereton,FW,25-260,10,449.0,0.0,0.0,1.0,0.0,0.9,0.1,Southampton,Premier_League
Alex McCarthy,GK,35-031,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,Premier_League
Ryan Fraser,"FW,DF",30-314,7,303.0,0.0,0.0,0.0,1.0,0.0,0.1,Southampton,Premier_League
Lesley Ugochukwu,MF,20-283,9,371.0,0.0,0.0,2.0,0.0,0.3,0.3,Southampton,Premier_League
Joe Lumley,GK,29-323,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,Premier_League
Paul Onuachu,FW,30-220,9,269.0,0.0,0.0,1.0,0.0,0.9,0.2,Southampton,Premier_League
James Bree,DF,27-084,6,268.0,0.0,0.0,0.0,0.0,0.0,0.3,Southampton,Premier_League
William Smallbone,MF,24-317,4,241.0,0.0,0.0,0.0,0.0,0.3,0.3,Southampton,Premier_League
Charlie Taylor,DF,31-107,6,221.0,0.0,0.0,1.0,0.0,0.0,0.1,Southampton,Premier_League
Ross Stewart,"FW,MF",28-176,4,132.0,0.0,0.0,1.0,0.0,0.1,0.0,Southampton,Premier_League
Kamaldeen Sulemana,"FW,MF",22-323,8,108.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,Premier_League
Maxwel Cornet,FW,28-098,2,72.0,0.0,0.0,1.0,0.0,0.2,0.0,Southampton,Premier_League
Samuel Edozie,"DF,FW",21-341,2,65.0,0.0,0.0,1.0,0.0,0.0,0.1,Southampton,Premier_League
Samuel Amo-Ameyaw,"FW,DF",18-169,2,28.0,0.0,0.0,1.0,0.0,0.0,0.1,Southampton,Premier_League
Ronnie Edwards,DF,21-281,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,Premier_League
Carlos Alcaraz,MF,22-034,1,10.0,0.0,0.0,0.0,0.0,0.1,0.1,Southampton,Premier_League
Armel Bella Kotchap,DF,23-023,0,,,,,,,,Southampton,Premier_League
Joe O'Brien-Whitmarsh,FW,,0,,,,,,,,Southampton,Premier_League
