Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Jarrod Bowen,"FW,MF",28-015,19,1655.0,5.0,4.0,1.0,0.0,4.7,4.1,West Ham United,Premier_League
Max Kilman,DF,27-226,19,1638.0,0.0,1.0,3.0,0.0,1.4,0.8,West Ham United,Premier_League
Aaron Wan-Bissaka,DF,27-039,18,1534.0,2.0,0.0,0.0,0.0,0.9,0.9,West Ham United,Premier_League
Emerson Palmieri,DF,30-154,18,1352.0,1.0,1.0,5.0,0.0,1.2,1.2,West Ham United,Premier_League
Lucas Paquetá,MF,27-130,18,1284.0,3.0,0.0,5.0,0.0,3.5,1.7,West Ham United,Premier_League
Tomáš Souček,MF,29-312,17,1255.0,4.0,0.0,5.0,0.0,2.8,0.6,West Ham United,Premier_League
Mohammed Kudus,"MF,FW",24-155,14,1161.0,3.0,1.0,0.0,1.0,3.6,1.7,West Ham United,Premier_League
Konstantinos Mavropanos,DF,27-024,16,1179.0,0.0,0.0,2.0,0.0,0.9,0.4,West Ham United,Premier_League
Guido Rodríguez,MF,30-267,16,891.0,0.0,0.0,5.0,0.0,0.2,0.1,West Ham United,Premier_League
Michail Antonio,FW,34-282,14,836.0,1.0,1.0,1.0,0.0,2.2,1.6,West Ham United,Premier_League
Łukasz Fabiański,GK,39-261,11,890.0,0.0,0.0,2.0,0.0,0.0,0.0,West Ham United,Premier_League
Edson Álvarez,MF,27-072,15,883.0,0.0,0.0,6.0,1.0,0.2,0.5,West Ham United,Premier_League
Alphonse Areola,GK,31-312,10,820.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,Premier_League
Carlos Soler,MF,28-002,15,724.0,0.0,1.0,5.0,0.0,1.1,0.9,West Ham United,Premier_League
Jean-Clair Todibo,DF,25-005,14,814.0,0.0,0.0,0.0,0.0,0.1,0.0,West Ham United,Premier_League
Crysencio Summerville,"MF,FW",23-066,18,695.0,1.0,1.0,2.0,0.0,1.5,1.5,West Ham United,Premier_League
Vladimír Coufal,DF,32-135,12,485.0,0.0,0.0,2.0,0.0,0.2,0.3,West Ham United,Premier_League
Niclas Füllkrug,FW,31-330,8,281.0,1.0,1.0,0.0,0.0,1.0,0.9,West Ham United,Premier_League
Danny Ings,FW,32-165,9,180.0,1.0,1.0,0.0,0.0,2.1,0.7,West Ham United,Premier_League
Andy Irving,MF,24-236,6,69.0,0.0,0.0,1.0,0.0,0.0,0.0,West Ham United,Premier_League
Aaron Cresswell,DF,35-020,6,55.0,0.0,0.0,1.0,0.0,0.0,0.1,West Ham United,Premier_League
Oliver Scarles,DF,19-023,2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,Premier_League
Luis Guilherme,MF,18-330,3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,Premier_League
James Ward-Prowse,MF,30-064,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,Premier_League
Kaelan Casey,DF,20-068,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,Premier_League
Wes Foderingham,GK,33-356,0,,,,,,,,West Ham United,Premier_League
Ezra Mayers,DF,17-354,0,,,,,,,,West Ham United,Premier_League
Lewis Orford,MF,18-321,0,,,,,,,,West Ham United,Premier_League
