Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Matheus Cunha,"MF,FW",25-221,19,1560.0,10.0,4.0,2.0,0.0,4.1,5.5,Wolverhampton Wanderers,Premier_League
Rayan Aït-Nouri,DF,23-211,18,1542.0,3.0,5.0,6.0,1.0,1.5,1.8,Wolverhampton Wanderers,Premier_League
Jørgen Strand Larsen,FW,24-332,19,1532.0,7.0,2.0,2.0,0.0,4.5,1.3,Wolverhampton Wanderers,Premier_League
João Gomes,MF,23-326,18,1517.0,2.0,1.0,6.0,0.0,1.6,0.4,Wolverhampton Wanderers,Premier_League
Nélson Semedo,DF,31-048,16,1406.0,0.0,3.0,6.0,0.0,0.4,1.4,Wolverhampton Wanderers,Premier_League
Mario Lemina,"MF,DF",31-124,16,1332.0,1.0,3.0,4.0,0.0,1.4,1.1,Wolverhampton Wanderers,Premier_League
Toti Gomes,DF,25-353,16,1264.0,0.0,1.0,4.0,0.0,0.0,0.6,Wolverhampton Wanderers,Premier_League
André,MF,23-171,15,978.0,0.0,0.0,2.0,0.0,0.1,0.2,Wolverhampton Wanderers,Premier_League
José Sá,GK,31-352,12,1080.0,0.0,0.0,1.0,0.0,0.0,0.1,Wolverhampton Wanderers,Premier_League
Santiago Bueno,DF,26-055,12,971.0,0.0,0.0,0.0,0.0,0.3,0.0,Wolverhampton Wanderers,Premier_League
Craig Dawson,DF,34-242,15,972.0,0.0,0.0,2.0,0.0,0.5,0.0,Wolverhampton Wanderers,Premier_League
Jean-Ricner Bellegarde,"MF,FW",26-190,17,773.0,1.0,2.0,3.0,0.0,0.6,0.6,Wolverhampton Wanderers,Premier_League
Matt Doherty,DF,32-353,12,714.0,1.0,1.0,2.0,0.0,0.6,1.3,Wolverhampton Wanderers,Premier_League
Sam Johnstone,GK,31-284,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,Premier_League
Yerson Mosquera,DF,23-246,5,441.0,0.0,0.0,2.0,0.0,0.3,0.1,Wolverhampton Wanderers,Premier_League
Rodrigo Gomes,"DF,FW",21-180,12,371.0,1.0,0.0,0.0,0.0,0.3,0.2,Wolverhampton Wanderers,Premier_League
Gonçalo Guedes,"MF,FW",28-035,16,460.0,2.0,4.0,1.0,0.0,0.6,0.9,Wolverhampton Wanderers,Premier_League
Hwang Hee-chan,"MF,FW",28-343,13,430.0,2.0,0.0,0.0,0.0,0.6,0.1,Wolverhampton Wanderers,Premier_League
Tommy Doyle,MF,23-078,15,378.0,0.0,1.0,0.0,0.0,0.5,0.5,Wolverhampton Wanderers,Premier_League
Pablo Sarabia,"MF,FW",32-237,5,181.0,1.0,0.0,1.0,0.0,1.4,0.4,Wolverhampton Wanderers,Premier_League
Carlos Forbs,"MF,FW",20-290,8,221.0,0.0,0.0,2.0,0.0,0.1,0.0,Wolverhampton Wanderers,Premier_League
Daniel Podence,"MF,FW",29-074,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,Premier_League
Chiquinho,MF,24-333,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,Premier_League
Alfie Pond,DF,20-308,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,Premier_League
Daniel Bentley,GK,31-174,0,,,,,,,,Wolverhampton Wanderers,Premier_League
Luke Cundle,MF,22-252,0,,,,,,,,Wolverhampton Wanderers,Premier_League
Tom Edozie,MF,18-230,0,,,,,,,,Wolverhampton Wanderers,Premier_League
Pedro Lima,DF,18-186,0,,,,,,,,Wolverhampton Wanderers,Premier_League
Bastien Meupiyou,DF,18-290,0,,,,,,,,Wolverhampton Wanderers,Premier_League
Boubacar Traoré,MF,23-136,0,,,,,,,,Wolverhampton Wanderers,Premier_League
