Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Marco Carnesecchi,GK,24-187,16,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Éderson,MF,25-181,17,1420.0,2.0,1.0,3.0,0.0,2.3,1.9,Atalanta,Serie_A
Marten de Roon,"MF,DF",33-281,16,1395.0,3.0,1.0,5.0,0.0,0.2,1.2,Atalanta,Serie_A
Charles De Ketelaere,"MF,FW",23-300,16,1092.0,5.0,5.0,1.0,0.0,2.8,4.1,Atalanta,Serie_A
Mateo Retegui,FW,25-250,17,959.0,12.0,3.0,2.0,0.0,8.7,1.2,Atalanta,Serie_A
Matteo Ruggeri,DF,22-177,15,1131.0,0.0,2.0,1.0,0.0,0.2,1.5,Atalanta,Serie_A
Berat Djimsiti,DF,31-320,15,1121.0,0.0,0.0,3.0,0.0,2.0,0.6,Atalanta,Serie_A
Isak Hien,DF,25-357,14,1035.0,0.0,0.0,3.0,0.0,0.5,0.1,Atalanta,Serie_A
Raoul Bellanova,DF,24-232,15,1029.0,0.0,4.0,2.0,0.0,0.8,2.4,Atalanta,Serie_A
Mario Pašalić,MF,29-330,15,1015.0,2.0,2.0,1.0,0.0,4.5,2.3,Atalanta,Serie_A
Ademola Lookman,"FW,MF",27-076,14,940.0,9.0,4.0,1.0,0.0,5.8,3.9,Atalanta,Serie_A
Sead Kolašinac,DF,31-198,11,944.0,0.0,1.0,3.0,0.0,0.7,1.0,Atalanta,Serie_A
Davide Zappacosta,DF,32-207,12,775.0,2.0,2.0,1.0,0.0,0.6,1.0,Atalanta,Serie_A
Odilon Kossounou,DF,24-000,10,630.0,0.0,0.0,1.0,0.0,0.5,0.0,Atalanta,Serie_A
Marco Brescianini,MF,24-350,12,507.0,3.0,0.0,0.0,0.0,1.7,0.8,Atalanta,Serie_A
Lazar Samardzic,"MF,FW",22-315,15,511.0,2.0,1.0,1.0,0.0,1.5,1.3,Atalanta,Serie_A
Rafael Tolói,DF,34-086,2,114.0,0.0,0.0,0.0,0.0,0.0,0.2,Atalanta,Serie_A
Juan Musso,GK,30-243,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Nicolò Zaniolo,"FW,MF",25-186,10,276.0,2.0,2.0,4.0,0.0,0.8,0.5,Atalanta,Serie_A
Juan Cuadrado,"DF,MF",36-223,8,216.0,0.0,2.0,0.0,0.0,0.6,0.8,Atalanta,Serie_A
Marco Palestra,DF,19-307,5,60.0,0.0,0.0,0.0,0.0,0.0,0.1,Atalanta,Serie_A
Ibrahim Sulemana,MF,21-227,3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Vanja Vlahović,"MF,FW",20-287,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Ben Godfrey,DF,26-355,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Mitchel Bakker,MF,24-198,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Federico Cassa,"MF,FW",18-338,2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Giorgio Scalvini,DF,21-024,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,Serie_A
Alberto Manzoni,MF,19-193,1,6.0,0.0,0.0,0.0,0.0,0.1,0.0,Atalanta,Serie_A
Lorenzo Bernasconi,DF,21-049,0,,,,,,,,Atalanta,Serie_A
Pietro Comi,DF,19-207,0,,,,,,,,Atalanta,Serie_A
Tommaso Del Lungo,DF,21-044,0,,,,,,,,Atalanta,Serie_A
Rui Patrício,GK,36-324,0,,,,,,,,Atalanta,Serie_A
Lorenzo Riccio,MF,18-163,0,,,,,,,,Atalanta,Serie_A
Francesco Rossi,GK,33-252,0,,,,,,,,Atalanta,Serie_A
Federico Steffanoni,MF,16-122,0,,,,,,,,Atalanta,Serie_A
Pietro Tornaghi,DF,19-041,0,,,,,,,,Atalanta,Serie_A
Dominic Vavassori,FW,19-026,0,,,,,,,,Atalanta,Serie_A
