Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Dodô,DF,26-048,16,1430.0,0.0,0.0,5.0,0.0,0.3,1.9,Fiorentina,Serie_A
Luca Ranieri,DF,25-256,16,1375.0,0.0,2.0,2.0,0.0,0.1,1.3,Fiorentina,Serie_A
Pietro Comuzzo,DF,19-319,15,1307.0,0.0,0.0,4.0,0.0,0.2,0.3,Fiorentina,Serie_A
Moise Kean,FW,24-311,16,1306.0,11.0,2.0,2.0,0.0,11.1,1.4,Fiorentina,Serie_A
Andrea Colpani,"FW,MF",25-238,17,1172.0,2.0,1.0,1.0,0.0,2.2,0.8,Fiorentina,Serie_A
David de Gea,GK,34-058,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.3,Fiorentina,Serie_A
Robin Gosens,DF,30-183,15,1233.0,2.0,2.0,3.0,0.0,1.1,1.5,Fiorentina,Serie_A
Danilo Cataldi,MF,30-151,12,872.0,3.0,0.0,0.0,0.0,0.9,0.4,Fiorentina,Serie_A
Edoardo Bove,"MF,FW",22-233,11,836.0,1.0,2.0,3.0,0.0,0.6,1.5,Fiorentina,Serie_A
Lucas Beltrán,"MF,FW",23-281,13,789.0,2.0,4.0,1.0,0.0,2.3,1.2,Fiorentina,Serie_A
Yacine Adli,MF,24-159,15,785.0,2.0,4.0,1.0,0.0,0.2,2.0,Fiorentina,Serie_A
Riccardo Sottil,"FW,MF",25-215,14,641.0,1.0,1.0,1.0,0.0,0.7,0.8,Fiorentina,Serie_A
Christian Kouamé,"FW,MF",27-029,14,584.0,0.0,1.0,1.0,0.0,1.0,1.5,Fiorentina,Serie_A
Cristiano Biraghi,DF,32-125,8,433.0,1.0,0.0,1.0,0.0,0.2,0.3,Fiorentina,Serie_A
Albert Guðmundsson,MF,27-203,8,367.0,3.0,0.0,0.0,0.0,2.1,0.6,Fiorentina,Serie_A
Rolando Mandragora,MF,27-189,10,359.0,0.0,0.0,3.0,0.0,0.2,0.8,Fiorentina,Serie_A
Lucas Martínez Quarta,DF,28-239,8,351.0,1.0,0.0,1.0,0.0,0.7,0.0,Fiorentina,Serie_A
Amir Richardson,MF,22-346,11,398.0,0.0,0.0,3.0,0.0,0.4,0.1,Fiorentina,Serie_A
Pietro Terracciano,GK,34-302,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Fiorentina,Serie_A
Fabiano Parisi,DF,24-056,9,254.0,1.0,0.0,0.0,0.0,0.1,0.0,Fiorentina,Serie_A
Sofyan Amrabat,MF,28-136,2,180.0,0.0,0.0,0.0,0.0,0.0,0.1,Fiorentina,Serie_A
Jonathan Ikone,"FW,MF",26-247,13,311.0,0.0,0.0,0.0,0.0,0.6,0.1,Fiorentina,Serie_A
Michael Kayode,"DF,FW",20-178,5,127.0,0.0,0.0,0.0,0.0,0.1,0.2,Fiorentina,Serie_A
Marin Pongračić,DF,27-115,3,102.0,0.0,0.0,2.0,1.0,0.0,0.0,Fiorentina,Serie_A
Antonín Barák,MF,30-032,1,54.0,0.0,0.0,0.0,0.0,0.1,0.3,Fiorentina,Serie_A
Alessandro Bianco,MF,22-095,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Fiorentina,Serie_A
Tommaso Rubino,MF,18-055,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Fiorentina,Serie_A
Leonardo Baroncelli,DF,19-144,0,,,,,,,,Fiorentina,Serie_A
Josip Brekalo,"FW,MF",26-195,0,,,,,,,,Fiorentina,Serie_A
Niccolò Fortini,MF,18-326,0,,,,,,,,Fiorentina,Serie_A
Gino Infantino,MF,21-230,0,,,,,,,,Fiorentina,Serie_A
Eddy Kouadio,DF,18-219,0,,,,,,,,Fiorentina,Serie_A
Tommaso Martinelli,GK,18-364,0,,,,,,,,Fiorentina,Serie_A
Matias Moreno,DF,21-102,0,,,,,,,,Fiorentina,Serie_A
