Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Morten Frendrup,MF,23-272,17,1483.0,1.0,0.0,3.0,0.0,0.8,0.3,Genoa,Serie_A
Aarón Martín,DF,27-257,17,1456.0,0.0,1.0,4.0,0.0,0.5,2.1,Genoa,Serie_A
Andrea Pinamonti,FW,25-230,17,1369.0,6.0,1.0,3.0,0.0,4.3,0.8,Genoa,Serie_A
Johan Vásquez,DF,26-074,17,1395.0,0.0,0.0,5.0,0.0,1.1,0.2,Genoa,Serie_A
Milan Badelj,MF,35-314,16,1118.0,1.0,0.0,0.0,0.0,1.0,1.0,Genoa,Serie_A
Morten Thorsby,MF,28-244,17,1067.0,0.0,1.0,4.0,0.0,1.0,1.0,Genoa,Serie_A
Stefano Sabelli,DF,31-357,17,1026.0,0.0,1.0,2.0,0.0,0.1,0.9,Genoa,Serie_A
Nicola Leali,GK,31-322,11,990.0,0.0,0.0,1.0,0.0,0.0,0.0,Genoa,Serie_A
Alessandro Zanoli,"FW,DF",24-093,16,970.0,0.0,0.0,2.0,0.0,0.1,1.1,Genoa,Serie_A
Mattia Bani,DF,31-025,11,888.0,0.0,0.0,2.0,0.0,0.1,0.2,Genoa,Serie_A
Fabio Miretti,"MF,FW",21-154,12,746.0,1.0,1.0,0.0,0.0,1.1,1.2,Genoa,Serie_A
Vitinha,FW,24-295,13,717.0,0.0,2.0,1.0,0.0,1.0,1.5,Genoa,Serie_A
Alessandro Vogliacco,DF,26-112,12,715.0,2.0,0.0,3.0,0.0,1.3,0.0,Genoa,Serie_A
Alan Matturro,DF,20-085,8,652.0,0.0,0.0,1.0,0.0,0.1,0.2,Genoa,Serie_A
Koni De Winter,DF,22-206,8,639.0,1.0,0.0,4.0,0.0,0.6,0.1,Genoa,Serie_A
Pierluigi Gollini,GK,29-292,7,630.0,0.0,0.0,1.0,0.0,0.0,0.0,Genoa,Serie_A
Jeff Ekhator,"FW,MF",18-054,10,359.0,1.0,1.0,1.0,0.0,1.1,0.2,Genoa,Serie_A
Junior Messias,"MF,FW",33-236,5,310.0,1.0,0.0,0.0,0.0,1.9,0.2,Genoa,Serie_A
Caleb Ekuban,FW,30-287,6,259.0,1.0,0.0,0.0,0.0,1.4,0.2,Genoa,Serie_A
Ruslan Malinovskyi,"MF,FW",31-245,5,224.0,0.0,0.0,1.0,0.0,0.1,0.5,Genoa,Serie_A
Emil Bohinen,MF,25-298,3,166.0,0.0,0.0,0.0,0.0,0.1,0.1,Genoa,Serie_A
Brooke Norton-Cuffy,"DF,MF",20-358,6,151.0,0.0,0.0,0.0,0.0,0.1,0.0,Genoa,Serie_A
Filippo Melegoni,"MF,FW",25-321,3,89.0,0.0,1.0,0.0,0.0,0.0,0.5,Genoa,Serie_A
Honest Ahanor,DF,16-316,2,85.0,0.0,0.0,0.0,0.0,0.1,0.0,Genoa,Serie_A
Alessandro Marcandalli,DF,22-101,2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,Genoa,Serie_A
Patrizio Masini,"MF,FW",23-343,6,105.0,0.0,0.0,1.0,0.0,0.2,0.0,Genoa,Serie_A
Mario Balotelli,"FW,MF",34-145,6,62.0,0.0,0.0,2.0,0.0,0.0,0.0,Genoa,Serie_A
David Akpan Ankeye,"FW,MF",22-325,4,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Genoa,Serie_A
Gastón Pereiro,MF,29-207,2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Genoa,Serie_A
Lior Kasa,MF,19-099,1,22.0,0.0,0.0,0.0,0.0,0.0,0.1,Genoa,Serie_A
Federico Accornero,MF,20-334,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Genoa,Serie_A
Ifenna Dorgu,FW,18-134,0,,,,,,,,Genoa,Serie_A
Seydou Fini,FW,18-216,0,,,,,,,,Genoa,Serie_A
Christos Papadopoulos,MF,20-064,0,,,,,,,,Genoa,Serie_A
Tommaso Pittino,DF,19-356,0,,,,,,,,Genoa,Serie_A
Daniele Sommariva,GK,27-170,0,,,,,,,,Genoa,Serie_A
Franz Stolz,GK,23-325,0,,,,,,,,Genoa,Serie_A
