Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Lorenzo Montipò,GK,28-319,17,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,Hellas Verona,Serie_A
Jackson Tchatchoua,"DF,MF",23-112,17,1475.0,1.0,2.0,5.0,1.0,0.3,1.5,Hellas Verona,Serie_A
Darko Lazović,"FW,MF",34-111,18,1229.0,1.0,3.0,0.0,0.0,1.9,3.2,Hellas Verona,Serie_A
Reda Belahyane,MF,20-217,17,1360.0,0.0,2.0,6.0,1.0,0.2,1.0,Hellas Verona,Serie_A
Diego Coppola,DF,21-007,15,1217.0,1.0,0.0,7.0,0.0,0.1,0.0,Hellas Verona,Serie_A
Casper Tengstedt,"FW,MF",24-217,16,1055.0,6.0,1.0,2.0,0.0,3.9,0.5,Hellas Verona,Serie_A
Tomáš Suslov,"FW,MF",22-211,15,950.0,0.0,0.0,5.0,1.0,0.7,0.9,Hellas Verona,Serie_A
Ondrej Duda,MF,30-030,12,983.0,0.0,2.0,6.0,0.0,0.4,1.7,Hellas Verona,Serie_A
Giangiacomo Magnani,DF,29-092,15,966.0,1.0,0.0,2.0,0.0,1.1,0.0,Hellas Verona,Serie_A
Paweł Dawidowicz,DF,29-229,10,708.0,0.0,0.0,4.0,1.0,0.2,0.0,Hellas Verona,Serie_A
Suat Serdar,MF,27-268,10,642.0,1.0,1.0,2.0,0.0,0.8,0.3,Hellas Verona,Serie_A
Domagoj Bradarić,DF,25-025,11,640.0,0.0,0.0,2.0,0.0,0.1,1.1,Hellas Verona,Serie_A
Daniele Ghilardi,DF,21-364,9,730.0,0.0,0.0,3.0,0.0,0.1,0.1,Hellas Verona,Serie_A
Grigoris Kastanos,"MF,FW",26-340,13,535.0,1.0,1.0,1.0,0.0,0.4,0.7,Hellas Verona,Serie_A
Dailon Livramento,"FW,MF",23-245,13,557.0,1.0,1.0,1.0,1.0,1.3,0.7,Hellas Verona,Serie_A
Flavius Daniliuc,DF,23-252,11,633.0,0.0,0.0,0.0,0.0,0.1,0.1,Hellas Verona,Serie_A
Abdou Harroui,"MF,FW",26-357,10,463.0,1.0,2.0,1.0,0.0,2.2,0.4,Hellas Verona,Serie_A
Amin Sarr,FW,23-299,12,437.0,3.0,0.0,0.0,0.0,0.8,0.1,Hellas Verona,Serie_A
Daniel Mosquera,FW,25-076,17,562.0,4.0,1.0,1.0,0.0,2.9,0.8,Hellas Verona,Serie_A
Daniel Bandeira,MF,24-268,11,407.0,0.0,0.0,1.0,0.0,0.0,0.1,Hellas Verona,Serie_A
Martin Frese,DF,27-000,5,336.0,0.0,0.0,0.0,0.0,0.0,0.1,Hellas Verona,Serie_A
Simone Perilli,GK,29-363,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Hellas Verona,Serie_A
Faride Alidou,"FW,MF",23-170,3,71.0,0.0,0.0,0.0,0.0,0.0,0.0,Hellas Verona,Serie_A
Davide Faraoni,"DF,MF",33-071,3,42.0,0.0,0.0,1.0,0.0,0.2,0.0,Hellas Verona,Serie_A
Mathis Lambourde,"FW,MF",18-361,4,40.0,1.0,0.0,1.0,0.0,0.1,0.1,Hellas Verona,Serie_A
Alphadjo Cissè,MF,18-074,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Hellas Verona,Serie_A
Yllan Okou,DF,22-012,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Hellas Verona,Serie_A
Junior Ajayi,FW,20-085,0,,,,,,,,Hellas Verona,Serie_A
Alessandro Berardi,GK,33-354,0,,,,,,,,Hellas Verona,Serie_A
Christian Corradi,DF,19-318,0,,,,,,,,Hellas Verona,Serie_A
Federico Magro,GK,19-360,0,,,,,,,,Hellas Verona,Serie_A
Stefan Mitrović,MF,22-142,0,,,,,,,,Hellas Verona,Serie_A
Ayanda Sishuba,MF,19-337,0,,,,,,,,Hellas Verona,Serie_A
Elayis Tavsan,"FW,MF",23-249,0,,,,,,,,Hellas Verona,Serie_A
