Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Zion Suzuki,GK,22-135,17,1514.0,0.0,0.0,2.0,1.0,0.0,0.0,Parma,Serie_A
Botond Balogh,DF,22-211,18,1426.0,0.0,1.0,3.0,0.0,0.2,0.1,Parma,Serie_A
Simon Sohm,MF,23-267,18,1418.0,3.0,0.0,2.0,0.0,2.0,0.4,Parma,Serie_A
Dennis Man,"FW,MF",26-130,18,1410.0,4.0,3.0,0.0,0.0,3.3,3.1,Parma,Serie_A
Ange-Yoan Bonny,FW,21-070,18,1218.0,4.0,1.0,2.0,0.0,5.7,1.6,Parma,Serie_A
Enrico Del Prato,DF,25-054,16,1327.0,3.0,0.0,2.0,0.0,0.8,0.8,Parma,Serie_A
Emanuele Valeri,DF,26-027,15,1128.0,1.0,2.0,0.0,0.0,0.3,1.3,Parma,Serie_A
Woyo Coulibaly,DF,25-228,14,1084.0,0.0,1.0,1.0,1.0,0.1,0.9,Parma,Serie_A
Valentin Mihaila,"FW,MF",24-336,16,922.0,0.0,3.0,2.0,0.0,2.1,1.0,Parma,Serie_A
Adrian Bernabe,MF,23-222,11,896.0,0.0,0.0,1.0,0.0,0.6,0.9,Parma,Serie_A
Matteo Cancellieri,"FW,MF",22-326,16,779.0,2.0,0.0,1.0,1.0,1.6,0.5,Parma,Serie_A
Hernani,MF,30-282,11,640.0,2.0,1.0,2.0,0.0,1.7,0.7,Parma,Serie_A
Antoine Hainaut,"DF,MF",22-320,13,681.0,1.0,0.0,1.0,0.0,0.6,0.4,Parma,Serie_A
Mandela Keita,MF,22-238,11,424.0,0.0,1.0,5.0,1.0,0.0,0.2,Parma,Serie_A
Alessandro Circati,DF,21-085,4,360.0,0.0,0.0,1.0,0.0,0.0,0.0,Parma,Serie_A
Nahuel Estévez,MF,29-050,7,356.0,0.0,0.0,2.0,0.0,0.1,0.1,Parma,Serie_A
Giovanni Leoni,DF,18-013,4,278.0,0.0,0.0,0.0,0.0,0.0,0.0,Parma,Serie_A
Pontus Almqvist,"FW,MF",25-177,15,478.0,1.0,1.0,1.0,0.0,0.9,1.0,Parma,Serie_A
Mohamed Haj,MF,19-283,8,285.0,1.0,2.0,2.0,0.0,0.6,1.0,Parma,Serie_A
Adrian Benedyczak,"FW,MF",24-040,7,172.0,0.0,0.0,0.0,0.0,0.3,0.0,Parma,Serie_A
Yordan Osorio,DF,30-238,3,172.0,0.0,0.0,0.0,0.0,0.0,0.1,Parma,Serie_A
Lautaro Valenti,DF,25-355,3,144.0,1.0,0.0,1.0,0.0,0.2,0.0,Parma,Serie_A
Leandro Chichizola,GK,34-282,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Parma,Serie_A
Mateusz Kowalski,MF,19-166,1,56.0,0.0,0.0,0.0,0.0,0.4,0.0,Parma,Serie_A
Gabriel Charpentier,FW,25-231,10,271.0,1.0,2.0,1.0,0.0,1.3,0.9,Parma,Serie_A
Drissa Camara,"MF,FW",22-320,9,157.0,0.0,0.0,1.0,0.0,0.1,0.2,Parma,Serie_A
Wylan Cyprien,MF,29-341,2,28.0,0.0,0.0,0.0,0.0,0.2,0.0,Parma,Serie_A
Edoardo Corvi,GK,23-286,0,,,,,,,,Parma,Serie_A
Gianluca Di Chiara,"DF,MF",31-008,0,,,,,,,,Parma,Serie_A
Daniel Mikołajewski,FW,18-345,0,,,,,,,,Parma,Serie_A
Manuel Moretta,GK,18-354,0,,,,,,,,Parma,Serie_A
Elia Plicco,MF,17-337,0,,,,,,,,Parma,Serie_A
Nicolas Trabucchi,DF,17-139,0,,,,,,,,Parma,Serie_A
