Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Samuele Ricci,MF,23-135,18,1542.0,1.0,0.0,3.0,0.0,1.0,0.2,Torino,Serie_A
Vanja Milinković-Savić,GK,27-318,17,1530.0,0.0,0.0,1.0,0.0,0.0,0.1,Torino,Serie_A
Saúl Coco,DF,25-329,16,1440.0,2.0,0.0,5.0,0.0,0.9,0.0,Torino,Serie_A
Adam Masina,DF,31-001,16,1393.0,1.0,2.0,4.0,0.0,0.2,0.3,Torino,Serie_A
Karol Linetty,MF,29-336,16,1075.0,1.0,0.0,3.0,0.0,0.4,0.2,Torino,Serie_A
Antonio Sanabria,FW,28-305,15,967.0,2.0,0.0,1.0,0.0,2.4,0.4,Torino,Serie_A
Valentino Lazaro,DF,28-285,17,1116.0,0.0,4.0,3.0,0.0,0.6,1.8,Torino,Serie_A
Che Adams,FW,28-174,17,1065.0,5.0,2.0,1.0,0.0,3.0,1.4,Torino,Serie_A
Sebastian Walukiewicz,DF,24-273,13,909.0,0.0,0.0,4.0,0.0,0.2,0.2,Torino,Serie_A
Mërgim Vojvoda,DF,29-337,15,925.0,0.0,0.0,3.0,0.0,0.4,0.4,Torino,Serie_A
Marcus Pedersen,DF,24-171,13,838.0,0.0,0.0,3.0,0.0,0.3,0.4,Torino,Serie_A
Gvidas Gineitis,MF,20-263,13,656.0,0.0,1.0,0.0,0.0,0.4,1.5,Torino,Serie_A
Ivan Ilić,MF,23-292,11,652.0,1.0,0.0,3.0,0.0,0.9,0.6,Torino,Serie_A
Borna Sosa,DF,26-348,12,632.0,0.0,0.0,0.0,0.0,0.1,0.4,Torino,Serie_A
Duván Zapata,FW,33-277,7,587.0,3.0,0.0,1.0,0.0,3.4,0.5,Torino,Serie_A
Guillermo Maripán,DF,30-242,8,540.0,0.0,0.0,0.0,1.0,0.1,0.0,Torino,Serie_A
Nikola Vlašić,"MF,FW",27-091,12,639.0,1.0,3.0,0.0,0.0,1.2,0.4,Torino,Serie_A
Adrien Tameze,"MF,DF",30-334,10,328.0,0.0,0.0,2.0,0.0,0.1,0.5,Torino,Serie_A
Yann Karamoh,"FW,MF",26-179,13,353.0,0.0,0.0,0.0,0.0,0.6,0.6,Torino,Serie_A
Alberto Paleari,GK,32-127,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Torino,Serie_A
Raoul Bellanova,DF,24-231,1,87.0,0.0,0.0,0.0,0.0,0.0,0.1,Torino,Serie_A
Eybi Nije,"FW,MF",19-234,11,298.0,1.0,0.0,0.0,0.0,1.2,0.3,Torino,Serie_A
Ali Dembélé,DF,20-364,8,83.0,0.0,0.0,2.0,0.0,0.0,0.0,Torino,Serie_A
Saba Sazonov,DF,22-337,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Torino,Serie_A
Aaron Ciammaglichella,MF,19-343,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Torino,Serie_A
Côme Bianay Balcot,DF,19-235,0,,,,,,,,Torino,Serie_A
Marco Dalla Vecchia,MF,19-325,0,,,,,,,,Torino,Serie_A
Alessandro Dellavalle,DF,20-237,0,,,,,,,,Torino,Serie_A
Antonio Donnarumma,GK,34-180,0,,,,,,,,Torino,Serie_A
Tommaso Gabellini,FW,18-074,0,,,,,,,,Torino,Serie_A
Krisztofer Horváth,MF,22-361,0,,,,,,,,Torino,Serie_A
Pietro Pellegri,FW,23-292,0,,,,,,,,Torino,Serie_A
Sergiu Perciun,MF,18-255,0,,,,,,,,Torino,Serie_A
Francesco Plaia,GK,18-280,0,,,,,,,,Torino,Serie_A
Alessio Raballo,FW,,0,,,,,,,,Torino,Serie_A
Edoardo Zaia,FW,18-113,0,,,,,,,,Torino,Serie_A
