Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Kingsley Ehizibue,DF,29-223,18,1474.0,0.0,1.0,4.0,0.0,0.5,1.3,Udinese,Serie_A
Jesper Karlström,MF,29-196,18,1536.0,0.0,1.0,3.0,0.0,0.2,0.7,Udinese,Serie_A
Jaka Bijol,DF,25-333,16,1440.0,1.0,0.0,5.0,0.0,0.8,0.3,Udinese,Serie_A
Sandi Lovrić,MF,26-281,17,1079.0,1.0,2.0,1.0,0.0,1.4,0.9,Udinese,Serie_A
Maduka Okoye,GK,25-128,14,1260.0,0.0,0.0,1.0,0.0,0.0,0.0,Udinese,Serie_A
Lorenzo Lucca,FW,24-115,18,1196.0,7.0,0.0,4.0,0.0,2.8,0.3,Udinese,Serie_A
Florian Thauvin,"FW,MF",31-343,15,1087.0,5.0,3.0,0.0,0.0,4.6,1.8,Udinese,Serie_A
Lautaro Gianetti,DF,31-051,12,840.0,1.0,0.0,4.0,0.0,0.1,0.1,Udinese,Serie_A
Jordan Zemura,DF,25-050,16,986.0,1.0,2.0,2.0,0.0,0.8,0.7,Udinese,Serie_A
Souleymane Touré,DF,21-281,11,727.0,1.0,0.0,2.0,2.0,0.4,0.0,Udinese,Serie_A
Christian Kabasele,DF,33-314,12,832.0,1.0,0.0,0.0,0.0,0.8,0.2,Udinese,Serie_A
Hassane Kamara,DF,30-304,13,677.0,1.0,2.0,5.0,1.0,0.2,1.2,Udinese,Serie_A
Jurgen Ekkelenkamp,MF,24-273,14,757.0,0.0,2.0,0.0,0.0,0.9,0.8,Udinese,Serie_A
Martín Payero,MF,26-114,9,575.0,0.0,0.0,2.0,0.0,0.5,0.3,Udinese,Serie_A
Keinan Davis,FW,26-325,14,688.0,2.0,1.0,2.0,0.0,1.5,2.0,Udinese,Serie_A
Oier Zarraga,MF,25-365,11,499.0,0.0,0.0,0.0,0.0,0.1,0.3,Udinese,Serie_A
Brenner,"MF,FW",24-353,9,386.0,1.0,2.0,0.0,0.0,0.6,0.5,Udinese,Serie_A
Thomas Kristensen,DF,22-352,7,458.0,0.0,0.0,3.0,0.0,0.0,0.1,Udinese,Serie_A
Razvan Sava,GK,22-196,4,360.0,0.0,0.0,1.0,0.0,0.0,0.0,Udinese,Serie_A
Iker Bravo,"FW,MF",19-356,12,242.0,1.0,1.0,2.0,0.0,0.5,0.4,Udinese,Serie_A
Nehuén Pérez,DF,24-193,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Udinese,Serie_A
Arthur Atta,MF,21-355,8,166.0,0.0,0.0,1.0,0.0,0.1,0.1,Udinese,Serie_A
Enzo Ebosse,DF,25-298,2,90.0,0.0,0.0,1.0,0.0,0.0,0.0,Udinese,Serie_A
James Abankwah,"DF,MF",20-353,6,88.0,0.0,0.0,1.0,0.0,0.1,0.0,Udinese,Serie_A
Rui Modesto,DF,25-088,5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Udinese,Serie_A
Alexis Sánchez,FW,36-015,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Udinese,Serie_A
Festy Ebosele,"DF,MF",22-154,0,,,,,,,,Udinese,Serie_A
Daniele Padelli,GK,39-070,0,,,,,,,,Udinese,Serie_A
Matteo Palma,DF,16-296,0,,,,,,,,Udinese,Serie_A
David Pejičić,MF,17-203,0,,,,,,,,Udinese,Serie_A
Edoardo Piana,GK,21-096,0,,,,,,,,Udinese,Serie_A
Damián Pizarro,FW,19-281,0,,,,,,,,Udinese,Serie_A
Marco Silvestri,GK,33-307,0,,,,,,,,Udinese,Serie_A
