Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Joshua Kimmich,"MF,DF",29-331,15,1350.0,1.0,4.0,2.0,0.0,0.9,3.3,Bayern Munich,Bundesliga
Kim Min-jae,DF,28-050,15,1285.0,1.0,0.0,1.0,0.0,0.4,0.1,Bayern Munich,Bundesliga
Dayot Upamecano,DF,26-069,14,1249.0,2.0,0.0,5.0,0.0,1.1,0.4,Bayern Munich,Bundesliga
Harry Kane,FW,31-160,13,1047.0,14.0,6.0,2.0,0.0,10.3,2.4,Bayern Munich,Bundesliga
Alphonso Davies,DF,24-063,13,1086.0,1.0,2.0,0.0,0.0,0.9,1.3,Bayern Munich,Bundesliga
Jamal Musiala,MF,21-313,13,1007.0,9.0,2.0,2.0,0.0,5.5,2.4,Bayern Munich,Bundesliga
Michael Olise,"FW,MF",23-023,15,943.0,5.0,5.0,1.0,0.0,3.5,3.6,Bayern Munich,Bundesliga
Manuel Neuer,GK,38-283,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Raphaël Guerreiro,"DF,MF",31-013,12,810.0,0.0,1.0,0.0,0.0,0.7,2.0,Bayern Munich,Bundesliga
Aleksandar Pavlovic,MF,20-246,9,567.0,1.0,0.0,1.0,0.0,0.2,0.0,Bayern Munich,Bundesliga
Kingsley Coman,FW,28-205,13,622.0,3.0,2.0,0.0,0.0,1.2,1.9,Bayern Munich,Bundesliga
Serge Gnabry,"FW,MF",29-174,9,494.0,2.0,2.0,0.0,0.0,2.3,2.3,Bayern Munich,Bundesliga
Leroy Sané,FW,28-359,11,565.0,3.0,1.0,1.0,0.0,3.5,1.0,Bayern Munich,Bundesliga
Konrad Laimer,DF,27-222,13,483.0,1.0,0.0,4.0,0.0,0.6,0.9,Bayern Munich,Bundesliga
Thomas Müller,"MF,FW",35-113,15,556.0,1.0,1.0,1.0,0.0,1.7,1.5,Bayern Munich,Bundesliga
Leon Goretzka,"MF,DF",29-333,10,466.0,1.0,1.0,0.0,0.0,1.0,1.3,Bayern Munich,Bundesliga
João Palhinha,MF,29-179,8,349.0,0.0,0.0,1.0,0.0,0.6,0.1,Bayern Munich,Bundesliga
Sacha Boey,DF,24-113,6,280.0,0.0,1.0,1.0,0.0,0.0,0.9,Bayern Munich,Bundesliga
Daniel Peretz,GK,24-178,3,270.0,0.0,0.0,1.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Mathys Tel,"FW,MF",19-252,7,211.0,0.0,0.0,0.0,0.0,0.7,0.0,Bayern Munich,Bundesliga
Eric Dier,DF,30-355,6,118.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Sven Ulreich,GK,36-154,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Adam Aznou,DF,18-216,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Arijon Ibrahimović,FW,19-024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,Bundesliga
Jonah Kusi-Asare,FW,17-184,0,,,,,,,,Bayern Munich,Bundesliga
Noel Nkili,MF,19-043,0,,,,,,,,Bayern Munich,Bundesliga
Anthony Pavlesic,GK,18-339,0,,,,,,,,Bayern Munich,Bundesliga
Max Schmitt,GK,18-352,0,,,,,,,,Bayern Munich,Bundesliga
