Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Patrick Drewes,GK,31-335,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,Bochum,Bundesliga
Maximilian Wittek,DF,29-136,15,1227.0,0.0,0.0,4.0,0.0,0.9,2.4,Bochum,Bundesliga
Felix Passlack,DF,26-220,15,1226.0,0.0,2.0,2.0,0.0,0.4,1.6,Bochum,Bundesliga
Ibrahima Sissoko,MF,27-069,15,1166.0,1.0,1.0,2.0,0.0,0.6,0.5,Bochum,Bundesliga
Matúš Bero,MF,29-120,13,1102.0,3.0,0.0,4.0,0.0,1.4,1.1,Bochum,Bundesliga
Philipp Hofmann,FW,31-280,15,1031.0,1.0,2.0,3.0,0.0,2.1,2.5,Bochum,Bundesliga
Anthony Losilla,MF,38-300,13,963.0,0.0,0.0,0.0,0.0,0.1,0.4,Bochum,Bundesliga
Moritz Broschinski,"FW,MF",24-103,15,873.0,1.0,1.0,1.0,0.0,2.4,0.4,Bochum,Bundesliga
Jakov Medić,DF,26-119,12,915.0,0.0,0.0,1.0,0.0,0.1,0.1,Bochum,Bundesliga
Ivan Ordets,DF,32-180,9,718.0,0.0,0.0,2.0,0.0,0.2,0.0,Bochum,Bundesliga
Tim Oermann,DF,21-090,11,704.0,0.0,1.0,0.0,0.0,0.0,0.4,Bochum,Bundesliga
Dani de Wit,"MF,FW",26-342,13,688.0,2.0,0.0,1.0,0.0,1.3,0.2,Bochum,Bundesliga
Erhan Mašović,"DF,MF",26-043,7,555.0,0.0,1.0,1.0,0.0,0.3,0.8,Bochum,Bundesliga
Koji Miyoshi,"MF,FW",27-284,11,343.0,1.0,0.0,0.0,1.0,0.9,0.7,Bochum,Bundesliga
Myron Boadu,FW,23-356,6,347.0,2.0,1.0,0.0,0.0,2.0,0.3,Bochum,Bundesliga
Gerrit Holtmann,"DF,FW",29-285,7,345.0,0.0,0.0,0.0,0.0,0.6,0.0,Bochum,Bundesliga
Lukas Daschner,"MF,FW",26-095,12,381.0,1.0,1.0,0.0,0.0,2.7,0.7,Bochum,Bundesliga
Bernardo,DF,29-235,5,342.0,0.0,0.0,2.0,0.0,0.1,0.1,Bochum,Bundesliga
Mats Pannewig,MF,20-068,6,102.0,0.0,0.0,1.0,0.0,0.1,0.1,Bochum,Bundesliga
Moritz-Broni Kwarteng,"MF,FW",26-251,7,172.0,0.0,0.0,1.0,0.0,0.2,0.2,Bochum,Bundesliga
Cristian Gamboa,DF,35-072,5,121.0,1.0,0.0,0.0,0.0,0.2,0.2,Bochum,Bundesliga
Aliou Badara Baldé,"MF,FW",22-023,5,91.0,0.0,0.0,1.0,0.0,0.2,0.2,Bochum,Bundesliga
Samuel Bamba,"FW,MF",20-326,3,10.0,0.0,0.0,0.0,0.0,0.1,0.0,Bochum,Bundesliga
Agon Elezi,MF,23-309,0,,,,,,,,Bochum,Bundesliga
Timo Horn,GK,31-237,0,,,,,,,,Bochum,Bundesliga
Noah Loosli,DF,27-347,0,,,,,,,,Bochum,Bundesliga
