Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Christian Günter,DF,31-311,15,1283.0,1.0,0.0,0.0,0.0,0.5,1.1,Freiburg,Bundesliga
Philipp Lienhart,DF,28-177,15,1280.0,1.0,0.0,3.0,0.0,0.4,0.4,Freiburg,Bundesliga
Ritsu Doan,"FW,MF",26-202,15,1236.0,5.0,2.0,0.0,0.0,3.4,0.8,Freiburg,Bundesliga
Lukas Kübler,DF,32-127,15,1139.0,4.0,0.0,3.0,0.0,1.8,0.3,Freiburg,Bundesliga
Maximilian Eggestein,MF,28-027,14,1200.0,0.0,0.0,2.0,0.0,0.9,0.6,Freiburg,Bundesliga
Vincenzo Grifo,"FW,MF",31-272,15,1106.0,4.0,7.0,0.0,0.0,4.0,3.5,Freiburg,Bundesliga
Patrick Osterhage,MF,24-338,14,1075.0,0.0,0.0,3.0,1.0,0.8,0.8,Freiburg,Bundesliga
Noah Atubolu,GK,22-224,13,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Matthias Ginter,DF,30-351,14,1057.0,1.0,0.0,1.0,0.0,0.6,0.2,Freiburg,Bundesliga
Junior Adamu,FW,23-212,12,821.0,2.0,1.0,3.0,1.0,3.8,1.4,Freiburg,Bundesliga
Eren Dinkçi,MF,23-022,11,621.0,0.0,2.0,0.0,0.0,0.6,1.4,Freiburg,Bundesliga
Lucas Höler,"MF,FW",30-178,13,566.0,2.0,3.0,0.0,0.0,3.6,1.2,Freiburg,Bundesliga
Max Rosenfelder,DF,21-329,13,542.0,0.0,0.0,1.0,0.0,0.0,0.6,Freiburg,Bundesliga
Nicolas Höfler,MF,34-301,11,460.0,0.0,0.0,2.0,0.0,0.1,0.1,Freiburg,Bundesliga
Michael Gregoritsch,FW,30-261,8,358.0,1.0,1.0,1.0,0.0,1.1,0.2,Freiburg,Bundesliga
Merlin Röhl,"MF,FW",22-183,7,258.0,0.0,0.0,1.0,0.0,0.5,0.1,Freiburg,Bundesliga
Florian Müller,GK,27-052,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Florent Muslija,"FW,MF",26-182,9,168.0,0.0,0.0,0.0,0.0,0.3,0.3,Freiburg,Bundesliga
Noah Weißhaupt,FW,23-106,3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Jordy Makengo,"DF,MF",23-154,7,73.0,0.0,0.0,0.0,0.0,0.0,0.1,Freiburg,Bundesliga
Kiliann Sildillia,"FW,MF",22-233,7,71.0,0.0,0.0,1.0,0.0,0.0,0.0,Freiburg,Bundesliga
Roland Sallai,"FW,MF",27-227,2,46.0,0.0,0.0,0.0,0.0,0.1,0.1,Freiburg,Bundesliga
Ifechukwu Ogbus,DF,19-018,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Johan Manzambi,FW,19-082,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Maximilian Philipp,FW,30-309,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Freiburg,Bundesliga
Jannik Huth,GK,30-264,0,,,,,,,,Freiburg,Bundesliga
Kenneth Schmidt,DF,22-215,0,,,,,,,,Freiburg,Bundesliga
