Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Timon Weiner,GK,25-351,15,1350.0,0.0,0.0,3.0,0.0,0.0,0.0,Holstein Kiel,Bundesliga
Timo Becker,DF,27-284,12,1035.0,0.0,0.0,1.0,0.0,1.0,0.2,Holstein Kiel,Bundesliga
Magnus Knudsen,MF,23-202,14,926.0,0.0,1.0,5.0,0.0,0.2,0.7,Holstein Kiel,Bundesliga
Finn Porath,"DF,MF",27-315,15,1046.0,0.0,2.0,2.0,0.0,0.5,1.5,Holstein Kiel,Bundesliga
Max Geschwill,DF,23-180,13,1014.0,1.0,2.0,2.0,0.0,0.6,0.7,Holstein Kiel,Bundesliga
Marko Ivezić,DF,23-032,11,990.0,0.0,0.0,2.0,0.0,0.2,0.2,Holstein Kiel,Bundesliga
Patrick Erras,DF,29-348,10,832.0,1.0,0.0,2.0,0.0,0.9,0.1,Holstein Kiel,Bundesliga
Armin Gigovic,MF,22-272,14,828.0,3.0,0.0,3.0,0.0,0.6,0.2,Holstein Kiel,Bundesliga
Nicolai Remberg,MF,24-198,15,917.0,0.0,1.0,4.0,0.0,0.8,0.3,Holstein Kiel,Bundesliga
Lewis Holtby,MF,34-107,12,725.0,0.0,1.0,1.0,0.0,0.1,0.9,Holstein Kiel,Bundesliga
Shuto Machino,"FW,MF",25-095,14,724.0,6.0,1.0,1.0,0.0,3.0,0.6,Holstein Kiel,Bundesliga
Benedikt Pichler,FW,27-167,14,727.0,1.0,1.0,0.0,0.0,2.2,1.0,Holstein Kiel,Bundesliga
Phil Harres,FW,22-284,8,580.0,4.0,0.0,0.0,0.0,1.8,0.4,Holstein Kiel,Bundesliga
Steven Skrzybski,"FW,MF",32-046,10,539.0,0.0,1.0,0.0,0.0,1.3,1.0,Holstein Kiel,Bundesliga
Tymoteusz Puchacz,DF,25-346,10,396.0,0.0,1.0,0.0,0.0,0.1,0.6,Holstein Kiel,Bundesliga
Lasse Rosenboom,DF,22-350,9,483.0,1.0,0.0,0.0,0.0,0.4,0.4,Holstein Kiel,Bundesliga
Carl Johansson,DF,30-225,5,365.0,0.0,0.0,0.0,0.0,0.0,0.3,Holstein Kiel,Bundesliga
Alexander Bernhardsson,"DF,FW",26-117,6,312.0,1.0,0.0,2.0,0.0,0.6,0.2,Holstein Kiel,Bundesliga
Marco Komenda,DF,28-038,6,270.0,0.0,0.0,1.0,0.0,0.1,0.1,Holstein Kiel,Bundesliga
Marvin Schulz,"DF,MF",29-354,8,259.0,0.0,0.0,2.0,0.0,0.0,0.7,Holstein Kiel,Bundesliga
Jann-Fiete Arp,FW,24-363,10,339.0,1.0,0.0,3.0,1.0,2.0,0.5,Holstein Kiel,Bundesliga
Andu Kelati,MF,22-143,2,99.0,0.0,1.0,2.0,1.0,0.2,0.7,Holstein Kiel,Bundesliga
Dominik Javorček,DF,22-062,4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein Kiel,Bundesliga
Thomas Dähne,GK,30-365,0,,,,,,,,Holstein Kiel,Bundesliga
Marcel Engelhardt,GK,31-273,0,,,,,,,,Holstein Kiel,Bundesliga
