Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Robin Zentner,GK,30-068,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.1,Mainz 05,Bundesliga
Phillipp Mwene,DF,30-341,15,1336.0,0.0,3.0,4.0,0.0,0.9,1.0,Mainz 05,Bundesliga
Kaishu Sano,MF,24-005,15,1333.0,0.0,0.0,0.0,0.0,0.3,0.1,Mainz 05,Bundesliga
Anthony Caci,DF,27-187,15,1222.0,0.0,3.0,2.0,0.0,0.8,2.1,Mainz 05,Bundesliga
Dominik Kohr,DF,30-339,14,1242.0,0.0,0.0,8.0,0.0,0.4,0.4,Mainz 05,Bundesliga
Lee Jae-sung,MF,32-147,14,1176.0,5.0,2.0,2.0,0.0,2.9,2.5,Mainz 05,Bundesliga
Nadiem Amiri,MF,28-069,14,1105.0,3.0,2.0,5.0,2.0,2.3,3.6,Mainz 05,Bundesliga
Jonathan Burkardt,FW,24-177,14,1051.0,10.0,1.0,0.0,0.0,7.3,1.2,Mainz 05,Bundesliga
Stefan Bell,DF,33-133,10,789.0,0.0,1.0,1.0,0.0,0.5,0.9,Mainz 05,Bundesliga
Paul Nebel,MF,22-086,13,787.0,5.0,1.0,2.0,0.0,2.1,0.8,Mainz 05,Bundesliga
Moritz Jenz,DF,25-249,8,635.0,0.0,0.0,2.0,0.0,0.1,0.2,Mainz 05,Bundesliga
Maxim Leitsch,DF,26-231,9,551.0,1.0,0.0,1.0,0.0,1.1,0.2,Mainz 05,Bundesliga
Danny da Costa,DF,31-175,6,444.0,0.0,1.0,0.0,0.0,0.0,0.3,Mainz 05,Bundesliga
Armindo Sieb,"FW,MF",21-322,14,502.0,2.0,1.0,1.0,0.0,1.7,0.4,Mainz 05,Bundesliga
Andreas Hanche-Olsen,DF,27-353,6,383.0,0.0,1.0,3.0,1.0,0.0,0.2,Mainz 05,Bundesliga
Hong Hyunseok,MF,25-202,13,315.0,0.0,1.0,0.0,0.0,0.5,0.6,Mainz 05,Bundesliga
Silvan Widmer,DF,31-305,12,176.0,0.0,1.0,3.0,0.0,0.0,0.4,Mainz 05,Bundesliga
Karim Onisiwo,"MF,FW",32-293,6,110.0,0.0,0.0,0.0,0.0,0.1,0.3,Mainz 05,Bundesliga
Aymen Barkok,MF,26-228,4,73.0,0.0,0.0,0.0,0.0,0.0,0.1,Mainz 05,Bundesliga
Nelson Weiper,"MF,FW",19-293,5,43.0,0.0,0.0,0.0,0.0,0.0,0.2,Mainz 05,Bundesliga
Nikolas Veratschnig,"FW,MF",21-346,5,35.0,0.0,0.0,0.0,0.0,0.1,0.1,Mainz 05,Bundesliga
Gabriel Vidovic,MF,21-034,1,4.0,0.0,0.0,0.0,0.0,0.1,0.0,Mainz 05,Bundesliga
Daniel Gleiber,MF,19-338,0,,,,,,,,Mainz 05,Bundesliga
Marco Richter,"FW,MF",27-041,0,,,,,,,,Mainz 05,Bundesliga
Lasse Rieß,GK,23-161,0,,,,,,,,Mainz 05,Bundesliga
