Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Alexander Nübel,GK,28-096,15,1350.0,0.0,1.0,0.0,0.0,0.0,0.1,Stuttgart,Bundesliga
Angelo Stiller,MF,23-275,15,1286.0,0.0,2.0,2.0,0.0,0.6,2.9,Stuttgart,Bundesliga
Maximilian Mittelstädt,DF,27-292,15,1171.0,1.0,4.0,3.0,0.0,0.6,2.7,Stuttgart,Bundesliga
Julian Chabot,DF,26-327,14,1094.0,0.0,1.0,5.0,1.0,0.8,0.1,Stuttgart,Bundesliga
Atakan Karazor,MF,28-083,14,1051.0,1.0,2.0,4.0,1.0,0.8,1.5,Stuttgart,Bundesliga
Josha Vagnoman,"DF,MF",24-024,14,1091.0,1.0,0.0,3.0,0.0,1.0,0.8,Stuttgart,Bundesliga
Enzo Millot,"MF,FW",22-171,15,1029.0,4.0,2.0,4.0,0.0,5.7,1.9,Stuttgart,Bundesliga
Ermedin Demirović,FW,26-285,15,969.0,7.0,0.0,1.0,0.0,5.8,1.1,Stuttgart,Bundesliga
Anthony Rouault,DF,23-220,13,829.0,0.0,0.0,1.0,0.0,0.2,0.3,Stuttgart,Bundesliga
Jamie Leweling,"FW,MF",23-313,9,658.0,1.0,0.0,2.0,0.0,0.5,1.5,Stuttgart,Bundesliga
Chris Führich,"FW,MF",26-361,14,769.0,1.0,1.0,0.0,0.0,0.7,1.3,Stuttgart,Bundesliga
Deniz Undav,"FW,MF",28-169,9,643.0,5.0,0.0,1.0,0.0,4.8,0.5,Stuttgart,Bundesliga
Anrie Chase,DF,20-286,12,734.0,0.0,0.0,1.0,0.0,0.1,0.0,Stuttgart,Bundesliga
Fabian Rieder,"MF,FW",22-323,15,637.0,1.0,3.0,0.0,0.0,1.1,1.7,Stuttgart,Bundesliga
Nick Woltemade,"FW,MF",22-325,10,371.0,4.0,1.0,2.0,0.0,3.2,0.6,Stuttgart,Bundesliga
El Bilal Touré,"FW,MF",23-093,9,314.0,2.0,1.0,0.0,0.0,1.6,1.1,Stuttgart,Bundesliga
Leonidas Stergiou,DF,22-307,4,210.0,0.0,1.0,0.0,0.0,0.0,0.0,Stuttgart,Bundesliga
Pascal Stenzel,DF,28-290,4,131.0,0.0,0.0,0.0,0.0,0.1,0.0,Stuttgart,Bundesliga
Ramon Hendriks,DF,23-170,9,181.0,0.0,0.0,0.0,0.0,0.1,0.0,Stuttgart,Bundesliga
Yannik Keitel,"MF,DF",24-324,3,98.0,0.0,0.0,1.0,0.0,0.4,0.0,Stuttgart,Bundesliga
Frans Krätzig,DF,21-356,1,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart,Bundesliga
Justin Diehl,"FW,DF",20-038,5,83.0,1.0,0.0,0.0,0.0,1.0,0.1,Stuttgart,Bundesliga
Dan-Axel Zagadou,"DF,MF",25-215,2,29.0,0.0,0.0,1.0,0.0,0.0,0.0,Stuttgart,Bundesliga
Ameen Al-Dakhil,DF,22-304,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart,Bundesliga
Jarzinho Malanga,DF,18-178,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart,Bundesliga
Fabian Bredlow,GK,29-308,0,,,,,,,,Stuttgart,Bundesliga
Silas Katompa,"DF,FW",26-090,0,,,,,,,,Stuttgart,Bundesliga
