Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Danilho Doekhi,DF,26-188,15,1350.0,1.0,0.0,4.0,0.0,1.5,0.8,Union Berlin,Bundesliga
Rani Khedira,MF,30-343,15,1298.0,0.0,0.0,5.0,0.0,0.4,0.1,Union Berlin,Bundesliga
Frederik Rønnow,GK,32-153,14,1260.0,0.0,0.0,2.0,0.0,0.0,0.0,Union Berlin,Bundesliga
Diogo Leite,DF,25-347,14,1178.0,0.0,1.0,2.0,0.0,0.6,0.6,Union Berlin,Bundesliga
Benedict Hollerbach,"MF,FW",23-232,15,1112.0,3.0,1.0,2.0,0.0,2.9,0.8,Union Berlin,Bundesliga
Kevin Vogt,DF,33-103,13,1120.0,1.0,0.0,5.0,0.0,0.8,0.0,Union Berlin,Bundesliga
Tom Rothe,"DF,MF",20-067,12,926.0,2.0,2.0,3.0,0.0,1.1,1.2,Union Berlin,Bundesliga
Christopher Trimmel,"DF,MF",37-315,11,766.0,0.0,0.0,3.0,0.0,0.2,0.7,Union Berlin,Bundesliga
Jeong Woo-yeong,"MF,FW",25-106,13,723.0,2.0,1.0,2.0,0.0,1.7,0.8,Union Berlin,Bundesliga
András Schäfer,MF,25-266,13,679.0,1.0,1.0,1.0,0.0,0.5,0.6,Union Berlin,Bundesliga
Yorbe Vertessen,"MF,FW",23-362,15,669.0,1.0,0.0,2.0,0.0,1.2,1.4,Union Berlin,Bundesliga
Aljoscha Kemlein,MF,20-155,11,625.0,1.0,0.0,2.0,0.0,0.7,0.4,Union Berlin,Bundesliga
Jordan Pefok,FW,28-253,13,622.0,0.0,1.0,1.0,0.0,1.6,0.7,Union Berlin,Bundesliga
Tim Skarke,"FW,MF",28-119,14,492.0,0.0,1.0,1.0,0.0,1.1,0.4,Union Berlin,Bundesliga
Janik Haberer,"DF,MF",30-277,11,473.0,0.0,0.0,0.0,0.0,0.2,0.0,Union Berlin,Bundesliga
Robert Skov,"DF,MF",28-229,8,380.0,1.0,2.0,1.0,0.0,0.2,1.5,Union Berlin,Bundesliga
Leopold Querfeld,DF,21-015,12,554.0,0.0,0.0,3.0,0.0,0.5,0.5,Union Berlin,Bundesliga
Lucas Tousart,MF,27-250,3,150.0,0.0,0.0,1.0,0.0,0.2,0.0,Union Berlin,Bundesliga
László Bénes,"MF,FW",27-117,9,193.0,1.0,1.0,2.0,0.0,0.4,0.3,Union Berlin,Bundesliga
Robin Gosens,DF,30-183,1,90.0,0.0,0.0,1.0,0.0,0.0,0.1,Union Berlin,Bundesliga
Alexander Schwolow,GK,32-216,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Berlin,Bundesliga
Josip Juranović,DF,29-141,3,65.0,0.0,0.0,0.0,0.0,0.0,0.1,Union Berlin,Bundesliga
Ivan Prtajin,FW,28-235,2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Berlin,Bundesliga
Jérôme Roussillon,DF,31-364,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Berlin,Bundesliga
Kevin Volland,MF,32-158,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Berlin,Bundesliga
Paul Jaeckel,DF,26-166,0,,,,,,,,Union Berlin,Bundesliga
Carl Klaus,GK,30-354,0,,,,,,,,Union Berlin,Bundesliga
