Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Michael Zetterer,GK,29-176,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,Werder Bremen,Bundesliga
Romano Schmid,MF,24-343,15,1329.0,1.0,2.0,0.0,0.0,1.6,2.4,Werder Bremen,Bundesliga
Marvin Ducksch,FW,30-303,15,1238.0,4.0,7.0,1.0,0.0,5.6,5.2,Werder Bremen,Bundesliga
Mitchell Weiser,"DF,MF",30-258,14,1251.0,2.0,5.0,4.0,1.0,2.7,1.8,Werder Bremen,Bundesliga
Senne Lynen,MF,25-320,14,1223.0,0.0,0.0,4.0,0.0,0.3,0.4,Werder Bremen,Bundesliga
Marco Friedl,DF,26-294,13,1118.0,0.0,0.0,4.0,1.0,0.0,0.2,Werder Bremen,Bundesliga
Anthony Jung,DF,33-062,14,931.0,0.0,0.0,0.0,0.0,0.0,0.1,Werder Bremen,Bundesliga
Jens Stage,MF,28-057,11,848.0,7.0,1.0,3.0,0.0,3.3,0.6,Werder Bremen,Bundesliga
Niklas Stark,DF,29-265,11,821.0,0.0,1.0,1.0,0.0,0.3,0.1,Werder Bremen,Bundesliga
Felix Agu,DF,25-099,10,799.0,2.0,0.0,1.0,0.0,0.7,0.9,Werder Bremen,Bundesliga
Derrick Köhn,DF,25-335,13,794.0,2.0,2.0,2.0,0.0,0.7,1.0,Werder Bremen,Bundesliga
Marco Grüll,"MF,FW",26-182,13,529.0,3.0,0.0,1.0,0.0,2.2,0.6,Werder Bremen,Bundesliga
Justin Njinmah,"MF,FW",24-050,9,459.0,2.0,1.0,0.0,0.0,1.1,0.7,Werder Bremen,Bundesliga
Leonardo Bittencourt,MF,31-016,9,476.0,0.0,0.0,0.0,0.0,0.6,0.1,Werder Bremen,Bundesliga
Julián Malatini,DF,23-218,8,430.0,1.0,1.0,1.0,0.0,0.1,0.4,Werder Bremen,Bundesliga
Miloš Veljković,DF,29-100,6,408.0,0.0,0.0,0.0,0.0,0.2,0.1,Werder Bremen,Bundesliga
Amos Pieper,DF,26-353,8,319.0,0.0,0.0,0.0,0.0,0.2,0.5,Werder Bremen,Bundesliga
Keke Maximilian Topp,"FW,MF",20-285,11,194.0,1.0,1.0,1.0,0.0,0.7,1.3,Werder Bremen,Bundesliga
Skelly Alvero,MF,22-245,8,105.0,0.0,0.0,0.0,0.0,0.0,0.0,Werder Bremen,Bundesliga
Oliver Burke,"FW,MF",27-272,9,121.0,1.0,0.0,1.0,0.0,0.8,0.3,Werder Bremen,Bundesliga
Olivier Deman,DF,24-273,9,67.0,0.0,0.0,1.0,0.0,0.0,0.1,Werder Bremen,Bundesliga
Wesley Adeh,MF,17-362,0,,,,,,,,Werder Bremen,Bundesliga
Mio Backhaus,GK,20-263,0,,,,,,,,Werder Bremen,Bundesliga
Patrice Čović,MF,17-193,0,,,,,,,,Werder Bremen,Bundesliga
Isak Hansen-Aarøen,MF,20-135,0,,,,,,,,Werder Bremen,Bundesliga
Markus Kolke,GK,34-139,0,,,,,,,,Werder Bremen,Bundesliga
Abdenego Nankishi,FW,22-182,0,,,,,,,,Werder Bremen,Bundesliga
