Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Kamil Grabara,GK,25-362,15,1350.0,0.0,0.0,2.0,0.0,0.0,0.0,Wolfsburg,Bundesliga
Maximilian Arnold,MF,30-222,14,1206.0,1.0,3.0,6.0,0.0,0.4,1.4,Wolfsburg,Bundesliga
Ridle Baku,"FW,MF",26-271,15,1170.0,2.0,1.0,2.0,0.0,1.5,1.3,Wolfsburg,Bundesliga
Kilian Fischer,DF,24-084,15,1054.0,0.0,0.0,3.0,0.0,0.2,0.1,Wolfsburg,Bundesliga
Tiago Tomás,"FW,MF",22-202,15,1030.0,5.0,0.0,4.0,0.0,3.4,1.6,Wolfsburg,Bundesliga
Mohamed Amoura,FW,24-240,13,1049.0,5.0,6.0,3.0,0.0,3.8,2.0,Wolfsburg,Bundesliga
Konstantinos Koulierakis,DF,21-037,13,1016.0,0.0,2.0,2.0,0.0,0.3,0.7,Wolfsburg,Bundesliga
Denis Vavro,DF,28-269,11,901.0,1.0,0.0,2.0,0.0,0.9,0.1,Wolfsburg,Bundesliga
Patrick Wimmer,"MF,FW",23-219,12,635.0,0.0,2.0,3.0,1.0,1.2,1.0,Wolfsburg,Bundesliga
Joakim Mæhle,DF,27-229,10,658.0,2.0,2.0,1.0,0.0,0.9,0.2,Wolfsburg,Bundesliga
Jakub Kamiński,"DF,MF",22-213,11,668.0,0.0,1.0,2.0,0.0,0.6,1.9,Wolfsburg,Bundesliga
Sebastiaan Bornauw,DF,25-288,7,630.0,2.0,0.0,1.0,0.0,0.8,0.0,Wolfsburg,Bundesliga
Jonas Wind,"MF,FW",25-332,13,661.0,6.0,1.0,1.0,0.0,2.7,1.5,Wolfsburg,Bundesliga
Mattias Svanberg,MF,25-365,8,471.0,2.0,1.0,2.0,0.0,2.1,0.9,Wolfsburg,Bundesliga
Bence Dárdai,MF,18-346,7,466.0,1.0,1.0,0.0,0.0,0.2,0.8,Wolfsburg,Bundesliga
Cedric Zesiger,DF,26-194,7,522.0,0.0,0.0,4.0,0.0,0.1,0.0,Wolfsburg,Bundesliga
Yannick Gerhardt,"MF,DF",30-297,13,469.0,1.0,1.0,1.0,1.0,0.3,0.0,Wolfsburg,Bundesliga
Salih Özcan,MF,26-359,11,353.0,0.0,0.0,0.0,0.0,0.1,0.8,Wolfsburg,Bundesliga
Lovro Majer,MF,26-353,4,145.0,2.0,0.0,1.0,0.0,1.1,0.0,Wolfsburg,Bundesliga
Aster Vranckx,MF,22-092,4,128.0,0.0,0.0,1.0,0.0,0.0,0.0,Wolfsburg,Bundesliga
Lukas Nmecha,FW,26-021,6,132.0,0.0,0.0,0.0,0.0,0.7,0.0,Wolfsburg,Bundesliga
Kevin Behrens,FW,33-336,9,110.0,1.0,0.0,1.0,0.0,1.3,0.0,Wolfsburg,Bundesliga
Jonathan Akaegbobi,FW,18-254,0,,,,,,,,Wolfsburg,Bundesliga
Mathys Angély,DF,17-258,0,,,,,,,,Wolfsburg,Bundesliga
Bennit Bröger,MF,18-187,0,,,,,,,,Wolfsburg,Bundesliga
Nicolas Cozza,DF,25-362,0,,,,,,,,Wolfsburg,Bundesliga
Marius Müller,GK,31-176,0,,,,,,,,Wolfsburg,Bundesliga
David Odogu,DF,18-215,0,,,,,,,,Wolfsburg,Bundesliga
Pavao Pervan,GK,37-052,0,,,,,,,,Wolfsburg,Bundesliga
