Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Antonio Sivera,GK,28-146,18,1583.0,0.0,0.0,3.0,0.0,0.0,0.1,Alaves,La_Liga
Carlos Vicente,"FW,MF",25-256,17,1503.0,3.0,1.0,1.0,0.0,1.7,2.4,Alaves,La_Liga
Abdel Abqar,DF,25-300,17,1398.0,0.0,1.0,8.0,0.0,0.4,0.2,Alaves,La_Liga
Nahuel Tenaglia,DF,28-318,15,1291.0,1.0,1.0,5.0,0.0,0.5,0.7,Alaves,La_Liga
Antonio Blanco,MF,24-165,17,1177.0,0.0,1.0,4.0,0.0,0.5,0.5,Alaves,La_Liga
Jon Guridi,MF,29-311,16,1030.0,2.0,0.0,3.0,0.0,1.5,0.5,Alaves,La_Liga
Manu Sánchez,DF,24-133,14,1121.0,0.0,0.0,5.0,0.0,0.2,0.2,Alaves,La_Liga
Kiké,FW,35-040,17,1025.0,5.0,0.0,4.0,1.0,3.0,0.7,Alaves,La_Liga
Ander Guevara,MF,27-181,16,969.0,0.0,1.0,1.0,0.0,0.4,0.5,Alaves,La_Liga
Moussa Diarra,DF,24-055,13,939.0,0.0,0.0,2.0,0.0,0.0,0.0,Alaves,La_Liga
Carlos Martín,"FW,MF",22-257,12,649.0,2.0,1.0,2.0,0.0,1.7,0.7,Alaves,La_Liga
Santiago Mouriño,DF,22-326,10,631.0,0.0,0.0,1.0,0.0,0.2,0.4,Alaves,La_Liga
Stoichkov,"MF,FW",31-060,15,685.0,0.0,1.0,1.0,0.0,1.1,1.2,Alaves,La_Liga
Tomás Conechny,"FW,MF",26-280,10,481.0,1.0,0.0,3.0,0.0,1.3,0.2,Alaves,La_Liga
Joan Jordán,MF,30-182,11,613.0,2.0,2.0,1.0,0.0,2.2,0.5,Alaves,La_Liga
Toni Martínez,FW,27-188,13,499.0,3.0,0.0,0.0,0.0,1.5,0.5,Alaves,La_Liga
Pica,DF,23-003,7,483.0,0.0,0.0,1.0,0.0,0.3,0.0,Alaves,La_Liga
Aleksandar Sedlar,DF,33-022,7,426.0,0.0,0.0,1.0,1.0,0.0,0.0,Alaves,La_Liga
Abderrahman Rebbach,"FW,MF",26-146,8,385.0,0.0,0.0,1.0,0.0,0.2,0.3,Alaves,La_Liga
Carlos Benavídez,MF,26-280,7,232.0,1.0,1.0,1.0,0.0,0.1,0.6,Alaves,La_Liga
Hugo Novoa,"DF,FW",22-003,4,222.0,0.0,0.0,0.0,0.0,0.5,0.2,Alaves,La_Liga
Asier Villalibre,FW,27-096,7,213.0,1.0,0.0,0.0,0.0,1.4,0.0,Alaves,La_Liga
Luka Romero,"FW,MF",20-047,6,199.0,0.0,0.0,0.0,0.0,0.8,0.2,Alaves,La_Liga
Jesús Owono,GK,23-309,1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,Alaves,La_Liga
Luis Rioja,FW,31-080,1,23.0,0.0,0.0,0.0,0.0,0.0,0.1,Alaves,La_Liga
Alejandro Jay Agustín,MF,22-181,0,,,,,,,,Alaves,La_Liga
Julen Lartitegi,FW,21-097,0,,,,,,,,Alaves,La_Liga
Egoitz Muñoz,DF,20-003,0,,,,,,,,Alaves,La_Liga
Eneko Ortiz,MF,21-223,0,,,,,,,,Alaves,La_Liga
Joaquín Panichelli,FW,22-089,0,,,,,,,,Alaves,La_Liga
Adrian Rodriguez,GK,24-023,0,,,,,,,,Alaves,La_Liga
