Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Iñigo Martínez,DF,33-231,18,1600.0,0.0,1.0,3.0,0.0,0.3,1.6,Barcelona,La_Liga
Raphinha,"FW,MF",28-020,19,1586.0,11.0,6.0,1.0,0.0,11.6,8.9,Barcelona,La_Liga
Robert Lewandowski,FW,36-135,18,1476.0,16.0,2.0,1.0,0.0,17.5,2.2,Barcelona,La_Liga
Jules Koundé,DF,26-052,19,1525.0,1.0,3.0,2.0,0.0,0.7,3.0,Barcelona,La_Liga
Pau Cubarsí,DF,17-347,19,1488.0,0.0,1.0,3.0,0.0,0.7,0.9,Barcelona,La_Liga
Pedri,MF,22-039,19,1425.0,4.0,2.0,2.0,0.0,1.7,3.5,Barcelona,La_Liga
Alejandro Balde,DF,21-077,17,1288.0,0.0,2.0,0.0,0.0,0.3,1.6,Barcelona,La_Liga
Lamine Yamal,FW,17-174,16,1274.0,5.0,9.0,1.0,0.0,4.8,6.7,Barcelona,La_Liga
Marc Casado,MF,21-111,16,1182.0,0.0,3.0,4.0,1.0,0.9,1.3,Barcelona,La_Liga
Iñaki Peña,GK,25-307,14,1216.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona,La_Liga
Dani Olmo,"MF,FW",26-241,11,623.0,5.0,0.0,0.0,0.0,2.4,1.7,Barcelona,La_Liga
Ferrán Torres,"FW,MF",24-309,13,517.0,3.0,2.0,0.0,1.0,2.2,1.4,Barcelona,La_Liga
Marc-André ter Stegen,GK,32-248,6,494.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,La_Liga
Eric García,"MF,DF",23-360,11,536.0,0.0,1.0,0.0,0.0,0.9,0.4,Barcelona,La_Liga
Fermin López,"MF,FW",21-237,12,396.0,0.0,0.0,2.0,0.0,1.2,0.5,Barcelona,La_Liga
Gerard Martín,DF,23-002,11,390.0,0.0,1.0,2.0,0.0,0.0,0.4,Barcelona,La_Liga
Pablo Torre,"MF,FW",21-275,7,248.0,3.0,1.0,0.0,0.0,0.3,0.5,Barcelona,La_Liga
Gavi,MF,20-151,10,260.0,0.0,1.0,1.0,0.0,0.1,0.9,Barcelona,La_Liga
Marc Bernal,MF,17-222,3,242.0,0.0,0.0,2.0,0.0,0.1,0.0,Barcelona,La_Liga
Héctor Fort,DF,18-154,9,275.0,0.0,0.0,2.0,0.0,0.1,0.6,Barcelona,La_Liga
Sergi Dominguez,DF,19-277,3,172.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona,La_Liga
Frenkie de Jong,MF,27-236,8,235.0,1.0,1.0,1.0,0.0,0.2,1.2,Barcelona,La_Liga
Pau Victor Delgado,FW,23-038,13,194.0,2.0,1.0,2.0,0.0,2.0,0.4,Barcelona,La_Liga
Ansu Fati,FW,22-064,4,127.0,0.0,0.0,1.0,0.0,0.6,0.1,Barcelona,La_Liga
Andreas Christensen,DF,28-268,1,27.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona,La_Liga
Ronald Araújo,DF,25-302,0,,,,,,,,Barcelona,La_Liga
Ander Astralaga,GK,20-306,0,,,,,,,,Barcelona,La_Liga
Álvaro Cortés,DF,19-231,0,,,,,,,,Barcelona,La_Liga
Andres Cuenca,DF,17-206,0,,,,,,,,Barcelona,La_Liga
Noah Darvich,MF,18-100,0,,,,,,,,Barcelona,La_Liga
Guillermo Fernandez,MF,16-199,0,,,,,,,,Barcelona,La_Liga
Toni Fernández,MF,16-202,0,,,,,,,,Barcelona,La_Liga
Diego Kochen,GK,18-290,0,,,,,,,,Barcelona,La_Liga
Wojciech Szczęsny,GK,34-260,0,,,,,,,,Barcelona,La_Liga
Álex Valle,DF,20-253,0,,,,,,,,Barcelona,La_Liga
Áron Yaakobishvili,GK,18-303,0,,,,,,,,Barcelona,La_Liga
