Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Óscar Mingueza,"MF,DF",25-236,17,1364.0,2.0,5.0,3.0,0.0,0.7,4.3,Celta Vigo,La_Liga
Carl Starfelt,DF,29-217,17,1366.0,1.0,0.0,4.0,0.0,0.3,0.1,Celta Vigo,La_Liga
Vicente Guaita,GK,37-360,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Hugo Álvarez,"MF,DF",21-186,18,1214.0,3.0,1.0,4.0,0.0,1.7,0.6,Celta Vigo,La_Liga
Iago Aspas,"FW,MF",37-156,16,1206.0,6.0,3.0,4.0,1.0,5.6,2.8,Celta Vigo,La_Liga
Fran Beltrán,MF,25-336,14,1074.0,1.0,0.0,1.0,0.0,0.3,1.0,Celta Vigo,La_Liga
Marcos Alonso,DF,34-007,14,1171.0,0.0,0.0,3.0,0.0,0.5,0.3,Celta Vigo,La_Liga
Javi Rodríguez,DF,21-192,17,1143.0,1.0,2.0,5.0,0.0,0.4,0.7,Celta Vigo,La_Liga
Borja Iglesias,FW,31-353,18,919.0,4.0,0.0,0.0,0.0,3.8,0.7,Celta Vigo,La_Liga
Ilaix Moriba,MF,21-351,15,872.0,0.0,1.0,5.0,1.0,0.2,1.1,Celta Vigo,La_Liga
Jonathan Bamba,"FW,MF",28-284,11,743.0,0.0,0.0,1.0,0.0,0.8,1.3,Celta Vigo,La_Liga
Williot Swedberg,"FW,MF",20-338,16,680.0,2.0,3.0,1.0,0.0,3.3,1.9,Celta Vigo,La_Liga
Hugo Sotelo,MF,21-016,12,616.0,0.0,0.0,4.0,0.0,0.1,0.9,Celta Vigo,La_Liga
Javier Manquillo,DF,30-244,9,494.0,0.0,0.0,1.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Anastasios Douvikas,FW,25-155,17,630.0,3.0,1.0,2.0,0.0,4.4,0.2,Celta Vigo,La_Liga
Damián Rodríguez,MF,21-293,11,622.0,0.0,0.0,2.0,0.0,0.0,0.5,Celta Vigo,La_Liga
Jailson Siqueira,"DF,MF",29-119,6,451.0,0.0,0.0,0.0,0.0,0.1,0.0,Celta Vigo,La_Liga
Iván Villar,GK,27-179,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Carlos Dominguez,DF,23-328,7,345.0,0.0,0.0,0.0,0.0,0.1,0.0,Celta Vigo,La_Liga
Pablo Durán,"FW,MF",23-224,8,330.0,2.0,1.0,2.0,0.0,1.2,0.8,Celta Vigo,La_Liga
Sergio Carreira,"MF,DF",24-083,5,308.0,0.0,0.0,0.0,0.0,0.0,0.8,Celta Vigo,La_Liga
Alfon,"FW,MF",25-245,11,378.0,1.0,1.0,0.0,1.0,2.3,1.7,Celta Vigo,La_Liga
Mihailo Ristić,"MF,DF",29-065,4,128.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Fer López,FW,,1,42.0,0.0,0.0,0.0,0.0,0.1,0.0,Celta Vigo,La_Liga
Franco Cervi,"DF,FW",30-223,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Luca de la Torre,MF,26-226,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Joseph Aidoo,DF,29-097,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta Vigo,La_Liga
Tadeo Allende,FW,25-319,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Celta Vigo,La_Liga
César Fernández,GK,20-342,0,,,,,,,,Celta Vigo,La_Liga
Yoel Lago,MF,20-285,0,,,,,,,,Celta Vigo,La_Liga
Marc Vidal,GK,24-325,0,,,,,,,,Celta Vigo,La_Liga
