Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Joan García,GK,23-245,18,1620.0,0.0,0.0,2.0,0.0,0.1,0.0,Espanyol,La_Liga
Alex Král,MF,26-230,18,1564.0,0.0,0.0,0.0,0.0,0.8,1.2,Espanyol,La_Liga
Omar El Hilali,DF,21-114,17,1478.0,0.0,0.0,6.0,0.0,0.0,0.1,Espanyol,La_Liga
Javi Puado,"FW,MF",26-224,16,1364.0,6.0,1.0,4.0,0.0,5.4,0.9,Espanyol,La_Liga
Marash Kumbulla,DF,24-331,16,1282.0,1.0,0.0,5.0,0.0,0.7,0.0,Espanyol,La_Liga
Jofre,"MF,FW",23-201,17,1122.0,2.0,3.0,5.0,0.0,1.7,1.5,Espanyol,La_Liga
Leandro Cabrera,DF,33-201,14,1170.0,1.0,1.0,2.0,0.0,0.3,0.4,Espanyol,La_Liga
Carlos Romero,"DF,MF",23-067,17,1051.0,1.0,1.0,4.0,0.0,1.1,0.9,Espanyol,La_Liga
Pol Lozano,MF,25-090,13,899.0,0.0,0.0,6.0,0.0,0.0,0.3,Espanyol,La_Liga
Álvaro Tejero,"MF,DF",28-168,16,868.0,1.0,2.0,1.0,0.0,0.5,2.2,Espanyol,La_Liga
Brian Oliván,DF,30-278,14,819.0,0.0,1.0,1.0,0.0,0.2,1.0,Espanyol,La_Liga
Alejo Véliz,FW,21-107,14,745.0,1.0,0.0,2.0,0.0,1.7,0.5,Espanyol,La_Liga
José Gragera,MF,24-035,10,569.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanyol,La_Liga
Sergi Gómez,DF,32-282,11,652.0,0.0,0.0,1.0,0.0,0.3,0.0,Espanyol,La_Liga
Irvin Cardona,"FW,MF",27-149,15,594.0,1.0,1.0,1.0,0.0,1.1,0.6,Espanyol,La_Liga
Walid Cheddira,FW,26-348,15,587.0,1.0,1.0,2.0,0.0,0.9,1.2,Espanyol,La_Liga
Álvaro Aguado,MF,28-248,10,325.0,0.0,0.0,1.0,0.0,0.4,0.0,Espanyol,La_Liga
Antoniu,"MF,DF",22-121,8,267.0,0.0,1.0,3.0,0.0,0.5,1.0,Espanyol,La_Liga
Justin Smith,MF,21-335,5,209.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanyol,La_Liga
Fernando Calero,DF,29-112,3,187.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanyol,La_Liga
Rafael Bauza,MF,19-340,4,174.0,0.0,0.0,1.0,0.0,0.1,0.0,Espanyol,La_Liga
Pere Milla,"MF,FW",32-103,8,227.0,0.0,0.0,2.0,0.0,0.2,0.1,Espanyol,La_Liga
Naci Ünüvar,"MF,DF",21-205,2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanyol,La_Liga
Edu Expósito,MF,28-156,1,16.0,0.0,0.0,0.0,0.0,0.0,0.1,Espanyol,La_Liga
Alex Almansa,FW,21-057,0,,,,,,,,Espanyol,La_Liga
Català,DF,20-141,0,,,,,,,,Espanyol,La_Liga
Fortuño,GK,23-091,0,,,,,,,,Espanyol,La_Liga
Fernando Pacheco,GK,32-231,0,,,,,,,,Espanyol,La_Liga
Omar Sadik,FW,20-288,0,,,,,,,,Espanyol,La_Liga
Salvi,"FW,MF",33-280,0,,,,,,,,Espanyol,La_Liga
Llorenç Serred,GK,19-122,0,,,,,,,,Espanyol,La_Liga
Pol Tristán,GK,22-292,0,,,,,,,,Espanyol,La_Liga
