Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
David Soria,GK,31-275,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,La_Liga
Luis Milla,MF,30-089,18,1604.0,1.0,2.0,1.0,0.0,1.4,1.8,Getafe,La_Liga
Omar Alderete,DF,28-009,17,1516.0,0.0,0.0,4.0,0.0,0.5,0.9,Getafe,La_Liga
Diego Rico,DF,31-316,17,1437.0,0.0,1.0,5.0,0.0,0.3,1.5,Getafe,La_Liga
Djené,DF,33-004,16,1262.0,0.0,0.0,6.0,0.0,0.1,0.5,Getafe,La_Liga
Chrisantus Uche,"FW,MF",21-230,18,1309.0,1.0,0.0,3.0,0.0,2.2,0.5,Getafe,La_Liga
Iglesias,DF,26-185,18,1337.0,0.0,0.0,2.0,0.0,0.4,1.0,Getafe,La_Liga
Mauro Arambarri,MF,29-096,17,1143.0,4.0,0.0,5.0,0.0,2.8,0.2,Getafe,La_Liga
Carles Pérez,"MF,FW",26-323,16,1078.0,0.0,0.0,1.0,0.0,1.5,1.2,Getafe,La_Liga
Alex Sola,"MF,FW",25-209,16,969.0,0.0,1.0,4.0,0.0,0.9,0.7,Getafe,La_Liga
Bertuğ Yıldırım,FW,22-176,14,800.0,1.0,0.0,6.0,0.0,2.2,0.8,Getafe,La_Liga
Allan Nyom,"DF,MF",36-239,9,564.0,1.0,1.0,3.0,0.0,0.5,0.3,Getafe,La_Liga
Juan Berrocal,DF,25-245,9,611.0,0.0,0.0,4.0,1.0,0.2,0.0,Getafe,La_Liga
Álvaro Rodríguez,FW,20-174,11,488.0,2.0,0.0,2.0,0.0,0.6,0.2,Getafe,La_Liga
Jesús Santiago,MF,20-224,12,291.0,0.0,0.0,2.0,0.0,0.0,0.0,Getafe,La_Liga
Nabil Aberdin,MF,22-134,7,263.0,0.0,0.0,1.0,0.0,0.0,0.0,Getafe,La_Liga
Carles Aleñá,"MF,FW",26-365,7,311.0,0.0,0.0,1.0,0.0,0.8,0.0,Getafe,La_Liga
Domingos Duarte,DF,29-300,4,272.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,La_Liga
Coba da Costa,"FW,MF",22-162,4,257.0,0.0,0.0,0.0,0.0,0.2,0.2,Getafe,La_Liga
Peter Federico,"MF,FW",22-163,11,306.0,0.0,0.0,0.0,0.0,0.3,0.1,Getafe,La_Liga
Abdoulaye Keita,"FW,MF",22-125,2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,La_Liga
Borja Mayoral,FW,27-274,5,130.0,1.0,0.0,0.0,0.0,1.2,0.3,Getafe,La_Liga
Alberto Risco,"MF,FW",19-127,5,69.0,0.0,0.0,0.0,0.0,0.2,0.1,Getafe,La_Liga
John Joe,"MF,FW",21-072,4,48.0,0.0,0.0,1.0,0.0,0.1,0.0,Getafe,La_Liga
Gorka Rivera Alonso,"DF,MF",20-156,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,La_Liga
David Argüelles,MF,23-003,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,La_Liga
Guillem Cortiñas,DF,21-335,0,,,,,,,,Getafe,La_Liga
Diego Ferrer,GK,,0,,,,,,,,Getafe,La_Liga
Jiří Letáček,GK,25-361,0,,,,,,,,Getafe,La_Liga
Djordjije Medenica,GK,18-048,0,,,,,,,,Getafe,La_Liga
