Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Sergi,DF,32-259,18,1572.0,2.0,0.0,2.0,0.0,0.9,0.2,Leganes,La_Liga
Seydouba Cissé,MF,23-329,16,1134.0,1.0,0.0,3.0,0.0,0.4,0.2,Leganes,La_Liga
Javi Hernández,DF,26-247,15,1148.0,0.0,1.0,2.0,0.0,0.2,0.9,Leganes,La_Liga
Yvan Neyou,MF,28-001,14,1116.0,1.0,1.0,7.0,0.0,0.4,0.2,Leganes,La_Liga
Miguel,FW,25-123,17,1105.0,1.0,2.0,3.0,0.0,2.1,0.8,Leganes,La_Liga
Marko Dmitrović,GK,32-346,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,Leganes,La_Liga
Valentin Rosier,DF,28-138,15,1093.0,0.0,1.0,5.0,0.0,0.2,0.5,Leganes,La_Liga
Matija Nastasić,DF,31-282,13,1029.0,0.0,0.0,2.0,0.0,0.0,0.0,Leganes,La_Liga
Juan Cruz,"FW,MF",24-254,17,985.0,4.0,1.0,1.0,0.0,1.3,1.5,Leganes,La_Liga
Renato Tapia,"MF,DF",29-160,16,930.0,1.0,0.0,4.0,0.0,0.3,0.1,Leganes,La_Liga
Adrià Altimira,"DF,FW",23-282,11,778.0,0.0,0.0,2.0,0.0,0.1,0.0,Leganes,La_Liga
Jorge Sáenz,DF,28-048,10,696.0,1.0,0.0,2.0,1.0,0.4,0.1,Leganes,La_Liga
Darko Brašanac,MF,32-327,15,864.0,1.0,2.0,0.0,0.0,1.0,0.2,Leganes,La_Liga
Óscar Rodríguez Arnaiz,MF,26-190,13,673.0,1.0,3.0,3.0,1.0,1.0,1.0,Leganes,La_Liga
Enric Franquesa,"DF,FW",27-313,12,616.0,1.0,0.0,1.0,0.0,0.3,0.1,Leganes,La_Liga
Juan Soriano,GK,27-134,6,540.0,0.0,0.0,1.0,0.0,0.0,0.0,Leganes,La_Liga
Dani Raba,"FW,MF",29-067,10,454.0,1.0,3.0,0.0,0.0,1.8,1.4,Leganes,La_Liga
Munir El Haddadi,"MF,FW",29-125,11,429.0,1.0,0.0,1.0,0.0,0.4,0.2,Leganes,La_Liga
Sébastien Haller,FW,30-196,8,404.0,0.0,0.0,0.0,0.0,0.4,0.2,Leganes,La_Liga
Diego,"FW,MF",24-261,11,411.0,1.0,0.0,0.0,0.0,1.1,0.2,Leganes,La_Liga
Roberto López,MF,24-255,9,358.0,0.0,1.0,0.0,0.0,0.5,0.7,Leganes,La_Liga
Aritz Arambarri,DF,26-339,2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,Leganes,La_Liga
Julián Chicco,MF,26-357,7,181.0,0.0,0.0,0.0,0.0,0.0,0.1,Leganes,La_Liga
Álvaro Abajas,GK,21-237,0,,,,,,,,Leganes,La_Liga
Lalo Aguilar,DF,22-207,0,,,,,,,,Leganes,La_Liga
Iker Bachiller,DF,22-112,0,,,,,,,,Leganes,La_Liga
Naim García,MF,22-207,0,,,,,,,,Leganes,La_Liga
Álex Gil,MF,21-334,0,,,,,,,,Leganes,La_Liga
Carlos Guirao,MF,21-252,0,,,,,,,,Leganes,La_Liga
Jackson Porozo,DF,24-153,0,,,,,,,,Leganes,La_Liga
João Urbáez,DF,22-164,0,,,,,,,,Leganes,La_Liga
