Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Florian Lejeune,DF,33-229,18,1615.0,0.0,2.0,3.0,0.0,1.0,0.8,Rayo Vallecano,La_Liga
Abdul Mumin,DF,26-212,16,1353.0,2.0,1.0,5.0,1.0,0.4,0.2,Rayo Vallecano,La_Liga
Andrei Ratiu,DF,26-198,16,1373.0,1.0,1.0,1.0,0.0,1.3,2.7,Rayo Vallecano,La_Liga
Augusto Batalla,GK,28-249,14,1260.0,0.0,0.0,2.0,0.0,0.0,0.0,Rayo Vallecano,La_Liga
Jorge de Frutos,"MF,FW",27-319,18,1241.0,3.0,2.0,1.0,0.0,2.8,2.2,Rayo Vallecano,La_Liga
Óscar Valentín,MF,30-137,18,1190.0,0.0,0.0,1.0,0.0,0.4,0.2,Rayo Vallecano,La_Liga
Álvaro García,"FW,MF",32-069,16,1062.0,2.0,0.0,4.0,0.0,2.6,1.5,Rayo Vallecano,La_Liga
Isaac Palazón Camacho,"FW,MF",30-008,18,1051.0,3.0,3.0,4.0,0.0,2.6,1.5,Rayo Vallecano,La_Liga
Unai López,MF,29-066,15,807.0,3.0,0.0,5.0,1.0,1.0,0.3,Rayo Vallecano,La_Liga
Pep Chavarría,DF,26-269,14,930.0,0.0,1.0,1.0,0.0,0.6,0.4,Rayo Vallecano,La_Liga
Sergio Camello,FW,23-329,18,877.0,2.0,1.0,2.0,0.0,3.3,1.5,Rayo Vallecano,La_Liga
Adri Embarba,"FW,MF",32-242,16,825.0,0.0,1.0,2.0,0.0,1.2,1.2,Rayo Vallecano,La_Liga
Randy Nteka,FW,27-029,13,636.0,1.0,0.0,3.0,0.0,0.6,0.5,Rayo Vallecano,La_Liga
Pathé Ciss,MF,30-294,15,734.0,1.0,1.0,4.0,0.0,0.6,0.7,Rayo Vallecano,La_Liga
Iván Balliu,DF,33-003,13,687.0,0.0,0.0,2.0,0.0,0.0,0.4,Rayo Vallecano,La_Liga
Alfonso Espino,DF,32-365,6,397.0,0.0,0.0,2.0,0.0,0.2,0.0,Rayo Vallecano,La_Liga
Gerard Gumbau,MF,30-017,10,450.0,0.0,1.0,2.0,0.0,0.5,1.0,Rayo Vallecano,La_Liga
Cárdenas,GK,27-282,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo Vallecano,La_Liga
Óscar Trejo,"MF,FW",36-253,7,239.0,0.0,0.0,1.0,0.0,0.3,0.9,Rayo Vallecano,La_Liga
Aridane Hernández,DF,35-287,4,204.0,0.0,0.0,0.0,0.0,0.4,0.0,Rayo Vallecano,La_Liga
Pedro Díaz,MF,26-213,8,194.0,0.0,0.0,1.0,0.0,0.3,0.3,Rayo Vallecano,La_Liga
James Rodríguez,"MF,FW",33-176,6,140.0,0.0,0.0,1.0,0.0,0.3,0.2,Rayo Vallecano,La_Liga
Sergi Guardiola,FW,33-220,5,80.0,0.0,0.0,0.0,0.0,0.1,0.1,Rayo Vallecano,La_Liga
Etienne Eto'o,FW,22-139,0,,,,,,,,Rayo Vallecano,La_Liga
Pelayo Fernandez,DF,21-250,0,,,,,,,,Rayo Vallecano,La_Liga
Juanpe,GK,23-244,0,,,,,,,,Rayo Vallecano,La_Liga
Marco de las Sías,DF,19-006,0,,,,,,,,Rayo Vallecano,La_Liga
Diego Méndez,MF,21-128,0,,,,,,,,Rayo Vallecano,La_Liga
Joni Montiel,"FW,MF",26-123,0,,,,,,,,Rayo Vallecano,La_Liga
Morro,GK,24-115,0,,,,,,,,Rayo Vallecano,La_Liga
Raúl de Tomás,FW,30-079,0,,,,,,,,Rayo Vallecano,La_Liga
