Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Federico Valverde,"MF,DF",26-165,18,1560.0,5.0,2.0,3.0,0.0,0.7,1.7,Real Madrid,La_Liga
Antonio Rüdiger,DF,31-306,18,1537.0,0.0,0.0,2.0,0.0,1.2,0.1,Real Madrid,La_Liga
Kylian Mbappé,FW,26-014,16,1369.0,10.0,2.0,2.0,0.0,12.1,2.3,Real Madrid,La_Liga
Thibaut Courtois,GK,32-237,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,La_Liga
Aurélien Tchouaméni,"MF,DF",24-342,14,1184.0,0.0,0.0,1.0,0.0,0.9,0.3,Real Madrid,La_Liga
Jude Bellingham,MF,21-188,14,1141.0,6.0,4.0,2.0,0.0,3.4,1.5,Real Madrid,La_Liga
Vinicius Júnior,FW,24-175,14,1097.0,8.0,5.0,5.0,0.0,5.6,4.7,Real Madrid,La_Liga
Rodrygo,FW,23-360,15,977.0,5.0,3.0,0.0,0.0,1.8,1.2,Real Madrid,La_Liga
Éder Militão,DF,26-351,12,938.0,1.0,1.0,2.0,0.0,0.6,0.5,Real Madrid,La_Liga
Lucas Vázquez,DF,33-186,15,881.0,1.0,2.0,2.0,0.0,0.5,1.6,Real Madrid,La_Liga
Ferland Mendy,DF,29-209,11,764.0,0.0,0.0,1.0,1.0,0.0,0.0,Real Madrid,La_Liga
Fran Garcia,DF,25-142,14,767.0,0.0,0.0,0.0,0.0,0.5,0.2,Real Madrid,La_Liga
Luka Modrić,MF,39-116,18,830.0,0.0,3.0,4.0,0.0,0.3,3.9,Real Madrid,La_Liga
Dani Carvajal,DF,32-358,8,609.0,1.0,0.0,1.0,0.0,1.3,0.2,Real Madrid,La_Liga
Brahim Díaz,"FW,MF",25-153,13,586.0,2.0,2.0,0.0,0.0,1.4,2.0,Real Madrid,La_Liga
Arda Güler,"MF,FW",19-313,14,575.0,1.0,3.0,1.0,0.0,1.8,1.5,Real Madrid,La_Liga
Eduardo Camavinga,"MF,DF",22-054,7,497.0,0.0,2.0,0.0,0.0,0.1,0.2,Real Madrid,La_Liga
Dani Ceballos,MF,28-149,9,428.0,0.0,0.0,1.0,0.0,0.2,0.1,Real Madrid,La_Liga
Raúl Asencio,DF,21-325,6,355.0,0.0,1.0,0.0,0.0,0.0,0.4,Real Madrid,La_Liga
Andriy Lunin,GK,25-327,3,270.0,0.0,1.0,0.0,0.0,0.0,0.9,Real Madrid,La_Liga
Endrick,FW,18-166,12,91.0,1.0,0.0,1.0,0.0,0.7,0.0,Real Madrid,La_Liga
Jesús Vallejo,DF,27-364,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,La_Liga
Daniel Yáñez,FW,17-281,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,La_Liga
Diego Aguado,DF,17-331,0,,,,,,,,Real Madrid,La_Liga
Lorenzo Aguado,DF,22-106,0,,,,,,,,Real Madrid,La_Liga
Chema,MF,19-253,0,,,,,,,,Real Madrid,La_Liga
Fran,GK,19-193,0,,,,,,,,Real Madrid,La_Liga
Gonzalo García,MF,20-285,0,,,,,,,,Real Madrid,La_Liga
David Jiménez,DF,20-295,0,,,,,,,,Real Madrid,La_Liga
Youssef Lekhedim,DF,19-088,0,,,,,,,,Real Madrid,La_Liga
Sergio Mestre,GK,19-325,0,,,,,,,,Real Madrid,La_Liga
Víctor Muñoz,FW,21-174,0,,,,,,,,Real Madrid,La_Liga
Jacobo Ramón,DF,19-363,0,,,,,,,,Real Madrid,La_Liga
