Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Karl Jakob Hein,GK,22-266,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,Valladolid,La_Liga
Lucas Oliveira Rosa,DF,24-276,17,1530.0,0.0,0.0,5.0,0.0,0.3,1.3,Valladolid,La_Liga
Luis Pérez,DF,29-335,17,1490.0,0.0,0.0,2.0,0.0,0.1,1.3,Valladolid,La_Liga
Eray Cömert,"DF,MF",26-335,15,1064.0,0.0,0.0,5.0,0.0,0.5,0.0,Valladolid,La_Liga
Raúl Moro,"FW,MF",22-030,17,1160.0,3.0,1.0,1.0,0.0,1.6,3.2,Valladolid,La_Liga
Kike Pérez,MF,27-325,16,984.0,1.0,0.0,5.0,0.0,1.3,0.7,Valladolid,La_Liga
Javi Sánchez,DF,27-296,12,972.0,0.0,0.0,3.0,0.0,0.1,0.2,Valladolid,La_Liga
Stanko Jurić,MF,28-141,16,1040.0,0.0,0.0,4.0,0.0,0.7,0.3,Valladolid,La_Liga
Selim Amallah,"MF,FW",28-050,12,705.0,2.0,1.0,1.0,0.0,2.6,0.2,Valladolid,La_Liga
Mario Martín,MF,20-305,15,832.0,0.0,1.0,3.0,1.0,0.3,0.3,Valladolid,La_Liga
Mamadou Sylla,"FW,MF",30-290,13,754.0,2.0,1.0,1.0,0.0,3.1,1.3,Valladolid,La_Liga
David Torres,DF,21-305,10,787.0,0.0,0.0,4.0,0.0,0.0,0.0,Valladolid,La_Liga
Abdulai Juma Bah,DF,18-268,10,729.0,0.0,0.0,1.0,0.0,0.3,0.0,Valladolid,La_Liga
Anuar,"FW,MF",29-355,9,605.0,2.0,0.0,4.0,0.0,0.9,0.2,Valladolid,La_Liga
Iván Sánchez,"MF,FW",32-103,17,744.0,1.0,1.0,4.0,0.0,0.3,1.3,Valladolid,La_Liga
Marcos André,FW,28-076,11,521.0,1.0,1.0,3.0,0.0,1.0,0.3,Valladolid,La_Liga
Darwin Machís,"FW,MF",31-332,7,304.0,0.0,0.0,0.0,0.0,0.7,0.1,Valladolid,La_Liga
Amath,"FW,DF",28-172,7,298.0,0.0,1.0,1.0,0.0,0.4,0.2,Valladolid,La_Liga
Juanmi Latasa,FW,23-287,13,524.0,0.0,0.0,4.0,1.0,1.1,0.2,Valladolid,La_Liga
Enzo Boyomo,DF,23-089,3,270.0,0.0,0.0,0.0,0.0,0.1,0.0,Valladolid,La_Liga
Cenk Özkacar,DF,24-090,4,196.0,0.0,0.0,0.0,0.0,0.1,0.0,Valladolid,La_Liga
Víctor Meseguer,MF,25-209,14,418.0,0.0,0.0,1.0,0.0,0.7,0.0,Valladolid,La_Liga
Raúl Chasco,DF,21-113,2,130.0,0.0,0.0,0.0,0.0,0.0,0.0,Valladolid,La_Liga
Chuky san jose,"MF,FW",20-250,4,89.0,0.0,0.0,1.0,0.0,0.0,0.0,Valladolid,La_Liga
Mario Maroto,MF,21-037,1,19.0,0.0,1.0,0.0,0.0,0.0,0.1,Valladolid,La_Liga
Kenedy,"MF,FW",28-331,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Valladolid,La_Liga
Adrian Baquerin,FW,17-306,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Valladolid,La_Liga
Álvaro Aceves,GK,21-162,0,,,,,,,,Valladolid,La_Liga
Stipe Biuk,MF,22-009,0,,,,,,,,Valladolid,La_Liga
André Ferreira,GK,28-220,0,,,,,,,,Valladolid,La_Liga
Jorge Gonzalez,DF,19-294,0,,,,,,,,Valladolid,La_Liga
César de la Hoz,MF,32-280,0,,,,,,,,Valladolid,La_Liga
Arnau Rafús,GK,21-252,0,,,,,,,,Valladolid,La_Liga
