Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Sergi Cardona,DF,25-180,17,1502.0,1.0,1.0,5.0,0.0,1.9,2.4,Villarreal,La_Liga
Kiko Femenía,DF,33-337,16,1365.0,0.0,1.0,5.0,0.0,0.0,0.8,Villarreal,La_Liga
Diego Conde,GK,26-068,15,1332.0,0.0,1.0,1.0,0.0,0.0,0.2,Villarreal,La_Liga
Alex Baena,"MF,FW",23-168,16,1281.0,4.0,5.0,5.0,0.0,3.9,5.3,Villarreal,La_Liga
Santi Comesaña,MF,28-091,17,1266.0,2.0,2.0,4.0,0.0,1.1,1.1,Villarreal,La_Liga
Raúl Albiol,DF,39-122,15,1188.0,0.0,0.0,5.0,0.0,0.1,0.0,Villarreal,La_Liga
Daniel Parejo,MF,35-263,17,1164.0,2.0,0.0,6.0,0.0,2.0,0.4,Villarreal,La_Liga
Logan Costa,DF,23-278,14,1141.0,1.0,0.0,2.0,0.0,0.3,0.0,Villarreal,La_Liga
Thierno Barry,FW,22-075,17,1116.0,7.0,2.0,2.0,0.0,7.8,1.8,Villarreal,La_Liga
Pape Gueye,"MF,FW",25-346,16,1059.0,0.0,0.0,5.0,1.0,1.5,0.5,Villarreal,La_Liga
Yeremi Pino,MF,22-076,16,830.0,0.0,3.0,5.0,0.0,1.9,3.1,Villarreal,La_Liga
Ayoze Pérez,FW,31-159,12,734.0,8.0,0.0,3.0,0.0,3.7,1.1,Villarreal,La_Liga
Ilias Akhomach,"MF,FW",20-263,11,584.0,1.0,0.0,1.0,0.0,0.6,1.0,Villarreal,La_Liga
Eric Bailly,DF,30-267,9,579.0,0.0,0.0,2.0,0.0,0.3,0.0,Villarreal,La_Liga
Nicolas Pépé,"FW,MF",29-220,11,565.0,1.0,2.0,1.0,0.0,2.0,0.7,Villarreal,La_Liga
Gerard Moreno,FW,32-272,8,375.0,2.0,1.0,0.0,0.0,2.8,1.6,Villarreal,La_Liga
Luiz Lúcio Reis Júnior,GK,23-356,4,288.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal,La_Liga
Denis Suárez,"MF,DF",30-364,8,238.0,0.0,1.0,0.0,0.0,0.5,0.3,Villarreal,La_Liga
Arnaut Danjuma,FW,27-339,3,200.0,2.0,0.0,1.0,0.0,0.8,0.0,Villarreal,La_Liga
Pau Navarro,DF,19-254,7,338.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal,La_Liga
Willy Kambwala,DF,20-132,2,121.0,0.0,0.0,0.0,1.0,0.0,0.0,Villarreal,La_Liga
Juan Bernat,"DF,MF",31-309,10,212.0,0.0,1.0,0.0,0.0,0.3,0.4,Villarreal,La_Liga
Ramón Terrats,"MF,FW",24-078,10,126.0,0.0,0.0,1.0,0.0,0.1,0.3,Villarreal,La_Liga
Pau Cabanes,"MF,FW",19-322,7,101.0,1.0,0.0,0.0,0.0,0.4,0.3,Villarreal,La_Liga
Juan Foyth,DF,26-358,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal,La_Liga
Thiago Ojeda,MF,21-358,1,8.0,0.0,0.0,1.0,0.0,0.0,0.0,Villarreal,La_Liga
Iker Álvarez,GK,23-163,0,,,,,,,,Villarreal,La_Liga
Alassane Diatta,MF,19-235,0,,,,,,,,Villarreal,La_Liga
Antonio Espigare,DF,20-121,0,,,,,,,,Villarreal,La_Liga
Karl Etta,FW,21-082,0,,,,,,,,Villarreal,La_Liga
Rubén Gómez,GK,22-346,0,,,,,,,,Villarreal,La_Liga
Daniel Requena,MF,20-327,0,,,,,,,,Villarreal,La_Liga
Arnau Solà,DF,21-275,0,,,,,,,,Villarreal,La_Liga
