Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Yahia Fofana,GK,24-136,15,1350.0,0.0,0.0,2.0,0.0,0.0,0.0,Angers,Ligue_1
Jordan Lefort,DF,31-148,15,1350.0,0.0,1.0,1.0,0.0,0.0,0.9,Angers,Ligue_1
Himad Abdelli,"MF,FW",25-048,15,1330.0,4.0,1.0,1.0,0.0,4.2,2.2,Angers,Ligue_1
Carlens Arcus,DF,28-190,15,1171.0,0.0,0.0,2.0,0.0,0.0,0.6,Angers,Ligue_1
Jean-Eudes Aholou,MF,30-290,14,1097.0,2.0,0.0,2.0,0.0,1.3,0.2,Angers,Ligue_1
Florent Hanin,DF,34-335,14,1055.0,0.0,1.0,1.0,0.0,0.1,1.3,Angers,Ligue_1
Farid El Melali,FW,27-244,13,947.0,1.0,2.0,1.0,0.0,1.6,2.3,Angers,Ligue_1
Haris Belkebla,MF,30-342,11,903.0,0.0,0.0,0.0,0.0,0.1,0.1,Angers,Ligue_1
Jim Allevinah,FW,29-312,11,746.0,0.0,2.0,1.0,0.0,1.7,1.2,Angers,Ligue_1
Emmanuel Biumla,DF,19-241,9,733.0,1.0,0.0,0.0,0.0,0.7,0.0,Angers,Ligue_1
Ibrahima Niane,FW,25-299,12,665.0,2.0,0.0,0.0,0.0,3.0,0.2,Angers,Ligue_1
Abdoulaye Bamba,DF,34-254,8,610.0,0.0,0.0,1.0,0.0,0.0,0.1,Angers,Ligue_1
Yassin Belkhdim,"MF,FW",22-325,15,579.0,0.0,0.0,2.0,0.0,0.2,0.3,Angers,Ligue_1
Bamba Dieng,FW,24-287,11,391.0,2.0,0.0,1.0,0.0,2.0,0.0,Angers,Ligue_1
Jacques Ekomie,DF,21-138,8,289.0,0.0,0.0,0.0,0.0,0.0,0.0,Angers,Ligue_1
Sidiki Cherif,FW,18-020,5,282.0,0.0,0.0,0.0,0.0,0.4,0.2,Angers,Ligue_1
Cédric Hountondji,DF,30-351,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Angers,Ligue_1
Pierrick Capelle,MF,37-264,7,262.0,0.0,0.0,2.0,0.0,0.0,0.0,Angers,Ligue_1
Zinedine Ferhat,"FW,MF",31-309,7,229.0,1.0,0.0,1.0,0.0,0.3,0.4,Angers,Ligue_1
Lilian Raolisoa,"DF,FW",24-202,11,227.0,0.0,1.0,0.0,1.0,0.2,0.3,Angers,Ligue_1
Esteban Lepaul,"FW,MF",24-261,11,221.0,1.0,0.0,0.0,0.0,0.3,0.1,Angers,Ligue_1
Zinédine Ould Khaled,MF,24-356,2,57.0,0.0,0.0,1.0,0.0,0.0,0.0,Angers,Ligue_1
Lois Diony,FW,32-015,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Angers,Ligue_1
Marius Courcoul,DF,18-003,0,,,,,,,,Angers,Ligue_1
Joseph Lopy,"DF,MF",32-295,0,,,,,,,,Angers,Ligue_1
Marius Louer,MF,17-299,0,,,,,,,,Angers,Ligue_1
Amine Moussaoui,FW,18-007,0,,,,,,,,Angers,Ligue_1
Melvin Zinga,GK,22-294,0,,,,,,,,Angers,Ligue_1
