Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Donovan Léon,GK,32-061,15,1350.0,0.0,2.0,2.0,0.0,0.0,0.4,Auxerre,Ligue_1
Elisha Owusu,MF,27-057,14,1210.0,1.0,1.0,4.0,0.0,0.3,0.6,Auxerre,Ligue_1
Jubal,DF,31-127,13,1117.0,1.0,0.0,3.0,0.0,2.0,0.4,Auxerre,Ligue_1
Clément Akpa,DF,23-040,14,1083.0,0.0,0.0,2.0,0.0,0.1,0.4,Auxerre,Ligue_1
Lassine Sinayoko,"FW,MF",25-026,15,1043.0,2.0,4.0,4.0,0.0,2.5,3.0,Auxerre,Ligue_1
Gaëtan Perrin,"MF,FW",28-210,15,1013.0,5.0,4.0,1.0,0.0,2.7,3.8,Auxerre,Ligue_1
Gabriel Osho,DF,26-142,12,1003.0,1.0,0.0,1.0,0.0,0.7,0.0,Auxerre,Ligue_1
Hamed Junior Traorè,MF,24-322,12,995.0,6.0,1.0,3.0,0.0,3.7,1.3,Auxerre,Ligue_1
Ki-Jana Hoever,DF,22-351,13,947.0,0.0,1.0,2.0,1.0,0.1,1.0,Auxerre,Ligue_1
Kévin Danois,MF,20-189,14,886.0,0.0,0.0,0.0,0.0,0.7,0.8,Auxerre,Ligue_1
Gideon Mensah,DF,26-169,10,835.0,0.0,1.0,2.0,0.0,0.0,0.8,Auxerre,Ligue_1
Sinaly Diomande,DF,23-269,9,700.0,2.0,2.0,3.0,0.0,1.0,0.5,Auxerre,Ligue_1
Rayan Raveloson,"MF,DF",27-353,13,724.0,1.0,0.0,3.0,0.0,0.8,0.2,Auxerre,Ligue_1
Paul Joly,DF,24-210,10,512.0,0.0,1.0,2.0,0.0,0.1,1.0,Auxerre,Ligue_1
Ado Onaiwu,"MF,FW",29-056,14,496.0,2.0,0.0,0.0,1.0,2.9,0.4,Auxerre,Ligue_1
Theo Bair,FW,25-129,14,413.0,1.0,0.0,1.0,0.0,1.2,0.4,Auxerre,Ligue_1
Florian Ayé,FW,27-350,11,311.0,0.0,0.0,0.0,0.0,0.4,0.1,Auxerre,Ligue_1
Théo Pellenard,DF,30-305,2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Auxerre,Ligue_1
Lasso Coulibaly,"FW,MF",22-076,2,38.0,1.0,0.0,0.0,0.0,0.2,0.0,Auxerre,Ligue_1
Assane Dioussé,MF,27-105,4,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Auxerre,Ligue_1
Eros Maddy,DF,23-333,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Auxerre,Ligue_1
Aristide Zossou,MF,19-203,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Auxerre,Ligue_1
Ben Viadere,MF,19-123,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Auxerre,Ligue_1
Raphaël Adiceam,GK,34-184,0,,,,,,,,Auxerre,Ligue_1
Théo De Percin,GK,23-336,0,,,,,,,,Auxerre,Ligue_1
Madiou Keïta,DF,20-127,0,,,,,,,,Auxerre,Ligue_1
Victor Mayela,DF,20-256,0,,,,,,,,Auxerre,Ligue_1
Loïc N'Gatta,DF,21-023,0,,,,,,,,Auxerre,Ligue_1
Tom Negrel,GK,21-265,0,,,,,,,,Auxerre,Ligue_1
