Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Arthur Desmas,GK,30-271,15,1350.0,0.0,0.0,2.0,0.0,0.0,0.0,Le Havre,Ligue_1
Gautier Lloris,DF,29-169,15,1349.0,2.0,0.0,3.0,0.0,0.4,0.5,Le Havre,Ligue_1
Christopher Operi,"DF,FW",27-249,13,1169.0,0.0,2.0,2.0,1.0,0.3,2.2,Le Havre,Ligue_1
Abdoulaye Touré,MF,30-306,14,1161.0,3.0,1.0,3.0,0.0,3.7,0.1,Le Havre,Ligue_1
Yassine Kechta,"MF,FW",22-313,15,961.0,0.0,0.0,2.0,0.0,0.8,0.3,Le Havre,Ligue_1
Etienne Youte Kinkoue,DF,22-355,11,947.0,0.0,0.0,3.0,1.0,0.6,0.1,Le Havre,Ligue_1
Oussama Targhalline,MF,22-228,11,836.0,0.0,0.0,0.0,0.0,0.1,0.7,Le Havre,Ligue_1
Loïc Nego,"DF,FW",33-354,12,785.0,0.0,0.0,1.0,0.0,0.5,0.2,Le Havre,Ligue_1
Yoann Salmier,DF,32-043,9,688.0,0.0,0.0,3.0,0.0,0.4,0.2,Le Havre,Ligue_1
Josué Casimir,"FW,DF",23-101,10,672.0,1.0,1.0,3.0,0.0,1.0,0.7,Le Havre,Ligue_1
Rassoul Ndiaye,MF,23-023,11,592.0,1.0,0.0,1.0,0.0,1.2,0.5,Le Havre,Ligue_1
Issa Soumaré,"FW,MF",24-085,11,624.0,0.0,0.0,0.0,0.0,1.0,0.4,Le Havre,Ligue_1
Timothee Pembele,"DF,FW",22-116,7,584.0,0.0,0.0,1.0,0.0,0.2,0.0,Le Havre,Ligue_1
Arouna Sangante,DF,22-266,6,518.0,1.0,0.0,2.0,0.0,0.2,0.1,Le Havre,Ligue_1
Daler Kuzyaev,MF,31-354,11,515.0,1.0,0.0,1.0,0.0,0.2,0.6,Le Havre,Ligue_1
André Ayew,FW,35-017,8,506.0,0.0,0.0,0.0,0.0,1.1,0.0,Le Havre,Ligue_1
Emmanuel Sabbi,"MF,FW",27-010,12,441.0,0.0,0.0,0.0,0.0,1.8,0.4,Le Havre,Ligue_1
Antoine Joujou,"MF,FW",21-297,10,354.0,0.0,0.0,1.0,0.0,0.3,0.3,Le Havre,Ligue_1
Yanis Zouaoui,"DF,FW",30-177,5,232.0,0.0,2.0,0.0,0.0,0.0,0.5,Le Havre,Ligue_1
Steve Ngoura,FW,19-316,8,289.0,0.0,0.0,0.0,0.0,1.3,0.4,Le Havre,Ligue_1
Ilyes Housni,FW,19-234,4,145.0,0.0,0.0,0.0,0.0,0.1,0.2,Le Havre,Ligue_1
Samuel Grandsir,"MF,FW",28-142,6,84.0,0.0,0.0,0.0,0.0,0.0,0.6,Le Havre,Ligue_1
Kandet Diawara,FW,24-328,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Le Havre,Ligue_1
Mathéo Bodmer,DF,20-242,0,,,,,,,,Le Havre,Ligue_1
Ismaïl Bouneb,MF,18-210,0,,,,,,,,Le Havre,Ligue_1
Alois Confais,"DF,MF",28-118,0,,,,,,,,Le Havre,Ligue_1
Mathieu Gorgelin,GK,34-151,0,,,,,,,,Le Havre,Ligue_1
Oualid El Hajjam,DF,33-319,0,,,,,,,,Le Havre,Ligue_1
Daren Mosengo,MF,18-145,0,,,,,,,,Le Havre,Ligue_1
