Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Lucas Chevalier,GK,23-058,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.5,Lille,Ligue_1
Bafodé Diakité,DF,23-363,15,1350.0,2.0,1.0,3.0,0.0,1.1,0.1,Lille,Ligue_1
Alexsandro Ribeiro,DF,25-147,13,1170.0,0.0,1.0,5.0,0.0,0.6,0.1,Lille,Ligue_1
Benjamin André,MF,34-153,13,1162.0,0.0,1.0,7.0,0.0,0.9,0.9,Lille,Ligue_1
Jonathan David,FW,24-355,15,1179.0,11.0,1.0,2.0,0.0,9.4,1.0,Lille,Ligue_1
Edon Zhegrova,"FW,MF",25-278,12,978.0,4.0,1.0,1.0,0.0,2.3,2.2,Lille,Ligue_1
Gabriel Gudmundsson,DF,25-249,15,980.0,0.0,0.0,1.0,0.0,0.3,0.8,Lille,Ligue_1
Aïssa Mandi,DF,33-073,11,859.0,0.0,0.0,2.0,0.0,0.1,0.2,Lille,Ligue_1
Angel Gomes,MF,24-125,10,612.0,1.0,1.0,1.0,0.0,1.7,2.1,Lille,Ligue_1
Osame Sahraoui,"FW,MF",23-206,14,725.0,0.0,3.0,1.0,0.0,0.6,2.7,Lille,Ligue_1
Thomas Meunier,DF,33-113,12,622.0,1.0,0.0,2.0,0.0,1.0,0.1,Lille,Ligue_1
Ngal'Ayel Mukau,MF,20-034,10,545.0,0.0,0.0,4.0,0.0,0.2,0.2,Lille,Ligue_1
Ayyoub Bouaddi,MF,17-093,12,518.0,0.0,1.0,1.0,0.0,0.0,0.9,Lille,Ligue_1
Rémy Cabella,"MF,FW",34-301,13,465.0,0.0,2.0,1.0,0.0,1.1,1.1,Lille,Ligue_1
André Gomes,MF,31-157,7,390.0,0.0,0.0,2.0,0.0,0.0,0.1,Lille,Ligue_1
Matias Fernandez-Pardo,FW,19-335,10,428.0,1.0,1.0,2.0,0.0,0.2,1.1,Lille,Ligue_1
Tiago Santos,DF,22-164,7,404.0,0.0,0.0,1.0,0.0,0.4,0.6,Lille,Ligue_1
Mitchel Bakker,"DF,FW",24-197,10,391.0,2.0,0.0,0.0,1.0,1.9,0.6,Lille,Ligue_1
Hákon Arnar Haraldsson,MF,21-268,7,342.0,1.0,1.0,1.0,0.0,1.2,0.2,Lille,Ligue_1
Mohamed Lamine Bayo,"FW,MF",26-213,10,214.0,2.0,0.0,1.0,0.0,2.2,0.2,Lille,Ligue_1
Ismaily,DF,34-358,2,83.0,0.0,0.0,1.0,0.0,0.1,0.1,Lille,Ligue_1
Ethan Mbappé,"MF,FW",18-005,3,77.0,0.0,0.0,1.0,0.0,0.7,0.0,Lille,Ligue_1
Ousmane Toure,DF,19-320,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille,Ligue_1
Vincent Burlet,DF,19-102,0,,,,,,,,Lille,Ligue_1
Marc-Aurèle Caillard,GK,30-236,0,,,,,,,,Lille,Ligue_1
Rafael Fernandes,DF,22-189,0,,,,,,,,Lille,Ligue_1
Andrej Ilic,FW,24-275,0,,,,,,,,Lille,Ligue_1
Younes Lachaab,MF,19-363,0,,,,,,,,Lille,Ligue_1
Aaron Malouda,FW,19-034,0,,,,,,,,Lille,Ligue_1
Vito Mannone,GK,36-307,0,,,,,,,,Lille,Ligue_1
Akim Zedadka,DF,29-218,0,,,,,,,,Lille,Ligue_1
